company_name,byma_ticker,underlying_ticker,exchange,ratio,is_us_listed,is_nasdaq,is_nyse,is_etf,tradable_from_argentina,source_file,parse_status
Companhia Siderúrgica Nacional,SID,SID,NYSE,1:8,True,False,True,False,True,cedears_byma_list.txt,parsed
Siemens Ag Adr,SIEGY,SIEGY,OTC,3:1,True,False,False,False,True,cedears_byma_list.txt,parsed
Schlumberger Ltd,SLB,SLB,NYSE,3:1,True,False,True,False,True,cedears_byma_list.txt,parsed
iShares SILVER TRUST,SLV,SLV,NYSE ARCA,6:1,True,False,False,True,True,cedears_byma_list.txt,parsed
VAN ECK SEMICONDUCTOR ETF,SMH,SMH,NASDAQ,50:1,True,True,False,True,True,cedears_byma_list.txt,parsed
Snap-On Inc,SNA,SNA,NYSE,6:1,True,False,True,False,True,cedears_byma_list.txt,parsed
Snap Inc.,SNAP,SNAP,NYSE,1:1,True,False,True,False,True,cedears_byma_list.txt,parsed
Sandisk Corporation,SNDK,SNDK,NASDAQ GS,170:1,True,False,False,False,True,cedears_byma_list.txt,parsed
Snowflake Inc.,SNOW,SNOW,NYSE,30:1,True,False,True,False,True,cedears_byma_list.txt,parsed
China Petroleum & Chem,SNP,SNP,NYSE,3:1,True,False,True,False,True,cedears_byma_list.txt,parsed
Sony Group Corporation,SONY,SONY,NYSE,8:1,True,False,True,False,True,cedears_byma_list.txt,parsed
Virgin Galactic,SPCE,SPCE,NYSE,1:2,True,False,True,False,True,cedears_byma_list.txt,parsed
SPACE EXPLORATION TECHNOLOGIES CORP.,SPCX,SPCX,NASDAQ GS,50:1,True,False,False,False,True,cedears_byma_list.txt,parsed
S&P Global Inc,SPGI,SPGI,NYSE,45:1,True,False,True,False,True,cedears_byma_list.txt,parsed
Invesco S&P 500 quality ETF,SPHQ,SPHQ,NYSE ARCA,14:1,True,False,False,True,True,cedears_byma_list.txt,parsed
Spotify Technology S.A.,SPOT,SPOT,NYSE,28:1,True,False,True,False,True,cedears_byma_list.txt,parsed
DIREXION DAILY S&P 500 BULL 3X,SPXL,SPXL,NYSE ARCA,25:1,True,False,False,False,True,cedears_byma_list.txt,parsed
SPDR S&P 500,SPY,SPY,NYSE ARCA,60:1,True,False,False,True,True,cedears_byma_list.txt,parsed
Stellantis,STLA,STLA,NYSE,5:1,True,False,True,False,True,cedears_byma_list.txt,parsed
StoneCo Ltd,STNE,STNE,NASDAQ,3:1,True,True,False,False,True,cedears_byma_list.txt,parsed
Suzano Papel E Celulose S.A.,SUZ,SUZ,NYSE,1:1,True,False,True,False,True,cedears_byma_list.txt,parsed
Suzano S.A.,SUZB3,SUZB3,B3,1:1,True,False,False,False,True,cedears_byma_list.txt,parsed
Skyworks Solutions,SWKS,SWKS,NASDAQ,21:1,True,True,False,False,True,cedears_byma_list.txt,parsed
Sysco Corp.,SYY,SYY,NYSE,8:1,True,False,True,False,True,cedears_byma_list.txt,parsed
At &T Inc.,T,T,NYSE,3:1,True,False,True,False,True,cedears_byma_list.txt,parsed
TRIP.COM Group Ltd.,TCOM,TCOM,NASDAQ,2:1,True,True,False,False,True,cedears_byma_list.txt,parsed
ATLASSIAN CORPORATION,TEAM,TEAM,NASDAQ GS,47:1,True,False,True,False,True,cedears_byma_list.txt,parsed
Telefonica S.A.,TEFO,TEFO,NYSE,8:1,True,False,True,False,True,cedears_byma_list.txt,parsed
TEMPUS AI INC,TEM,TEM,NASDAQ GS,12:1,True,False,False,False,True,cedears_byma_list.txt,parsed
Tenaris,TEN,TEN,NYSE,1:1,True,False,True,False,True,cedears_byma_list.txt,parsed
Target Corporation,TGT,TGT,NYSE,24:1,True,False,True,False,True,cedears_byma_list.txt,parsed
Telecom Italia S.P.A. Ordinary Shares,TIIAY,TIIAY,NYSE,1:1,True,False,True,False,True,cedears_byma_list.txt,parsed
Tim Participações S.A.,TIMB,TIMB,NYSE,1:1,True,False,True,False,True,cedears_byma_list.txt,parsed
TIM S.A.,TIMS3,TIMS3,B3,01:01,True,False,False,False,True,cedears_byma_list.txt,parsed
TJX Companies Inc/The,TJX,TJX,NYSE,22:1,True,False,True,False,True,cedears_byma_list.txt,parsed
Toyota Motor Corporation,TM,TM,NYSE,15:1,True,False,True,False,True,cedears_byma_list.txt,parsed
Thermo Fisher Scientific Inc.,TMO,TMO,NYSE,22:1,True,False,True,False,True,cedears_byma_list.txt,parsed
T-mobile,TMUS,TMUS,NASDAQ,33:1,True,True,False,False,True,cedears_byma_list.txt,parsed
ProShares UltraPro QQQ,TQQQ,TQQQ,NASDAQ,25:1,True,True,False,False,True,cedears_byma_list.txt,parsed
"Tripadvisor, Inc.",TRIP,TRIP,NASDAQ,2:1,True,True,False,False,True,cedears_byma_list.txt,parsed
The Travelers Cos. Inc.,TRVV,TRVV,NYSE,6:1,True,False,True,False,True,cedears_byma_list.txt,parsed
"Tesla, Inc.",TSLA,TSLA,NASDAQ,15:1,True,True,False,False,True,cedears_byma_list.txt,parsed
Taiwan Semiconductor Manufacturing,TSM,TSM,NYSE,9:1,True,False,True,False,True,cedears_byma_list.txt,parsed
TotalEnergies SE,TTE,TTE,NYSE,3:1,True,False,True,False,True,cedears_byma_list.txt,parsed
Tata Motors Ltd,TTM,TTM,NYSE,1:1,True,False,True,False,True,cedears_byma_list.txt,parsed
Grupo Televisa S.A.,TV,TV,NYSE,3:1,True,False,True,False,True,cedears_byma_list.txt,parsed
Twilio Inc,TWLO,TWLO,NYSE,36:1,True,False,True,False,True,cedears_byma_list.txt,parsed
"Twitter, Inc.",TWTR,TWTR,NYSE,2:1,True,False,True,False,True,cedears_byma_list.txt,parsed
Texas Instruments Inc,TXN,TXN,NASDAQ,5:1,True,True,False,False,True,cedears_byma_list.txt,parsed
Ternium S.A.,TXR,TXR,NYSE,4:1,True,False,True,False,True,cedears_byma_list.txt,parsed
United Airlines Holdings Inc.,UAL,UAL,NASDAQ GS,5:1,True,False,False,False,True,cedears_byma_list.txt,parsed
Uber Technologies Inc.,UBER,UBER,NYSE,2:1,True,False,True,False,True,cedears_byma_list.txt,parsed
Ultrapar Participações S.A.,UGP,UGP,NYSE,1:1,True,False,True,False,True,cedears_byma_list.txt,parsed
Unilever PLC - Sponsored,UL,UL,NYSE,3:1,True,False,True,False,True,cedears_byma_list.txt,parsed
NU Holdings Ltd/Cayman Islands,UN,UN,NYSE,2:1,True,False,True,False,True,cedears_byma_list.txt,parsed
UnitedHealth Group Inc.,UNH,UNH,NYSE,33:1,True,False,True,False,True,cedears_byma_list.txt,parsed
Union Pacific Corp.,UNP,UNP,NYSE,20:1,True,False,True,False,True,cedears_byma_list.txt,parsed
Upstart Hldgs Inc,UPST,UPST,NASDAQ GS,5:1,True,False,False,False,True,cedears_byma_list.txt,parsed
Global X Uranium ETF,URA,URA,NYSE ARCA,5:1,True,False,False,True,True,cedears_byma_list.txt,parsed
Urban Outfitters INC.,URBN,URBN,NASDAQ,2:1,True,True,False,False,True,cedears_byma_list.txt,parsed
U.S. Bancorp,USB,USB,NYSE,5:1,True,False,True,False,True,cedears_byma_list.txt,parsed
United States Oil Fund,USO,USO,NYSE,15:1,True,False,True,False,True,cedears_byma_list.txt,parsed
Visa Inc,V,V,NYSE,18:1,True,False,True,False,True,cedears_byma_list.txt,parsed
Vale S.A.,VALE,VALE,NYSE,2:1,True,False,True,False,True,cedears_byma_list.txt,parsed
Vale S.A.,VALE3,VALE3,B3,1:1,True,False,False,False,True,cedears_byma_list.txt,parsed
Vanguard FTSE Developed Markets ETF,VEA,VEA,NYSE ARCA,10:1,True,False,False,True,True,cedears_byma_list.txt,parsed
VANGUARD DIVIDEND APPRECIATION,VIG,VIG,NYSE ARCA,39:1,True,False,False,False,True,cedears_byma_list.txt,parsed
Vista Energy S.A.B. de C.V.,VIST,VIST,NYSE,3:1,True,False,True,False,True,cedears_byma_list.txt,parsed
Telefônica Brasil S.A.,VIV,VIV,NYSE,1:1,True,False,True,False,True,cedears_byma_list.txt,parsed
Telefônica Brasil S.A.,VIVT3,VIVT3,B3,1:1,True,False,False,False,True,cedears_byma_list.txt,parsed
Vodafone Group Plc,VOD,VOD,NASDAQ,1:1,True,True,False,False,True,cedears_byma_list.txt,parsed
VERTEX PHARMACEUTICALS INC,VRTX,VRTX,NYSE,101:1,True,True,True,False,True,cedears_byma_list.txt,parsed
VISTRA CORPORATION,VST,VST,NYSE,26:1,True,False,True,False,True,cedears_byma_list.txt,parsed
Verizon Communications Inc.,VZ,VZ,NYSE,4:1,True,False,True,False,True,cedears_byma_list.txt,parsed
Walgreens Boots Alliance Inc.,WBA,WBA,NASDAQ,3:1,True,True,False,False,True,cedears_byma_list.txt,parsed
Weibo Corporation,WBO,WBO,NASDAQ,6:1,True,True,False,False,True,cedears_byma_list.txt,parsed
Weg S.A.,WEGE3,WEGE3,B3,1:1,True,False,False,False,True,cedears_byma_list.txt,parsed
Wells Fargo & Co.,WFC,WFC,NYSE,5:1,True,False,True,False,True,cedears_byma_list.txt,parsed
Walmart Inc.,WMT,WMT,NYSE,18:1,True,False,True,False,True,cedears_byma_list.txt,parsed
The Materials Select Sector SPDR Fund,XLB,XLB,NYSE ARCA,18:1,True,False,False,False,True,cedears_byma_list.txt,parsed
The Communication Services Select Sector SPDR Fund,XLC,XLC,NYSE ARCA,19:1,True,False,False,False,True,cedears_byma_list.txt,parsed
ENERGY SELECT SECTOR SPDR FUND,XLE,XLE,NYSE ARCA,2:1,True,False,False,False,True,cedears_byma_list.txt,parsed
FINANCIAL SELECT SECTOR SPDR FUND,XLF,XLF,NYSE ARCA,2:1,True,False,False,False,True,cedears_byma_list.txt,parsed
The Industrial Select Sector SPDR Fund,XLI,XLI,NYSE ARCA,28:1,True,False,False,False,True,cedears_byma_list.txt,parsed
The Technology Select Sector SPDR Fund,XLK,XLK,NYSE ARCA,46:1,True,False,False,False,True,cedears_byma_list.txt,parsed
The Consumer Staples Select Sector SPDR Fund,XLP,XLP,NYSE ARCA,16:1,True,False,False,False,True,cedears_byma_list.txt,parsed
The Real Estate Select Sector SPDR Fund,XLRE,XLRE,NYSE ARCA,9:1,True,False,False,False,True,cedears_byma_list.txt,parsed
First Trust NASDAQ Cybersecurity,XLU,XLU,NASDAQ,10:1,True,True,False,False,True,cedears_byma_list.txt,parsed
The Health Care Select Sector SPDR Fund,XLV,XLV,NYSE ARCA,29:1,True,False,False,False,True,cedears_byma_list.txt,parsed
The Consumer Discretionary Select Sector SPDR Fund,XLY,XLY,NYSE ARCA,43:1,True,False,False,False,True,cedears_byma_list.txt,parsed
State Street SPDR S&P Metals & Mining ETF,XME,XME,NYSE ARCA,30:1,True,False,False,True,True,cedears_byma_list.txt,parsed
Exxon Mobil Corporation,XOM,XOM,NYSE,10:1,True,False,True,False,True,cedears_byma_list.txt,parsed
XP Inc,XP,XP,NASDAQ,04:01,True,True,False,False,True,cedears_byma_list.txt,parsed
Xerox Holding Corporation,XROX,XROX,NYSE,1:1,True,False,True,False,True,cedears_byma_list.txt,parsed
Square Inc.,XYZ,XYZ,NYSE,20:1,True,False,True,False,True,cedears_byma_list.txt,parsed
Yelp Inc.,YELP,YELP,NYSE,2:1,True,False,True,False,True,cedears_byma_list.txt,parsed
Zoom Video Communications Inc.,ZM,ZM,NASDAQ,47:1,True,True,False,False,True,cedears_byma_list.txt,parsed
