company_name,byma_ticker,underlying_ticker,exchange,ratio,is_us_listed,is_nasdaq,is_nyse,is_etf,tradable_from_argentina,source_file,parse_status
Gerdau S.A.,GGB,GGB,NYSE,1:4,True,False,True,False,True,cedears_byma_list.txt,parsed
"Gilead Sciences, Inc.",GILD,GILD,NASDAQ,4:1,True,True,False,False,True,cedears_byma_list.txt,parsed
ETF SPDR GOLD TRUST,GLD,GLD,NYSE,50:1,True,False,True,True,True,cedears_byma_list.txt,parsed
Golar LNG Ltd.,GLNG,GLNG,NASDAQ GS,10:1,True,False,False,False,True,cedears_byma_list.txt,parsed
Globant S.A.,GLOB,GLOB,NYSE,18:1,True,False,True,False,True,cedears_byma_list.txt,parsed
Corning Inc.,GLW,GLW,NYSE,4:1,True,False,True,False,True,cedears_byma_list.txt,parsed
General Motors Co,GM,GM,NYSE,6:1,True,False,True,False,True,cedears_byma_list.txt,parsed
Alphabet Inc.,GOOGL,GOOGL,NASDAQ,58:1,True,True,False,False,True,cedears_byma_list.txt,parsed
Geopark Ltd.,GPRK,GPRK,NYSE,1:1,True,False,True,False,True,cedears_byma_list.txt,parsed
Garmin Ltd.,GRMN,GRMN,NASDAQ,3:1,True,True,False,False,True,cedears_byma_list.txt,parsed
"The Goldman Sachs Group, Inc",GS,GS,NYSE,13:1,True,False,True,False,True,cedears_byma_list.txt,parsed
GSK Plc.,GSK,GSK,NYSE,4:1,True,False,True,False,True,cedears_byma_list.txt,parsed
Goodyear Tire & Rubber co./the,GT,GT,NASDAQ,2:1,True,True,False,False,True,cedears_byma_list.txt,parsed
Halliburton Co.,HAL,HAL,NYSE,2:1,True,False,True,False,True,cedears_byma_list.txt,parsed
Hapvida Participacoes E Investimentos S.A.,HAPV3,HAPV3,B3,1:1,True,False,False,False,True,cedears_byma_list.txt,parsed
The Home Depot Inc.,HD,HD,NYSE,32:1,True,False,True,False,True,cedears_byma_list.txt,parsed
Hdfc Bank Limited.,HDB,HDB,NYSE,2:1,True,False,True,False,True,cedears_byma_list.txt,parsed
"Hims & Hers Health, Inc.",HIMS,HIMS,NYSE,4:1,True,False,True,False,True,cedears_byma_list.txt,parsed
Hecla Mining Co .,HL,HL,NYSE,1:1,True,False,True,False,True,cedears_byma_list.txt,parsed
Honda Motor Co. Ltd,HMC,HMC,NYSE,1:1,True,False,True,False,True,cedears_byma_list.txt,parsed
Harmony Gold Mining Company Ltd.,HMY,HMY,NYSE,1:1,True,False,True,False,True,cedears_byma_list.txt,parsed
Huaneng Power Intl,HNPIY,HNPIY,NYSE,1:1,True,False,True,False,True,cedears_byma_list.txt,parsed
Harley-Davidson Inc.,HOG,HOG,NYSE,3:1,True,False,True,False,True,cedears_byma_list.txt,parsed
Honeywell International Inc.,HON,HON,NYSE,8:1,True,True,True,False,True,cedears_byma_list.txt,parsed
Robinhood Markets Inc,HOOD,HOOD,NASDAQ,29:1,True,True,False,False,True,cedears_byma_list.txt,parsed
Hp Inc,HPQ,HPQ,NYSE,1:1,True,False,True,False,True,cedears_byma_list.txt,parsed
Hsbc Holdings Plc,HSBC,HSBC,NYSE,2:1,True,False,True,False,True,cedears_byma_list.txt,parsed
The Hershey Company,HSY,HSY,NYSE,21:1,True,False,True,False,True,cedears_byma_list.txt,parsed
Hut 8 Mining Corp.,HUT,HUT,NASDAQ GS,5:1,True,False,False,False,True,cedears_byma_list.txt,parsed
Howmet Aerospace Inc.,HWM,HWM,NYSE,1:1,True,False,True,False,True,cedears_byma_list.txt,parsed
iShares Nasdaq Biotechnology ETF,IBB,IBB,NASDAQ,27:1,True,True,False,True,True,cedears_byma_list.txt,parsed
ISHARES BITCOIN TRUST,IBIT,IBIT,NASDAQ,10:1,True,True,False,False,True,cedears_byma_list.txt,parsed
International Business Machines,IBM,IBM,NYSE,15:1,True,False,True,False,True,cedears_byma_list.txt,parsed
Icici Bank Ltd.,IBN,IBN,NYSE,1:1,True,False,True,False,True,cedears_byma_list.txt,parsed
iShares Global Clean Energy ETF,ICLN,ICLN,NASDAQ GM,5:1,True,False,False,True,True,cedears_byma_list.txt,parsed
iShares Core MSCI Emerging Markets ETF,IEMG,IEMG,NYSE,12:1,True,False,True,True,True,cedears_byma_list.txt,parsed
iShares Core MSCI Europe ETF,IEUR,IEUR,NYSE ARCA,11:1,True,False,False,True,True,cedears_byma_list.txt,parsed
International Flavors & Fragrances Inc.,IFF,IFF,NYSE,12:1,True,False,True,False,True,cedears_byma_list.txt,parsed
iShares CORE S&P MID-CAP ETF,IJH,IJH,NYSE ARCA,12:1,True,False,False,True,True,cedears_byma_list.txt,parsed
IShares Latin America 40 ETF,ILF,ILF,NYSE,6:1,True,False,True,True,True,cedears_byma_list.txt,parsed
Infosys Limited,INFY,INFY,NASDAQ,1:1,True,True,False,False,True,cedears_byma_list.txt,parsed
Ing Groep Nv,ING,ING,NYSE,3:1,True,False,True,False,True,cedears_byma_list.txt,parsed
Intel Corporation,INTC,INTC,NASDAQ,5:1,True,True,False,False,True,cedears_byma_list.txt,parsed
International Paper Co.,IP,IP,NYSE,4:1,True,False,True,False,True,cedears_byma_list.txt,parsed
Iren Ltd,IREN,IREN,NASDAQ,12:1,True,True,False,False,True,cedears_byma_list.txt,parsed
Intuitive Surgical inc,ISRG,ISRG,NASDAQ,90:1,True,True,False,False,True,cedears_byma_list.txt,parsed
Itaú Unibanco Holding S.A.,ITUB,ITUB,NYSE,1:1,True,False,True,False,True,cedears_byma_list.txt,parsed
Banco Itaú Unibanco S.A,ITUB3,ITUB3,B3,1:1,True,False,False,False,True,cedears_byma_list.txt,parsed
iShares S&P 500 Value ETF,IVE,IVE,NYSE ARCA,40:1,True,False,False,True,True,cedears_byma_list.txt,parsed
IShares Core S&P 500 ETF,IVV,IVV,NYSE,692:1,True,False,True,True,True,cedears_byma_list.txt,parsed
iShares S&P 500 Growth ETF,IVW,IVW,NYSE ARCA,20:1,True,False,False,True,True,cedears_byma_list.txt,parsed
ISHARES TRUST RUSSELL 2000,IWM,IWM,NYSE ARCA,10:1,True,False,False,True,True,cedears_byma_list.txt,parsed
Johnson Controls International,JCI,JCI,NYSE,2:1,True,False,True,False,True,cedears_byma_list.txt,parsed
"Jd.Com, Inc.",JD,JD,NASDAQ,4:1,True,True,False,False,True,cedears_byma_list.txt,parsed
Adr Jumia Technologies Ag,JMIA,JMIA,NYSE,1:1,True,False,True,False,True,cedears_byma_list.txt,parsed
Johnson & Johnson,JNJ,JNJ,NYSE,15:1,True,False,True,False,True,cedears_byma_list.txt,parsed
JOYY Inc.,JOYY,JOYY,NASDAQ,5:1,True,True,False,False,True,cedears_byma_list.txt,parsed
J.P. Morgan & Chase Co.,JPM,JPM,NYSE,15:1,True,False,True,False,True,cedears_byma_list.txt,parsed
Kb Financial Group Inc.,KB,KB,NYSE,2:1,True,False,True,False,True,cedears_byma_list.txt,parsed
Bitfarms Ltd.,KEEL,KEEL,NASDAQ GM,1:5,True,False,False,False,True,cedears_byma_list.txt,parsed
Korea Electric Power Corp.,KEP,KEP,NYSE,1:1,True,False,True,False,True,cedears_byma_list.txt,parsed
Kinross Gold Corp,KGC,KGC,NYSE,1:1,True,False,True,False,True,cedears_byma_list.txt,parsed
Kimberly-Clark Corp.,KMB,KMB,NYSE,6:1,True,False,True,False,True,cedears_byma_list.txt,parsed
The Coca Cola Company,KO,KO,NYSE,5:1,True,False,True,False,True,cedears_byma_list.txt,parsed
"Coca-Cola Femsa, S.A.B. De C.V.",KOFM,KOFM,NYSE,2:1,True,False,True,False,True,cedears_byma_list.txt,parsed
Lithium Americas Corp,LAC,LAC,NYSE,1:1,True,False,True,False,True,cedears_byma_list.txt,parsed
Lithium Americas (Argentina) Corp,LAR,LAR,NYSE,1:1,True,False,True,False,True,cedears_byma_list.txt,parsed
China Life Insurance,LFC,LFC,NYSE,2:1,True,False,True,False,True,cedears_byma_list.txt,parsed
Eli Lilly and Company,LLY,LLY,NYSE,56:1,True,False,True,False,True,cedears_byma_list.txt,parsed
Lockheed Martin Corporation,LMT,LMT,NYSE,20:1,True,False,True,False,True,cedears_byma_list.txt,parsed
Brasilagro - Co Brasileira de Propriedades Agrícolas,LND,LND,NYSE,1:1,True,False,True,False,True,cedears_byma_list.txt,parsed
Lam Research Corp,LRCX,LRCX,NASDAQ,56:1,True,True,False,False,True,cedears_byma_list.txt,parsed
Lojas Renner S.A.,LREN3,LREN3,B3,1:1,True,False,False,False,True,cedears_byma_list.txt,parsed
Las Vegas Sands Corp,LVS,LVS,NYSE,2:1,True,False,True,False,True,cedears_byma_list.txt,parsed
Lloyds Banking Group Plc,LYG,LYG,NYSE,2:1,True,False,True,False,True,cedears_byma_list.txt,parsed
Mastercard Inc.,MA,MA,NYSE,33:1,True,False,True,False,True,cedears_byma_list.txt,parsed
Mobile Telesystems,MBT,MBT,NYSE,2:1,True,False,True,False,True,cedears_byma_list.txt,parsed
