date,model_version,data_mode,rebalance_due,signal_date,economic_application_date,holdings,weights,exposure,cash,gross_daily_return,turnover,commissions,spread_cost,slippage,market_impact,net_daily_return,gross_equity,net_equity,drawdown,spy_daily_return,qqq_daily_return,base_return,base_exposure,base_turnover,hmm_state,hmm_regime_label,strategy_return,strategy_exposure,strategy_turnover,hmm_action,variant,fold_id,train_end_after_purge,test_start,test_end,hmm_factor
2012-08-03,growth_champion_final_reconstructed_stress,reconstructed,True,2012-08-03,2012-08-06,"TMUS,ASML,CSGP",,0.6,0.4,0.0116994989759568,0.1499999999999999,0.0,0.0,0.0,0.0,0.0116994989759568,1.2166749137883432,1.2166749137883432,-0.1717215229383959,,,0.0116994989759568,0.6,0.1499999999999999,1,risk_on,0.0116994989759568,0.6,0.1499999999999999,canonical_no_hmm,canonical,1,2011-12-01,2012-07-31,2013-01-30,
2012-08-10,growth_champion_final_reconstructed_stress,reconstructed,True,2012-08-10,2012-08-13,"TMUS,SIRI,ASML,CSGP",,0.6,0.4,0.0187876430331079,0.1499999999999999,0.0,0.0,0.0,0.0,0.0187876430331079,1.239533367755936,1.239533367755936,-0.1561601225793562,,,0.0187876430331079,0.6,0.1499999999999999,1,risk_on,0.0187876430331079,0.6,0.1499999999999999,canonical_no_hmm,canonical,1,2011-12-01,2012-07-31,2013-01-30,
2012-08-17,growth_champion_final_reconstructed_stress,reconstructed,True,2012-08-17,2012-08-20,"TMUS,SIRI,ASML,CSGP",,0.6,0.4,-0.0074316242529071,0.0,0.0,0.0,0.0,0.0,-0.0074316242529071,1.2303216215178334,1.2303216215178334,-0.1624312234779656,,,-0.0074316242529071,0.6,0.0,1,risk_on,-0.0074316242529071,0.6,0.0,canonical_no_hmm,canonical,1,2011-12-01,2012-07-31,2013-01-30,
2012-08-24,growth_champion_final_reconstructed_stress,reconstructed,True,2012-08-24,2012-08-27,"TMUS,SIRI,ASML,CSGP",,0.6,0.4,-0.0005208241148858,0.0,0.0,0.0,0.0,0.0,-0.0005208241148858,1.2296808403482815,1.2296808403482815,-0.1628674494946537,,,-0.0005208241148858,0.6,0.0,1,risk_on,-0.0005208241148858,0.6,0.0,canonical_no_hmm,canonical,1,2011-12-01,2012-07-31,2013-01-30,
2012-08-31,growth_champion_final_reconstructed_stress,reconstructed,True,2012-08-31,2012-09-04,"TMUS,SIRI,ASML,CSGP",,0.6,0.4,-0.0027172111964516,0.0,0.0,0.0,0.0,0.0,-0.0027172111964516,1.226339537800825,1.226339537800825,-0.1651421154338009,,,-0.0027172111964516,0.6,0.0,1,risk_on,-0.0027172111964516,0.6,0.0,canonical_no_hmm,canonical,1,2011-12-01,2012-07-31,2013-01-30,
2012-09-10,growth_champion_final_reconstructed_stress,reconstructed,True,2012-09-10,2012-09-11,"TMUS,REGN,ASML,SIRI",,0.6,0.4,0.0065028882672952,0.15,0.0,0.0,0.0,0.0,0.0065028882672952,1.2343142867929104,1.2343142867929104,-0.1597131278913964,,,0.0065028882672952,0.6,0.15,1,risk_on,0.0065028882672952,0.6,0.15,canonical_no_hmm,canonical,1,2011-12-01,2012-07-31,2013-01-30,
2012-09-17,growth_champion_final_reconstructed_stress,reconstructed,True,2012-09-17,2012-09-18,"TMUS,GILD,ASML,REGN",,0.6,0.4,0.0032979347015527,0.15,0.0,0.0,0.0,0.0,0.0032979347015527,1.238384974711947,1.238384974711947,-0.1569419166566102,,,0.0032979347015527,0.6,0.15,1,risk_on,0.0032979347015527,0.6,0.15,canonical_no_hmm,canonical,1,2011-12-01,2012-07-31,2013-01-30,
2012-09-24,growth_champion_final_reconstructed_stress,reconstructed,True,2012-09-24,2012-09-25,"TMUS,GILD,ASML,REGN",,0.6,0.4,0.0434380954222344,0.0,0.0,0.0,0.0,0.0,0.0434380954222344,1.292178059412946,1.292178059412946,-0.1203210791858541,,,0.0434380954222344,0.6,0.0,1,risk_on,0.0434380954222344,0.6,0.0,canonical_no_hmm,canonical,1,2011-12-01,2012-07-31,2013-01-30,
2012-10-01,growth_champion_final_reconstructed_stress,reconstructed,True,2012-10-01,2012-10-02,"TMUS,GILD,ASML,REGN",,0.6,0.4,-0.0159203911792531,0.0,0.0,0.0,0.0,0.0,-0.0159203911792531,1.2716060792338435,1.2716060792338435,-0.1343259117173585,,,-0.0159203911792531,0.6,0.0,1,risk_on,-0.0159203911792531,0.6,0.0,canonical_no_hmm,canonical,1,2011-12-01,2012-07-31,2013-01-30,
2012-10-08,growth_champion_final_reconstructed_stress,reconstructed,True,2012-10-08,2012-10-09,"TMUS,GILD,ASML,REGN",,0.6,0.4,-0.0153850088585284,0.0,0.0,0.0,0.0,0.0,-0.0153850088585284,1.2520424084402724,1.2520424084402724,-0.1476443152341855,,,-0.0153850088585284,0.6,0.0,1,risk_on,-0.0153850088585284,0.6,0.0,canonical_no_hmm,canonical,1,2011-12-01,2012-07-31,2013-01-30,
