model,threshold,sample_reduction,trades_kept,TP_rate,SL_rate,hit_rate,average_realized_return,Sharpe,Sortino,Calmar,max_drawdown
logistic_regression,0.5,0.4538310412573674,278,0.28776978417266186,0.1366906474820144,0.6546762589928058,0.05185071674873716,1.2913501319442664,3.395180159353757,0.8622368093650485,-0.7577025521737961
logistic_regression,0.55,0.9921414538310412,4,0.5,0.0,0.5,-0.009902347187412501,-0.327362897108225,0.0,-0.5650880459100057,-0.2207966979030166
logistic_regression,0.6,0.9921414538310412,4,0.5,0.0,0.5,-0.009902347187412501,-0.327362897108225,0.0,-0.5650880459100057,-0.2207966979030166
logistic_regression,0.65,0.9960707269155207,2,0.0,0.0,0.0,-0.1172750699697083,0.0,0.0,-12.600000000000003,-0.11727506996970827
logistic_regression,0.7,1.0,0,,,,,,,,
random_forest_small,0.5,0.3595284872298625,326,0.26380368098159507,0.147239263803681,0.6257668711656442,0.03546775577294566,1.151597066476981,2.4122715931802317,0.5053709237068297,-0.8842885527746794
random_forest_small,0.55,0.6424361493123771,182,0.27472527472527475,0.17582417582417584,0.5934065934065934,0.03290125280835134,1.1119601054786354,2.166893637291231,0.5638296885855592,-0.7352500121538377
random_forest_small,0.6,0.9410609037328095,30,0.26666666666666666,0.3333333333333333,0.6666666666666666,0.016288690871415504,0.7442867385094287,1.1436693028942146,0.5336846872777498,-0.38456697348151936
random_forest_small,0.65,0.9882121807465619,6,0.3333333333333333,0.3333333333333333,0.6666666666666666,-0.011694003814943269,-0.3819109386206971,0.0,-0.48748110400099365,-0.30225673745906845
random_forest_small,0.7,1.0,0,,,,,,,,
gradient_boosting_small,0.5,0.07072691552062871,473,0.2748414376321353,0.16913319238900634,0.6046511627906976,0.034447322250315555,1.064754914128553,2.3136832466786807,0.4564932432123279,-0.9508054430327973
gradient_boosting_small,0.55,0.13752455795677798,439,0.2733485193621868,0.16856492027334852,0.6059225512528473,0.034177668174790204,1.051127540910252,2.2571978864798963,0.4578225372038069,-0.9406234599819427
gradient_boosting_small,0.6,0.3988212180746562,306,0.27450980392156865,0.18627450980392157,0.6013071895424836,0.03033389878770848,0.9566424835347702,1.9476879950058856,0.42627935081085,-0.8966118673074572
gradient_boosting_small,0.65,0.9135559921414538,44,0.36363636363636365,0.36363636363636365,0.5909090909090909,0.011724001183240596,0.3861134810705984,0.7599417207507113,0.29269620045497047,-0.5046953622192909
gradient_boosting_small,0.7,0.9567779960707269,22,0.45454545454545453,0.2727272727272727,0.8181818181818182,0.030045441035220558,1.205242656723672,2.554738340102365,1.2524867443030785,-0.30225673745906845
average_probability_ensemble,0.5,0.22789783889980353,393,0.2697201017811705,0.16793893129770993,0.6106870229007634,0.03361763161563661,1.0421367482308472,2.2245307306859274,0.45032063985003395,-0.9406234599819427
average_probability_ensemble,0.55,0.5029469548133596,253,0.2924901185770751,0.1383399209486166,0.6324110671936759,0.04153154290167826,1.3138942074344053,2.7884940318384186,0.6509608911178891,-0.8038846076643593
average_probability_ensemble,0.6,0.9607072691552063,20,0.4,0.3,0.7,0.001715458059121569,0.07028337323098693,0.17809968704527837,0.0626216071876605,-0.34516475248164713
average_probability_ensemble,0.65,0.9921414538310412,4,0.5,0.5,0.5,-0.0336096726014361,-0.9101499762777918,0.0,-2.5713922686051833,-0.16468972079775557
average_probability_ensemble,0.7,1.0,0,,,,,,,,
