n_states,from_state,to_state,from_label,to_label,transition_probability
2,0,0,risk_on,risk_on,0.9833569458263363
2,0,1,risk_on,risk_off,0.016643054173663626
2,1,0,risk_off,risk_on,0.029865051294845235
2,1,1,risk_off,risk_off,0.9701349487051547
3,0,0,risk_on,risk_on,0.9748765767032139
3,0,1,risk_on,risk_off,2.4081253057051382e-11
3,0,2,risk_on,neutral,0.025123423272704722
3,1,0,risk_off,risk_on,1.4489551441537303e-161
3,1,1,risk_off,risk_off,0.9742901630520064
3,1,2,risk_off,neutral,0.025709836947993628
3,2,0,neutral,risk_on,0.0246461099089396
3,2,1,neutral,risk_off,0.013905865381582753
3,2,2,neutral,neutral,0.9614480247094777
4,0,0,risk_on,risk_on,0.9712205004612695
4,0,1,risk_on,neutral,0.02743295438877515
4,0,2,risk_on,risk_off,1.2437461344224085e-179
4,0,3,risk_on,neutral,0.0013465451499553836
4,1,0,neutral,risk_on,0.03213245986560235
4,1,1,neutral,neutral,0.9493800272764983
4,1,2,neutral,risk_off,1.0823407441005254e-138
4,1,3,neutral,neutral,0.018487512857899364
4,2,0,risk_off,risk_on,0.0
4,2,1,risk_off,neutral,6.178706e-317
4,2,2,risk_off,risk_off,0.9645385874553918
4,2,3,risk_off,neutral,0.03546141254460812
4,3,0,neutral,risk_on,3.0749312393329125e-262
4,3,1,neutral,neutral,0.025208528694206277
4,3,2,neutral,risk_off,0.008562648825300414
4,3,3,neutral,neutral,0.9662288224804932
