model,start_date,end_date,observations,total_return,CAGR,volatility,Sharpe,Sortino,Calmar,max_drawdown,hit_rate,window_start,ticker_coverage,average_exposure,average_cash,average_turnover,average_selected_count
reconstructed_growth_2008-01-01,2008-12-31,2026-06-09,878,15.679757339494444,0.17514173206004724,0.19291071291812714,0.9642979349522938,1.4740849011752544,0.5049536217798576,-0.3468471647806163,0.571753986332574,2008-01-01,86,0.5996404024234039,0.400359597576596,0.10848475235235619,3.864464692482916
reconstructed_growth_2010-01-01,2011-01-03,2026-06-09,777,9.693358702074702,0.16598614142014623,0.19286990523284545,0.922253526528037,1.3776277461888968,0.4398537662723429,-0.37736664807224385,0.5752895752895753,2010-01-01,91,0.5995839966132808,0.40041600338671907,0.11094901749401931,3.875160875160875
reconstructed_growth_2015-01-01,2016-01-04,2026-06-05,525,7.411478846837522,0.22681888949580542,0.22622348978032486,1.0500464367883973,1.5535935290664011,0.5662040823892268,-0.4005956448400929,0.5942857142857143,2015-01-01,102,0.5963223132929956,0.4036776867070043,0.10476928741210542,3.815238095238095
reconstructed_growth_2020-01-01,2020-12-31,2026-06-10,274,2.2948289768423833,0.24505332030677773,0.30022046399968544,0.9051637876655654,1.7371035732436033,0.4619297615995246,-0.5304990946204275,0.5218978102189781,2020-01-01,124,0.5907278279147177,0.4092721720852822,0.11018913816833799,3.795620437956204
reconstructed_growth_2022-01-03,2023-01-04,2026-06-10,173,4.26732207796018,0.6230942395880805,0.333796945098966,1.6734005026226084,3.0247102965164334,2.1065401377777415,-0.29579034760068856,0.5780346820809249,2022-01-03,135,0.5811131486040317,0.41888685139596826,0.10411736361513697,3.739884393063584
