scope,group,horizon,alpha,beta,r2,sample_size,MAE_before,MAE_after,RMSE_before,RMSE_after,bias_before,bias_after,IC_before,IC_after
global,all,5D,0.004215933797419656,0.02847604387304263,0.00015619702797187163,7084,0.04439022504766926,0.04074431322867711,0.06412646913273706,0.05832154203896575,-0.0041478936161443,-0.0032976846838386285,0.02515882508161293,0.02515882508161293
regime,neutral,5D,0.0037239453001149084,0.04702719427411441,0.00039759869800060077,5382,0.04241914734780794,0.038298588383936794,0.06242055048243983,0.05543795639442142,-0.0028676225328989674,-0.002891527594954781,0.035761121334231184,0.035761121334231184
regime,risk_off,5D,0.008369886204388137,-0.08822956299293985,0.00031977092610635527,1472,0.053260074697045204,0.05140775397790377,0.07129978392314139,0.06954688844695428,-0.0099091134907483,-0.003015385080074489,-0.04867967066679985,0.04867967066679985
volatility_quintile,"(-0.0009834, 0.000902]",5D,0.0063816432840774736,1.3081406206832438,0.00011732477983505962,1456,0.042901354257816826,0.04264955193730025,0.059139052929417464,0.05820646219843844,-0.011741974631477612,-0.005366157432750929,0.025140989137353405,0.025140989137353405
volatility_quintile,"(0.000902, 0.00189]",5D,0.00394551457344551,-1.062967501644324,0.0006065335231901781,1416,0.044160268270204674,0.04355461185966588,0.06355427868129844,0.0631153831976988,-0.00782656847192669,-0.003410056144379251,-0.057997676385412485,0.057997676385412485
volatility_quintile,"(0.00189, 0.00341]",5D,0.0036650753074119954,-0.6169896038142374,0.0008292307043678004,1397,0.03924663487747303,0.03867700991758637,0.055483937912262284,0.05504490661217705,-0.004899892755596128,0.0002172850451345251,-0.0899609578268946,0.0899609578268946
volatility_quintile,"(0.00341, 0.0116]",5D,0.0061543369589580005,0.4711863984376914,0.0020790653700478723,1383,0.04091293287634099,0.0400501556900274,0.060237834256132536,0.059105076854002056,-0.012007000268413424,-0.003958663891684922,0.04097793923768787,0.04097793923768787
volatility_quintile,"(0.0116, 0.429]",5D,0.0012421959501848542,0.04484927539564973,0.0019876681231524307,1432,0.055270518875148944,0.03894951777338674,0.07997816696519222,0.05547542343485223,0.01621047808326955,-0.0043666894039632595,0.051663219459829636,0.051663219459829636
ticker,AAPL,5D,0.0024497754994493,0.04170141511240198,0.00021147578619329366,308,0.03454616563821734,0.03228912026340917,0.04239984719344962,0.040294595385848016,-0.005409902717206925,-0.0022627329292751763,-0.03250182653167728,-0.03250182653167728
ticker,ADBE,5D,-0.0003043232389323813,0.04016048124076837,0.00040890875022636664,308,0.03807559106861379,0.03702652447306848,0.04742634933796213,0.04686763014455852,0.006723679191489163,0.007470287382549897,-0.025696691368333163,-0.025696691368333163
ticker,AMAT,5D,0.0022766770160100713,0.30801866977002074,0.006824410418843296,308,0.05471398871714636,0.04997268452029684,0.07298500861134093,0.0653409526680834,-0.009426339673901002,-0.01151067586859049,0.10251539505270851,0.10251539505270851
ticker,AMD,5D,0.0007399513895412098,0.4621845317992126,0.005500868871268216,308,0.0734274002286409,0.06817595227416015,0.10520108188001318,0.09748441882829914,-0.006532978825637964,-0.01590390335550587,-0.09470827679782905,-0.09470827679782905
ticker,AMZN,5D,0.003622086791997817,-0.2990661849576399,0.003419766075987707,308,0.03350315573915043,0.03331921293653047,0.04458520641495481,0.045307183892610174,-0.003403480453551845,0.001040127919386851,0.22692829558501207,-0.22692829558501207
ticker,AVGO,5D,0.009515901897581176,-0.1770709343846043,0.0067515389553615135,308,0.05397648207582331,0.05030666397006253,0.07125098697707494,0.06608109239297141,-0.010502273552789593,-0.0035937551598422424,0.02269074209372717,-0.02269074209372717
ticker,CCJ,5D,0.008081501888797245,-0.10905070134056218,0.0013825881754278013,308,0.05853882575040312,0.049596937808930895,0.0792197385015337,0.06397343297969425,0.000453287865008241,-0.006636119956296857,0.18292453814841877,-0.18292453814841877
ticker,COST,5D,0.0038936558052192504,0.05309492709575164,0.0006044372406783793,308,0.02608133194035241,0.022476785328775246,0.03623822974733531,0.030747602894695886,0.0003764357101445039,0.00253675727176222,0.08080576140277634,0.08080576140277634
ticker,CSCO,5D,0.00012860236209422034,-0.03372221969712145,0.00015661068190409022,308,0.032789613776777665,0.028747578576239347,0.04791973685737767,0.04262625487734414,-0.010717481714967933,-0.0114282761217975,-0.3096336499321575,0.3096336499321575
ticker,GOOGL,5D,0.002801522970951942,0.037423313636000786,0.0001306743245734765,308,0.04362787007864077,0.035224705946369395,0.05689921974094394,0.04699957123798354,0.0019830078855635944,-0.008004132758055234,0.04803256445047491,0.04803256445047491
ticker,INTC,5D,-0.004147676039531164,-0.2683011269827928,0.004101941649819918,308,0.07991621853352936,0.07646310400982471,0.11800401705333034,0.10615640106924955,-0.012963741632211477,-0.04116306107268293,0.08218348815363742,-0.08218348815363742
ticker,META,5D,0.006799109472796163,-0.041871286538377225,0.0002807413100931466,308,0.03918152778206298,0.040222564220217936,0.05173439577860678,0.05174109137103517,-0.0001953692842625317,0.0070681463627616375,0.058636885502557155,-0.058636885502557155
ticker,MSFT,5D,0.00234749034051841,0.10394824715028239,0.0010729678368144313,308,0.028287827593880974,0.026647245375600783,0.0399381784290135,0.039458619694606525,0.0002511988182884129,0.002423897050201765,0.1448491806700762,0.1448491806700762
ticker,NFLX,5D,0.006081629650174584,-0.03937678565445264,5.3134297014589826e-05,308,0.03865323207450919,0.03599701142922064,0.05304328790522416,0.04765075852362978,0.004912327659883874,0.006321382289613093,0.15891869324705146,-0.15891869324705146
ticker,NVDA,5D,0.010915471018863606,0.08437062147891923,0.0019147410650873775,308,0.04413345522210481,0.04206983051886832,0.05547445297421518,0.05298925980686507,-0.010928366383259098,0.0009898352010099345,-0.007410499947813381,-0.007410499947813381
ticker,PEP,5D,-0.0006516484304956613,0.024645300716722624,0.00014058833066077359,308,0.0273891601342958,0.023507349006352457,0.03702635283953856,0.030690593878198152,0.0018666013766386806,-0.0010745561385905142,-0.11420519778728735,-0.11420519778728735
ticker,QCOM,5D,0.0005872359343315064,0.02953768795045337,8.386103113700027e-05,308,0.04514304482473719,0.04318489507850536,0.0657978625498302,0.06253906175900929,-0.008007357176092966,-0.006265613855979645,-0.0395157081724246,-0.0395157081724246
ticker,QQQ,5D,0.0021549323289443093,0.0004998026622055672,3.1686050450119296e-08,308,0.02208088613944317,0.019993952635348155,0.02867260694599067,0.02693631720125821,-0.0064677086054841645,-0.003069709326868595,0.10017743450579274,0.10017743450579274
ticker,SPY,5D,0.001579263831233873,-0.06805699359495217,0.001024474170741252,308,0.018288328620266196,0.014994739801741768,0.023848846447377555,0.020120014560897004,-0.006863536960752644,-0.0016421389501528362,-0.011668928086838535,0.011668928086838535
ticker,TSLA,5D,0.003804037616405844,-0.07382364632676755,0.0011063957798704838,308,0.05485033962246592,0.053911567933052636,0.07139206372450703,0.07031389289727581,-0.007850192514757394,0.0002734670967086504,-0.040559440559440565,0.040559440559440565
