date,ticker,selected,horizon,current_price,take_profit_price,stop_loss_price,vertical_barrier_date,first_touch_date,first_touch_type,label,realized_return_at_barrier,max_favorable_excursion,max_adverse_excursion,time_to_first_touch,daily_volatility,volatility_horizon
2022-06-21,AAPL,False,5,135.8699951171875,143.65418172220217,128.08580851217283,2022-06-28,2022-06-28,vertical_timeout,0,0.011555217344820123,0.04261432805622767,-0.003827107031419197,5,0.025621507358329524,0.05729143213923588
2022-06-21,AAPL,False,10,135.8699951171875,146.8784973860422,124.8614928483328,2022-07-06,2022-07-06,vertical_timeout,0,0.05188785828451081,0.05188785828451081,-0.003827107031419197,10,0.025621507358329524,0.0810223203390852
2022-06-21,AAPL,False,20,135.8699951171875,151.43836832721684,120.30162190715818,2022-07-20,2022-07-20,take_profit,1,0.12637078667837032,0.12637078667837032,-0.003827107031419197,20,0.025621507358329524,0.11458286427847177
2022-06-21,MSFT,False,5,253.74000549316406,267.2224528585974,240.25755812773073,2022-06-28,2022-06-24,take_profit,1,0.05501697174923126,0.05501697174923126,-0.0024040379803964562,3,0.0237626453531263,0.053134890334809906
2022-06-21,MSFT,False,10,253.74000549316406,272.80706541134134,234.67294557498684,2022-07-06,2022-07-06,vertical_timeout,0,0.04914473749489234,0.05501697174923126,-0.0024040379803964562,10,0.0237626453531263,0.07514408254669526
2022-06-21,MSFT,False,20,253.74000549316406,280.7049002240307,226.7751107622974,2022-07-20,2022-07-20,vertical_timeout,0,0.03361702268402289,0.05777562893493071,-0.004019879602660481,20,0.0237626453531263,0.10626978066961981
2022-06-21,NVDA,False,5,16.56599998474121,18.18453947751637,14.947460491966051,2022-06-28,2022-06-28,vertical_timeout,0,-0.03525290560950012,0.03380414502343321,-0.03525290560950012,5,0.04369388305501465,0.09770249271193894
2022-06-21,NVDA,False,10,16.56599998474121,18.85496048666031,14.277039482822111,2022-07-06,2022-07-06,vertical_timeout,0,-0.08668356100585406,0.03380414502343321,-0.12332489575843475,10,0.04369388305501465,0.13817219027088254
2022-06-21,NVDA,False,20,16.56599998474121,19.80307897029153,13.328920999190894,2022-07-20,2022-07-20,vertical_timeout,0,0.07491242442018775,0.07491242442018775,-0.12332489575843475,20,0.04369388305501465,0.19540498542387788
2022-06-21,AMZN,False,5,108.68000030517578,117.44001613102573,99.91998447932585,2022-06-28,2022-06-28,vertical_timeout,0,-0.011777684723064175,0.0715862969953116,-0.011777684723064175,5,0.0360470938821695,0.0806037523118478
2022-06-21,AMZN,False,10,108.68000030517578,121.06853349269569,96.29146711765586,2022-07-06,2022-07-06,vertical_timeout,0,0.05198750009213815,0.0715862969953116,-0.02272728389554024,10,0.0360470938821695,0.11399091969757687
2022-06-21,AMZN,False,20,108.68000030517578,126.20003195687565,91.15996865347591,2022-07-20,2022-07-20,vertical_timeout,0,0.12964663506004426,0.12964663506004426,-0.02272728389554024,20,0.0360470938821695,0.1612075046236956
2022-06-21,GOOGL,False,5,111.54399871826172,117.78410940682939,105.30388802969405,2022-06-28,2022-06-24,take_profit,1,0.05765437701496445,0.05765437701496445,-0.0005064877281888425,3,0.025018489290497176,0.05594304274790217
2022-06-21,GOOGL,False,10,111.54399871826172,120.36884788474342,102.71914955178002,2022-07-06,2022-07-06,vertical_timeout,0,0.027146237473320456,0.05765437701496445,-0.025160436229227923,10,0.025018489290497176,0.07911540977450107
2022-06-21,GOOGL,False,20,111.54399871826172,124.02422009539704,99.0637773411264,2022-07-20,2022-07-20,vertical_timeout,0,0.021121735231744543,0.07001274598084373,-0.025160436229227923,20,0.025018489290497176,0.11188608549580434
2022-06-21,META,False,5,157.0500030517578,171.5446449294883,142.5553611740273,2022-06-28,2022-06-28,vertical_timeout,0,0.02311359155355852,0.08347660207323271,-0.007640859120815913,5,0.04127475825319043,0.09229316520900428
2022-06-21,META,False,10,157.0500030517578,177.54852217698533,136.5514839265303,2022-07-06,2022-07-06,vertical_timeout,0,0.08099332042999752,0.08347660207323271,-0.007640859120815913,10,0.04127475825319043,0.13052224595291453
2022-06-21,META,False,20,157.0500030517578,186.03928680721884,128.0607192962968,2022-07-20,2022-07-20,vertical_timeout,0,0.1658070218410057,0.1658070218410057,-0.007640859120815913,20,0.04127475825319043,0.18458633041800857
2022-06-21,TSLA,False,5,237.0366668701172,262.92657409171346,211.14675964852094,2022-06-28,2022-06-28,vertical_timeout,0,-0.018450043403574035,0.036576611894800104,-0.018450043403574035,5,0.048846107433980504,0.10922321665863824
2022-06-21,TSLA,False,10,237.0366668701172,273.65052479147977,200.42280894875464,2022-07-06,2022-07-06,vertical_timeout,0,-0.02237345613149111,0.036576611894800104,-0.0530016701605176,10,0.048846107433980504,0.15446495432466115
2022-06-21,TSLA,False,20,237.0366668701172,288.8164813133097,185.25685242692467,2022-07-20,2022-07-20,vertical_timeout,0,0.04414225557607976,0.057909476591842646,-0.0530016701605176,20,0.048846107433980504,0.21844643331727648
2022-06-21,SPY,False,5,375.07000732421875,390.0478036112273,360.0922110372102,2022-06-28,2022-06-24,take_profit,1,0.040019140306977175,0.040019140306977175,-0.0018129753446093355,3,0.017858730368671916,0.039933335096190285
2022-06-21,SPY,False,10,375.07000732421875,396.25180996776766,353.88820468066984,2022-07-06,2022-07-06,vertical_timeout,0,0.021809242317555544,0.040019140306977175,-0.0018129753446093355,10,0.017858730368671916,0.05647426408382181
2022-06-21,SPY,False,20,375.07000732421875,405.02559989823584,345.1144147502016,2022-07-20,2022-07-20,vertical_timeout,0,0.052523479096594494,0.052523479096594494,-0.0018129753446093355,20,0.017858730368671916,0.07986667019238057
2022-06-21,QQQ,False,5,281.0799865722656,295.95311802736546,266.2068551171658,2022-06-28,2022-06-28,vertical_timeout,0,0.008752035328647656,0.04813576001725872,-0.0014585639821989016,5,0.023663963683407334,0.05291423141318511
