,final_weight_decimal,final_weight_percent,allocation_per_1000
CASH,0.5056,50.56,505.6
AMPG,0.1294262635303807,12.94262635303807,129.4262635303807
ALAB,0.12555526122078492,12.555526122078492,125.55526122078491
ARM,0.12103559290705844,12.103559290705844,121.03559290705844
AMRX,0.11838288234177587,11.838288234177586,118.38288234177587
