variant,score_source,capture_type,realized_return,volatility,Sharpe,Sortino,Calmar,max_drawdown,hit_rate,direction_accuracy,IC_5D,IC_10D,IC_20D,monotonicity_20d,average_cash,selected_count,turnover,sample_size,TP_rate,SL_rate,TP_minus_SL
no_signal_strength_adjustment,constant_penalty_proxy,proxy,0.6045537317352057,0.4068280598235057,1.5355134902058687,2.4291997936155703,5.296055350225503,-0.1357226341143647,0.5761363636363637,0.5409090909090909,0.02925145678925396,0.05358837771403628,0.06624548949719505,0.9757575757575757,0.09818181818181845,2.0454545454545454,0.49818181818181817,880,0.2733333333333333,0.14222222222222222,0.1311111111111111
no_signal_strength_and_no_regime_adjustment,constant_penalty_proxy,proxy,0.6045537317352057,0.4068280598235057,1.5355134902058687,2.4291997936155703,5.296055350225503,-0.1357226341143647,0.5761363636363637,0.5409090909090909,0.02925145678925396,0.05358837771403628,0.06624548949719505,0.9757575757575757,0.09818181818181845,2.0454545454545454,0.49818181818181817,880,0.2733333333333333,0.14222222222222222,0.1311111111111111
raw_target_return_only,raw_daily_return_proxy,proxy,0.6045537317352057,0.4068280598235057,1.5355134902058687,2.4291997936155703,5.296055350225503,-0.1357226341143647,0.5761363636363637,0.5409090909090909,0.02925145678925396,0.05358837771403628,0.06624548949719505,0.9757575757575757,0.09818181818181845,2.0454545454545454,0.49818181818181817,880,0.2733333333333333,0.14222222222222222,0.1311111111111111
baseline_current,final_expected_daily_return,exact,0.3827435473272154,0.3374871742260174,1.2698859902447974,1.7472225071785839,2.660707172614676,-0.16893369184678086,0.6079545454545454,0.5727272727272728,0.013619998105921368,0.03460225791211048,0.04497696135680983,0.4787878787878787,0.09818181818181845,2.0090909090909093,0.6795454545454546,880,0.2850678733031674,0.1832579185520362,0.10180995475113122
raw_target_return_with_final_scaling,scaling_final_proxy,proxy,0.3827435473272154,0.3374871742260174,1.2698859902447974,1.7472225071785839,2.660707172614676,-0.16893369184678086,0.6079545454545454,0.5727272727272728,0.013619998105921368,0.03460225791211048,0.04497696135680983,0.4787878787878787,0.09818181818181845,2.0090909090909093,0.6795454545454546,880,0.2850678733031674,0.1832579185520362,0.10180995475113122
no_regime_adjustment,signal_strength_adjusted_proxy,proxy,0.18586425257235728,0.3369608773691007,0.7479377267198111,1.073898371894381,1.2523298379602354,-0.17218819669242857,0.5840909090909091,0.55,0.01971666090541904,0.035428629508068105,0.029141955673681007,0.09090909090909088,0.09818181818181845,2.0318181818181817,0.7142424242424243,880,0.2684563758389262,0.19910514541387025,0.06935123042505592
