date,ticker,action,old_weight,new_weight,weight_change,old_position_value,new_position_value,estimated_trade_value,execution_price,reason,raw_target_rank,raw_target_return_exact,quality_filter_pass,tradability_filter_pass,holding_quality_classification,growth_model_version,data_mode,archive_reason
2026-06-17,ARM,BUY,0.0,0.3,0.3,0.0,30000.0,30000.0,430.3450012207031,new_growth_selection,1.0,,True,True,speculative_but_tradable,growth_champion_final_v1_0_frozen,historical_debug_reconstruction,before exact official forward start; useful for debugging only
2026-06-17,KEEL,BUY,0.0,0.3,0.3,0.0,30000.0,30000.0,6.090099811553955,new_growth_selection,2.0,,True,True,speculative_but_tradable,growth_champion_final_v1_0_frozen,historical_debug_reconstruction,before exact official forward start; useful for debugging only
2026-06-17,CASH,CASH_CHANGE,1.0,0.4,-0.6,100000.0,40000.0,60000.0,1.0,cash_rebalance,,,,,,growth_champion_final_v1_0_frozen,historical_debug_reconstruction,before exact official forward start; useful for debugging only
2026-06-18,ARM,HOLD,0.3,0.3,0.0,30000.0,30486.04002044036,0.0,439.4599914550781,still_selected_same_weight,,,,,,growth_champion_final_v1_0_frozen,historical_debug_reconstruction,before exact official forward start; useful for debugging only
2026-06-18,KEEL,HOLD,0.3,0.3,0.0,30000.0,30486.04002044036,0.0,6.289999961853027,still_selected_same_weight,,,,,,growth_champion_final_v1_0_frozen,historical_debug_reconstruction,before exact official forward start; useful for debugging only
2026-06-18,CASH,HOLD,0.4,0.4,0.0,40648.05336058715,40648.05336058715,0.0,1.0,cash_unchanged,,,,,,growth_champion_final_v1_0_frozen,historical_debug_reconstruction,before exact official forward start; useful for debugging only
2026-06-22,KEEL,HOLD,0.3,0.3,0.0,30486.04002044036,30363.472685873458,0.0,6.659999847412109,still_selected_same_weight,,,,,,growth_champion_final_v1_0_frozen,historical_debug_reconstruction,before exact official forward start; useful for debugging only
2026-06-22,CASH,HOLD,0.4,0.4,0.0,40484.63024783129,40484.63024783129,0.0,1.0,cash_unchanged,,,,,,growth_champion_final_v1_0_frozen,historical_debug_reconstruction,before exact official forward start; useful for debugging only
2026-06-22,ARM,HOLD,0.3,0.3,0.0,30486.04002044036,30363.472685873458,0.0,407.7200012207031,still_selected_same_weight,,,,,,growth_champion_final_v1_0_frozen,historical_debug_reconstruction,before exact official forward start; useful for debugging only
2026-06-23,ARM,HOLD,0.3,0.3,0.0,30363.472685873458,29358.038935064305,0.0,366.3900146484375,still_selected_same_weight,,,,,,growth_champion_final_v1_0_frozen,historical_debug_reconstruction,before exact official forward start; useful for debugging only
2026-06-23,KEEL,HOLD,0.3,0.3,0.0,30363.472685873458,29358.038935064305,0.0,6.599999904632568,still_selected_same_weight,,,,,,growth_champion_final_v1_0_frozen,historical_debug_reconstruction,before exact official forward start; useful for debugging only
2026-06-23,CASH,HOLD,0.4,0.4,0.0,39144.05191341908,39144.05191341908,0.0,1.0,cash_unchanged,,,,,,growth_champion_final_v1_0_frozen,historical_debug_reconstruction,before exact official forward start; useful for debugging only
2026-06-24,ARM,HOLD,0.3,0.3,0.0,29358.038935064305,28541.77885021597,0.0,359.0799865722656,still_selected_same_weight,,,,,,growth_champion_final_v1_0_frozen,historical_debug_reconstruction,before exact official forward start; useful for debugging only
2026-06-24,KEEL,HOLD,0.3,0.3,0.0,29358.038935064305,28541.77885021597,0.0,6.119999885559082,still_selected_same_weight,,,,,,growth_champion_final_v1_0_frozen,historical_debug_reconstruction,before exact official forward start; useful for debugging only
2026-06-24,CASH,HOLD,0.4,0.4,0.0,38055.7051336213,38055.7051336213,0.0,1.0,cash_unchanged,,,,,,growth_champion_final_v1_0_frozen,historical_debug_reconstruction,before exact official forward start; useful for debugging only
