ticker,first_available_price_date,last_available_price_date,trade_count,trades_with_available_snapshot,ticker_existed_on_trade_dates,suspicious_gap_count,max_gap_days,first_trade_lag_days,performance_into_first_trade,appears_only_after_strong_performance,availability_warning
AMD,2022-01-03,2026-05-15,201,201,True,0,10.0,136,-0.35656286851411345,False,ok
AMAT,2022-01-03,2026-05-15,138,138,True,0,10.0,596,-0.07553296520656283,False,ok
AVGO,2022-01-03,2026-05-15,101,101,True,0,10.0,0,,False,ok
TSLA,2022-01-03,2026-05-15,73,73,True,0,10.0,0,,False,ok
VIST,2022-01-03,2026-05-15,70,70,True,0,10.0,15,,False,ok
YPF,2022-01-03,2026-05-15,58,58,True,0,10.0,22,-0.027227697062989997,False,ok
NVDA,2022-01-03,2026-05-15,54,54,True,0,10.0,43,-0.12038111004890495,False,ok
CCJ,2022-01-03,2026-05-15,53,53,True,0,10.0,7,,False,ok
INTC,2022-01-03,2026-05-15,44,44,True,0,10.0,457,-0.38301066724440347,False,ok
META,2022-01-03,2026-05-15,31,31,True,0,10.0,93,-0.3404029142330235,False,ok
NFLX,2022-01-03,2026-05-15,25,25,True,0,10.0,108,-0.6346987514955591,False,ok
AMZN,2022-01-03,2026-05-15,17,17,True,0,10.0,479,-0.3555334350738192,False,ok
QCOM,2022-01-03,2026-05-15,5,5,True,0,10.0,122,-0.2393534488869099,False,ok
GOOGL,2022-01-03,2026-05-15,3,3,True,0,10.0,822,0.038198776425956815,False,ok
TXN,2022-01-03,2026-05-15,2,2,True,0,10.0,1325,0.05335780610322716,False,ok
COST,2022-01-03,2026-05-15,1,1,True,0,10.0,165,-0.21178383102079834,False,ok
MSFT,2022-01-03,2026-05-15,1,1,True,0,10.0,660,0.01768487954513631,False,ok
