date,selected_count,exposure,current_weighted_return,equal_weight_return,sizing_alpha
2008-12-31,2,0.6,-0.036660669119027704,-0.03666066911902776,5.551115123125783e-17
2009-01-08,4,0.6,-0.043649886977620005,-0.04364988697762011,1.0408340855860843e-16
2009-01-15,4,0.6,-0.0050190370196313,-0.00501903701963133,3.0357660829594124e-17
2009-01-23,4,0.6,0.0314351014844855,0.031435101484485445,5.551115123125783e-17
2009-01-30,4,0.6,0.02932944245441227,0.02932944245441229,-2.0816681711721685e-17
2009-02-06,4,0.6,-0.0423316905854321,-0.04233169058543226,1.6653345369377348e-16
2009-02-13,4,0.6,0.0584871989508917,0.05848719895089168,2.0816681711721685e-17
2009-02-23,4,0.6,-0.015535801086909001,-0.015535801086909074,7.28583859910259e-17
2009-03-02,4,0.6,0.0269005503706446,0.026900550370644732,-1.3183898417423734e-16
2009-03-09,3,0.5999999999999996,0.0266613247393806,0.02666132473938066,-6.245004513516506e-17
2009-03-16,4,0.6,0.017352768157877202,0.01735276815787728,-7.632783294297951e-17
2009-03-23,4,0.6,-0.0166359610669604,-0.01663596106696053,1.2836953722228372e-16
2009-03-30,4,0.6,0.015662327534708802,0.01566232753470873,7.28583859910259e-17
2009-04-06,4,0.6,0.0341792601046307,0.03417926010463074,-3.469446951953614e-17
2009-04-14,4,0.6,0.030321317987609397,0.03032131798760946,-6.245004513516506e-17
2009-04-21,4,0.6,0.007653322932185199,0.0076533229321851005,9.8879238130678e-17
2009-04-28,4,0.6,0.0904408707217568,0.0904408707217568,0.0
2009-05-05,4,0.6,-0.08936438406614401,-0.08936438406614408,6.938893903907228e-17
2009-05-12,4,0.6,0.013161832811098602,0.013161832811098662,-6.071532165918825e-17
2009-05-19,4,0.6,-0.0290927087205496,-0.029092708720549528,-7.28583859910259e-17
2009-05-27,4,0.6,0.03916702747038921,0.039167027470389346,-1.3877787807814457e-16
2009-06-03,4,0.6,0.0150781115714091,0.015078111571409309,-2.0816681711721685e-16
2009-06-10,4,0.6,-0.0653655711311341,-0.06536557113113434,2.3592239273284576e-16
2009-06-17,4,0.6,-0.0104932927978886,-0.010493292797888685,8.500145032286355e-17
2009-06-24,4,0.6,-0.007352705972191799,-0.007352705972191664,-1.3444106938820255e-16
