bootstrap_id,n_states,state_assignment_agreement,mean_transition_persistence,converged,log_likelihood
1,2,0.9285254346426272,0.9682809728834294,True,-31999.847282983494
2,2,0.9519210130929384,0.9658390228206581,True,-29912.05405218892
3,2,0.9396866280317665,0.9679233954667543,True,-30522.871505931354
4,2,0.9544966731058167,0.9624195691596262,True,-28280.65649734533
5,2,0.9240180296200902,0.9617203491598598,True,-28763.09661048317
6,2,0.9632968448164843,0.9712075653143566,True,-30663.70654332646
7,2,0.9446233097231166,0.9691635210383716,True,-30182.560840597365
8,2,0.9753165915432497,0.9647869403188525,True,-30739.564784963677
9,2,0.9667310581669887,0.9672820753616683,True,-29371.50537481723
10,2,0.9714531015239322,0.9683559530821244,True,-28129.362957014473
11,2,0.9832582099162911,0.9635660537499736,True,-28975.55979625208
12,2,0.9907705516205194,0.9618902948854662,True,-30713.073156334372
13,2,0.9349645846748229,0.9732042768075047,True,-27388.60529767231
14,2,0.9918437432925521,0.9707971552361867,True,-30187.36819984463
15,2,0.9748873148744366,0.965091583264725,True,-28737.71749321994
16,2,0.9424769263790513,0.9696519533380841,True,-26662.84119164907
17,2,0.9504185447520928,0.9711294355400577,True,-30866.045875429136
18,2,0.9489160764112471,0.9674436372144524,True,-28504.467771499963
19,2,0.9834728482506976,0.9683548185785962,True,-30763.693990163014
20,2,0.9903412749517064,0.9665735950964351,True,-28376.916689261325
1,3,0.9330328396651641,0.9657192967652607,True,-28210.531831970744
2,3,0.9804679115690063,0.9593312218962239,True,-26050.210994403034
3,3,0.8716462760248981,0.9598756392418867,True,-26692.260373488898
4,3,0.974243399871217,0.9586434019573661,True,-23607.094358839764
5,3,0.7362094870143807,0.9551372359434839,True,-24212.62798292625
6,3,0.6913500751234171,0.9639865890693473,True,-26583.414043269284
7,3,0.8948272161408027,0.9535343479247557,True,-26509.679990744098
8,3,0.9667310581669887,0.958928561728091,True,-26753.703055162187
9,3,0.7366387636831938,0.9649620135425273,True,-24685.955578940084
10,3,0.9753165915432497,0.9662114487453518,True,-23861.21382559913
11,3,0.9201545396007726,0.9643336547442076,True,-24877.293768457926
12,3,0.9630822064820777,0.951941211279333,True,-27019.753507362693
13,3,0.9727409315303713,0.9623272694619011,True,-23558.08243090678
14,3,0.9295986263146598,0.960886276128677,True,-26185.844927760932
15,3,0.9383987980253273,0.9618504432420312,True,-24638.65811820926
16,3,0.9319596479931316,0.9647300807492805,True,-21963.790446841405
17,3,0.9583601631251342,0.9584583883323609,True,-27380.676719019604
18,3,0.9903412749517064,0.9649301222431813,True,-24121.380855189625
19,3,0.9184374329255205,0.9595121841422664,True,-27188.309150481397
20,3,0.9598626314659798,0.9581229947747717,True,-24254.469369144677
1,4,0.8003863490019317,0.9478230034906341,True,-26234.514583057007
2,4,0.9821850182442584,0.9531036771732678,True,-23583.216145837305
3,4,0.8722901910281177,0.9546040475860817,True,-24637.066274344274
4,4,0.8254990341274951,0.9389911382605463,True,-21226.49656407502
5,4,0.9437647563854904,0.9542314895576693,True,-21413.607373120212
6,4,0.845460399227302,0.9472165437765041,True,-24044.749013460972
7,4,0.9690920798454604,0.9456308127963026,True,-24373.05344757698
8,4,0.9813264649066323,0.9544892860598485,True,-24405.86734863783
9,4,0.9731702081991844,0.9596974024256959,True,-21831.06298961778
10,4,0.9727409315303713,0.9591926113234719,True,-21696.771449948512
11,4,0.841382270873578,0.9448772654573271,True,-23362.41616441252
12,4,0.8602704443013522,0.9372804716935907,True,-24987.75759146471
13,4,0.9617943764756386,0.9557317582821137,True,-20930.16055447547
14,4,0.9866924232667954,0.9562039165970853,True,-24166.1099451353
15,4,0.8201330757673321,0.9537610870701134,True,-22142.228885003537
16,4,0.9748873148744366,0.9552740410515143,True,-19533.378614499674
17,4,0.9360377763468556,0.9511571990631001,True,-25232.49669116395
18,4,0.8965443228160549,0.9523916466138538,True,-21902.340148176634
19,4,0.8662803176647349,0.9461476250900994,True,-25150.608900834097
20,4,0.9881948916076412,0.9523570782227111,True,-21854.098263952586
