ticker,entry_date,exit_date,holding_periods,return_after_exit_5d,return_after_exit_20d,sold_too_early_proxy,exit_reason_proxy
AMAT,2023-08-22,2023-08-29,1,0.0213361584171229,-0.0994799212826336,False,removed_by_ranking_or_optimizer
AMAT,2025-01-22,2025-01-29,1,0.0307507954540509,-0.1063441323565898,False,removed_by_ranking_or_optimizer
AMAT,2025-12-05,2025-12-19,2,0.025895963636463,0.268437212235167,True,removed_by_ranking_or_optimizer
AMAT,2026-01-06,2026-01-13,1,0.0668153489796776,0.1148358655372683,True,removed_by_ranking_or_optimizer
AMAT,2026-02-19,2026-03-12,3,0.0591217810387449,0.1844812857576276,True,removed_by_ranking_or_optimizer
AMD,2022-05-19,2022-06-10,3,-0.1397384522531617,-0.1946846566535087,False,removed_by_ranking_or_optimizer
AMD,2022-11-16,2022-12-08,3,-0.0559103501228368,-0.0458351539801685,False,removed_by_ranking_or_optimizer
AMD,2023-02-07,2023-02-14,1,-0.10866779138474,0.0433973646232908,False,removed_by_ranking_or_optimizer
AMD,2023-03-22,2023-03-29,1,-0.0367363816612501,-0.0900197130413821,False,removed_by_ranking_or_optimizer
AMD,2023-05-11,2023-06-16,5,-0.1046802090535395,-0.0179047426140435,False,removed_by_ranking_or_optimizer
AMD,2023-11-15,2023-11-30,2,0.0595080161534604,0.2166556553861283,True,removed_by_ranking_or_optimizer
AMD,2023-12-14,2024-02-06,7,0.021801216922022,0.2546461684334673,True,removed_by_ranking_or_optimizer
AMD,2024-03-06,2024-03-27,3,-0.0766189363963631,-0.1438276204564127,False,removed_by_ranking_or_optimizer
AMD,2024-06-07,2024-06-14,1,0.0038839510005819,0.1122595854213042,True,removed_by_ranking_or_optimizer
AMD,2024-07-16,2024-07-23,1,-0.1010389451856736,0.0155843759511973,False,removed_by_ranking_or_optimizer
AMD,2025-05-16,2025-05-23,1,0.0391623587202922,0.2549179198580882,True,removed_by_ranking_or_optimizer
AMD,2025-06-09,2025-08-27,11,-0.0319512441851717,-0.0350625288048095,False,removed_by_ranking_or_optimizer
AMD,2025-10-09,2025-11-06,4,0.0431636932997481,-0.0830037693767205,False,removed_by_ranking_or_optimizer
AMD,2025-12-29,2026-01-06,1,0.0308840444538662,-0.0660601971491016,False,removed_by_ranking_or_optimizer
AMD,2026-04-10,,6,,,False,still_active_at_sample_end
AMZN,2023-04-27,2023-05-04,1,0.0786538490882287,0.1947115384615385,True,removed_by_ranking_or_optimizer
AVGO,2022-01-03,2022-01-10,1,-0.0698210078192203,-0.0337111490107955,False,removed_by_ranking_or_optimizer
AVGO,2023-07-25,2023-08-01,1,-0.0400434576946756,-0.0326848237410836,False,removed_by_ranking_or_optimizer
AVGO,2024-06-14,2024-07-16,4,-0.0331207961307646,-0.0780493614334792,False,removed_by_ranking_or_optimizer
AVGO,2024-08-20,2024-08-27,1,-0.0450461881154653,0.0875519235160167,True,removed_by_ranking_or_optimizer
AVGO,2024-10-09,2024-10-16,1,-0.0187196735678986,-0.0183237493437219,False,removed_by_ranking_or_optimizer
AVGO,2024-12-19,2025-01-29,5,0.1243033348088056,-0.041434469584986,False,removed_by_ranking_or_optimizer
AVGO,2025-02-05,2025-03-20,6,-0.0973548254780944,-0.1026030675020054,False,removed_by_ranking_or_optimizer
AVGO,2025-04-25,2025-05-09,2,0.0980307586996902,0.1732949200764111,True,removed_by_ranking_or_optimizer
AVGO,2025-05-23,2025-06-09,2,0.0320124748784038,0.1376289310839673,True,removed_by_ranking_or_optimizer
AVGO,2025-09-11,2025-09-18,1,-0.0267844211279016,0.0254813598883534,False,removed_by_ranking_or_optimizer
CCJ,2022-01-10,2022-01-18,1,-0.07275253477177,0.0180722609373142,False,removed_by_ranking_or_optimizer
CCJ,2022-03-02,2022-03-30,4,0.0060562906356316,-0.0598503855874837,False,removed_by_ranking_or_optimizer
CCJ,2022-06-10,2022-06-17,1,0.1107885340941565,0.1456216844592057,True,removed_by_ranking_or_optimizer
CCJ,2022-08-30,2022-09-14,2,-0.0991138371667578,-0.2681325979785359,False,removed_by_ranking_or_optimizer
CCJ,2022-09-21,2022-09-28,1,0.0194139451083212,-0.0849816761780253,False,removed_by_ranking_or_optimizer
CCJ,2023-08-01,2023-08-29,4,0.0090386701239604,0.105176672942302,True,removed_by_ranking_or_optimizer
CCJ,2023-09-13,2023-09-20,1,0.0215189487119265,-0.0412658498257021,False,removed_by_ranking_or_optimizer
CCJ,2023-09-27,2023-10-04,1,0.0293141973939161,0.1352322845764171,True,removed_by_ranking_or_optimizer
CCJ,2023-11-01,2023-11-15,2,0.0423905932053318,0.0704192968373622,True,removed_by_ranking_or_optimizer
CCJ,2024-04-04,2024-05-02,4,0.078686524522312,0.1464271049298622,True,removed_by_ranking_or_optimizer
CCJ,2024-05-31,2024-06-07,1,-0.0280898868377946,-0.0825842644456652,False,removed_by_ranking_or_optimizer
CCJ,2024-10-02,2024-10-09,1,0.1028073697112745,0.0124554612615923,False,removed_by_ranking_or_optimizer
CCJ,2024-10-16,2024-10-30,2,-0.0513153108791025,0.0709522390428685,True,removed_by_ranking_or_optimizer
CCJ,2025-03-20,2025-03-27,1,-0.0403472009760184,0.0319024296569574,False,removed_by_ranking_or_optimizer
CCJ,2025-06-16,2025-07-01,2,-0.0016742726420145,0.0848332912849041,True,removed_by_ranking_or_optimizer
CCJ,2025-12-19,2026-02-04,6,0.0379724840789048,-0.0050514007367727,False,removed_by_ranking_or_optimizer
COST,2022-06-17,2022-06-27,1,0.0135132532758173,0.0626465857307343,True,removed_by_ranking_or_optimizer
GOOGL,2024-04-04,2024-04-11,1,-0.0213287063369009,0.0661815620688395,True,removed_by_ranking_or_optimizer
GOOGL,2025-09-04,2025-09-18,2,-0.024758979182587,-0.0022616040478928,False,removed_by_ranking_or_optimizer
INTC,2023-04-05,2023-04-13,1,-0.0395269348130827,-0.1017740538144181,False,removed_by_ranking_or_optimizer
INTC,2023-08-15,2023-08-22,1,0.0431742781998802,0.0547278586337423,True,removed_by_ranking_or_optimizer
INTC,2023-09-06,2023-09-13,1,-0.1038491488721365,-0.0472745559193636,False,removed_by_ranking_or_optimizer
INTC,2024-08-06,2024-08-13,1,0.0254030520374481,-0.0405471397922602,False,removed_by_ranking_or_optimizer
INTC,2024-09-18,2024-10-16,4,-0.0147915702198837,0.1169879279618941,True,removed_by_ranking_or_optimizer
INTC,2025-02-12,2025-04-10,8,-0.0477866647733895,0.0774648380552527,True,removed_by_ranking_or_optimizer
INTC,2025-07-01,2025-07-16,2,0.0352577883750928,-0.0207140242239155,False,removed_by_ranking_or_optimizer
INTC,2025-08-27,2025-09-11,2,0.2421779332246638,0.5359609223723851,True,removed_by_ranking_or_optimizer
INTC,2025-09-18,2025-10-30,6,-0.0727091180288805,0.0099601973953862,False,removed_by_ranking_or_optimizer
INTC,2025-12-05,2025-12-12,1,-0.0261835927667046,0.2507272996010257,True,removed_by_ranking_or_optimizer
INTC,2026-01-13,2026-02-19,5,0.0188256425973967,0.0349619321074492,False,removed_by_ranking_or_optimizer
INTC,2026-02-26,2026-03-05,1,-0.0152339662963407,0.096409145410695,True,removed_by_ranking_or_optimizer
INTC,2026-04-02,,7,,,False,still_active_at_sample_end
META,2022-04-06,2022-04-13,1,-0.1252151145686689,-0.1104702516078365,False,removed_by_ranking_or_optimizer
META,2022-04-28,2022-05-05,1,-0.0818129123583737,-0.0840215099988732,False,removed_by_ranking_or_optimizer
META,2022-05-19,2022-05-26,1,-0.0044356629017227,-0.1155351397250535,False,removed_by_ranking_or_optimizer
META,2022-12-01,2022-12-08,1,0.0071100293228594,0.1226046923190196,True,removed_by_ranking_or_optimizer
META,2022-12-15,2022-12-30,2,0.0758684158272473,0.2379093049199134,True,removed_by_ranking_or_optimizer
META,2023-01-17,2023-01-31,2,0.2862992115660738,0.1641269836067118,True,removed_by_ranking_or_optimizer
META,2023-02-07,2023-03-01,3,0.066601333027958,0.1841195264196935,True,removed_by_ranking_or_optimizer
META,2023-03-15,2023-03-22,1,0.0277263831270369,0.0663630945780704,True,removed_by_ranking_or_optimizer
META,2023-03-29,2023-04-13,2,-0.0330383416276235,0.0700702825275341,True,removed_by_ranking_or_optimizer
META,2023-04-27,2023-05-11,2,0.0469062009937013,0.1236694505755067,True,removed_by_ranking_or_optimizer
META,2023-10-11,2023-10-18,1,-0.055020987393892,0.0496576653114102,False,removed_by_ranking_or_optimizer
META,2024-02-06,2024-03-06,4,-0.0010481747616569,0.0298938039454899,False,removed_by_ranking_or_optimizer
META,2024-04-18,2024-04-25,1,0.0006796587739592,0.0552811491833724,True,removed_by_ranking_or_optimizer
META,2025-01-29,2025-02-05,1,0.0290975781459035,-0.1091548838429626,False,removed_by_ranking_or_optimizer
MSFT,2023-10-25,2023-11-01,1,0.0494986694029342,0.0948940839797312,True,removed_by_ranking_or_optimizer
NFLX,2022-04-21,2022-05-19,4,0.04316545865145,-0.0434379221833342,False,removed_by_ranking_or_optimizer
NFLX,2022-06-03,2022-07-19,6,0.0609036668335032,0.2185190752362618,True,removed_by_ranking_or_optimizer
NFLX,2022-07-26,2022-08-02,1,0.038478876127002,-0.0034775387777445,False,removed_by_ranking_or_optimizer
NFLX,2022-08-16,2022-08-23,1,-0.0173680423501898,0.0548653019433551,True,removed_by_ranking_or_optimizer
NFLX,2022-09-28,2022-10-05,1,-0.0669961737006172,0.1532124720117762,True,removed_by_ranking_or_optimizer
NFLX,2022-10-12,2022-11-09,4,0.2016806628280021,0.2183303052132348,True,removed_by_ranking_or_optimizer
NFLX,2022-12-08,2022-12-15,1,0.0252745856913847,0.1233084685989247,True,removed_by_ranking_or_optimizer
NFLX,2023-10-25,2023-11-22,4,-0.0084309599238912,0.0284728050786231,False,removed_by_ranking_or_optimizer
NFLX,2025-02-05,2025-02-12,1,-0.0026963664295658,-0.1334943117637387,False,removed_by_ranking_or_optimizer
NFLX,2026-03-05,2026-03-26,3,0.0572225030513082,-0.0094298891587627,False,removed_by_ranking_or_optimizer
NVDA,2022-02-15,2022-02-23,1,0.0818778869128886,0.1450396111179506,True,removed_by_ranking_or_optimizer
NVDA,2022-03-30,2022-04-06,1,-0.0903019834566203,-0.2279264071473177,False,removed_by_ranking_or_optimizer
NVDA,2022-05-12,2022-05-19,1,0.0424549906281062,-0.0726466009676196,False,removed_by_ranking_or_optimizer
NVDA,2022-11-09,2022-12-01,3,0.0019842659045434,-0.1471257586678057,False,removed_by_ranking_or_optimizer
NVDA,2022-12-08,2022-12-22,2,-0.0472651046153821,0.2559488692782259,True,removed_by_ranking_or_optimizer
NVDA,2023-01-31,2023-02-14,2,-0.0965130336731593,0.0547211672431917,True,removed_by_ranking_or_optimizer
NVDA,2023-03-01,2023-04-05,5,-0.0155500601487817,0.0253338693767417,False,removed_by_ranking_or_optimizer
NVDA,2023-05-04,2023-06-26,7,0.0438324038028679,0.1242124652687641,True,removed_by_ranking_or_optimizer
NVDA,2023-07-11,2023-08-15,5,0.0393263699334476,0.0351616302214321,False,removed_by_ranking_or_optimizer
NVDA,2023-08-29,2023-09-13,2,-0.0713642333452424,0.0290425223212413,False,removed_by_ranking_or_optimizer
NVDA,2024-01-16,2024-01-30,2,0.0868034769689787,0.2371842509039503,True,removed_by_ranking_or_optimizer
NVDA,2024-02-28,2024-04-04,5,0.0548396321762314,-0.0010243575784165,False,removed_by_ranking_or_optimizer
NVDA,2024-05-23,2024-07-01,5,0.0569589835658057,-0.1654867191456061,False,removed_by_ranking_or_optimizer
