metric,worst_period_return,skewness,kurtosis,VaR_95,VaR_99,CVaR_95,CVaR_99,date,exposure,drawdown
summary,-0.0908153547360555,0.3855738050318241,1.126130456095599,-0.050287303890110095,-0.08323414483507911,-0.06834528681731686,-0.08676297923373123,,,
worst_5_periods,-0.0908153547360555,,,,,,,2022-01-03,1.0,0.0
worst_5_periods,-0.0849479080274383,,,,,,,2023-10-18,1.0,-0.12442642067411624
worst_5_periods,-0.0845256749376999,,,,,,,2022-01-18,1.0,-0.13571363816716076
worst_5_periods,-0.077728148081801,,,,,,,2024-06-14,0.8325011643517443,-0.08193581893983015
worst_5_periods,-0.0692941651532521,,,,,,,2025-01-22,0.5612476894049302,-0.07573461349559418
