candidate,window_start,start_date,end_date,observations,total_return,CAGR,volatility,Sharpe,Sortino,Calmar,max_drawdown,average_exposure,average_cash,average_turnover,CAGR_SPY,Sharpe_SPY,max_drawdown_SPY,CAGR_QQQ,Sharpe_QQQ,max_drawdown_QQQ,production_champion_Sharpe,production_champion_max_drawdown,production_champion_return
growth_champion_v2,2008-01-01,2008-12-31,2026-06-09,878,15.67975733949443,0.1751417320600472,0.1929107129181268,0.9642979349522935,1.4740849011752517,0.5049536217798569,-0.3468471647806167,0.5996404024234039,0.400359597576596,0.1084847523523561,0.1468146461773043,0.9480171641108704,-0.2906543523729975,0.2079880722494447,1.0984348322260769,-0.347443000911486,1.6449369115316776,-0.0549682129694023,0.2132036555447685
growth_champion_v3,2008-01-01,2008-12-31,2026-06-09,878,14.177885750136545,0.1688000284647486,0.1738566251824982,1.0172424290168218,1.620087682888704,0.6846294873820763,-0.2465567603729944,0.5391143875559499,0.4608856124440501,0.0943586906706763,0.1468146461773043,0.9480171641108704,-0.2906543523729975,0.2079880722494447,1.0984348322260769,-0.347443000911486,1.6449369115316776,-0.0549682129694023,0.2132036555447685
growth_champion_v2,2010-01-01,2011-01-03,2026-06-09,777,9.693358702074674,0.165986141420146,0.1928699052328452,0.9222535265280364,1.3776277461888935,0.4398537662723417,-0.3773666480722444,0.5995839966132808,0.400416003386719,0.1109490174940193,0.140938064989003,0.9523964578657974,-0.2906543523729976,0.1914409250277042,1.037268036188666,-0.3474430009114863,1.6449369115316776,-0.0549682129694023,0.2132036555447685
growth_champion_v3,2010-01-01,2011-01-03,2026-06-09,777,10.336591252008647,0.1704083871014734,0.1774963444851836,1.0079203797725391,1.576319245064424,0.6075437787813985,-0.2804874200889289,0.5439316915249608,0.4560683084750392,0.0975339396435067,0.140938064989003,0.9523964578657974,-0.2906543523729976,0.1914409250277042,1.037268036188666,-0.3474430009114863,1.6449369115316776,-0.0549682129694023,0.2132036555447685
growth_champion_v2,2015-01-01,2016-01-04,2026-06-05,525,7.411478846837497,0.2268188894958049,0.2262234897803246,1.0500464367883957,1.5535935290663971,0.566204082389228,-0.4005956448400912,0.5963223132929956,0.4036776867070043,0.1047692874121054,0.1537119926155845,0.9843063851411272,-0.3357198172925849,0.2106725401099707,1.0992842672487473,-0.3457823929358508,1.6449369115316776,-0.0549682129694023,0.2132036555447685
growth_champion_v3,2015-01-01,2016-01-04,2026-06-05,525,9.015101400900434,0.2475415649772943,0.2091865364809956,1.200583085515422,1.8429331568309752,0.783925415647351,-0.3157718324170917,0.53386062255391,0.4661393774460899,0.0893399907405408,0.1537119926155845,0.9843063851411272,-0.3357198172925849,0.2106725401099707,1.0992842672487473,-0.3457823929358508,1.6449369115316776,-0.0549682129694023,0.2132036555447685
growth_champion_v2,2020-01-01,2020-12-31,2026-06-10,274,2.29482897684238,0.2450533203067775,0.3002204639996852,0.9051637876655658,1.737103573243603,0.4619297615995249,-0.5304990946204267,0.5907278279147177,0.4092721720852822,0.1101891381683379,0.1540890838405817,0.9791093930144554,-0.235155470877593,0.1808690172478879,0.8961536865574365,-0.3455308094921167,1.6449369115316776,-0.0549682129694023,0.2132036555447685
growth_champion_v3,2020-01-01,2020-12-31,2026-06-10,274,2.992597479144842,0.2898009376344281,0.2782639133688505,1.0851723169205112,2.251497051751925,0.6491862403725529,-0.4464064695334857,0.5159103096665426,0.4840896903334574,0.0933856101878027,0.1540890838405817,0.9791093930144554,-0.235155470877593,0.1808690172478879,0.8961536865574365,-0.3455308094921167,1.6449369115316776,-0.0549682129694023,0.2132036555447685
growth_champion_v2,2022-01-03,2023-01-04,2026-06-10,173,4.267322077960164,0.623094239588079,0.3337969450989657,1.6734005026226084,3.0247102965164303,2.106540137777737,-0.2957903476006884,0.5811131486040317,0.4188868513959682,0.1041173636151369,0.2342439163780207,1.5200669309283776,-0.1856390139309361,0.3620005007189801,1.709883790015218,-0.2274681874918649,1.6449369115316776,-0.0549682129694023,0.2132036555447685
growth_champion_v3,2022-01-03,2023-01-04,2026-06-10,173,4.454908846923828,0.6397356904633136,0.3245769104771763,1.7440315023438897,3.226307584164761,2.619710531758832,-0.2442009079658909,0.5542662765756811,0.4457337234243189,0.0965772131485976,0.2342439163780207,1.5200669309283776,-0.1856390139309361,0.3620005007189801,1.709883790015218,-0.2274681874918649,1.6449369115316776,-0.0549682129694023,0.2132036555447685
