date,candidate_return,SPY_return,QQQ_return,rolling_12m_return,rolling_12m_SPY_return,rolling_12m_QQQ_return,rolling_12m_Sharpe,rolling_12m_excess_vs_SPY,rolling_12m_excess_vs_QQQ,candidate
2022-01-03,-0.0908153547360555,,,,,,,,,growth_v1
2022-01-10,-0.0559141439886667,-0.025538468752333676,-0.05369948147163306,,,,,,,growth_v1
2022-01-18,-0.0793375818442653,-0.01937663926022004,-0.02515060884220577,,,,,,,growth_v1
2022-01-25,0.0890438289035927,-0.048237616343714707,-0.06865471131959655,,,,,,,growth_v1
2022-02-01,-0.0124803070487188,0.042534607531949487,0.05914057699987363,,,,,,,growth_v1
2022-02-08,0.0305576119359014,-0.0044375973318360185,-0.01750928564469012,,,,,,,growth_v1
2022-02-15,-0.0187478835433919,-0.010733127049467273,-0.00832588069455531,,,,,,,growth_v1
2022-02-23,0.0542354963505265,-0.05413582955854168,-0.07500067696870216,,,,,,,growth_v1
2022-03-02,0.0032206213070255,0.0377769924878808,0.05403432416796239,,,,,,,growth_v1
2022-03-09,-0.029934074234003,-0.023932975486417707,-0.035222656941799824,,,,,,,growth_v1
2022-03-16,0.0652088078554513,0.01920870214719761,0.015910974193929173,,,,,,,growth_v1
2022-03-23,0.0128375835307702,0.01877781728908201,0.03382104783831141,,,,,,,growth_v1
2022-03-30,-0.0285366290729396,0.033573737773542556,0.043373249433048544,,,,,,,growth_v1
2022-04-06,0.0068670776304783,-0.02655335266889436,-0.03767464847921298,,,,,,,growth_v1
2022-04-13,-0.0205614711423652,-0.007188908747778,-0.01956067335981193,,,,,,,growth_v1
2022-04-21,-0.0620565390920281,-0.011842728629881782,-0.03522451852761033,,,,,,,growth_v1
2022-04-28,-0.0247897150316883,-0.02339862132384951,-0.018374934140389265,,,,,,,growth_v1
2022-05-05,-0.0678443198901751,-0.03272480792850696,-0.04576082838554285,,,,,,,growth_v1
2022-05-12,0.0373215726426885,-0.051883718004331336,-0.0698083262093151,,,,,,,growth_v1
2022-05-19,0.0186752022008308,-0.007340584466775102,-0.005392434680170255,-0.17888085295260414,-0.1847355122952219,-0.27907789321734544,-1.3046587048376705,0.005854659342617752,0.1001970402647413,growth_v1
2022-05-26,0.0150721366100458,0.0406973924184042,0.03366945387148457,-0.1665048329951816,-0.15155637351431128,-0.2548048395980934,-1.1555949358238171,-0.014948459480870313,0.08830000660291182,growth_v1
2022-06-03,-0.0416953215623824,0.012903730521900192,0.022951344479170688,-0.20125768200413918,-0.14060828559511618,-0.23770160876749835,-1.410185832600157,-0.060649396409023004,0.03644392676335917,growth_v1
2022-06-10,-0.0889847149287777,-0.05051887835600233,-0.05669502017329442,-0.2723335394725519,-0.18402379107529276,-0.28092013143649497,-1.8769239359977505,-0.08830974839725914,0.008586591963943069,growth_v1
2022-06-17,0.0456537693649774,-0.06141611901260846,-0.04898903917701014,-0.23911282270900236,-0.23413788303406968,-0.31614716328895187,-1.502031507547429,-0.004974939674932677,0.07703434057994951,growth_v1
2022-06-27,-0.0464794219912404,0.062127622304708696,0.06465473664049126,-0.27447841891003444,-0.1865566906937257,-0.27193283823054615,-1.7339495847945965,-0.08792172821630873,-0.0025455806794882907,growth_v1
2022-07-05,-0.0064485364276256,-0.01706169727809337,-0.018772509908690393,-0.2791569712547216,-0.20043541418999988,-0.2856004862390553,-1.7377747810415975,-0.07872155706472173,0.006443514984333709,growth_v1
2022-07-12,0.0721843402694761,-0.0029584378157192504,-0.0025090648248636827,-0.22712339278689264,-0.20280087629677013,-0.2873929609299326,-1.220734472995824,-0.024322516490122514,0.060269568143039964,growth_v1
2022-07-19,0.0107845241444439,0.030039657707561895,0.042132469151913154,-0.2187882863557269,-0.17885328749595686,-0.25736906683887684,-1.1378895816550163,-0.03993499885977003,0.038580780483149946,growth_v1
2022-07-26,0.0359992994204795,-0.003517919810037462,-0.013174632372123352,-0.19066521196546093,-0.181742015782822,-0.26715295637144154,-0.9162994236266945,-0.008923196182638926,0.0764877444059806,growth_v1
2022-08-02,-0.013317052947448,0.04392535564153199,0.06780579470109416,-0.20144316618992852,-0.14579974281955943,-0.2174616801838597,-0.9683305331084394,-0.055643423370369094,0.01601851399393117,growth_v1
2022-08-09,0.0312060252252165,0.008062560811169517,0.008748767592899664,-0.17652338149028246,-0.13891270130112554,-0.21061543429125007,-0.7883927436648952,-0.03761068018915692,0.03409205280096761,growth_v1
2022-08-16,-0.0123752339087725,0.04460922774095666,0.0479374695683199,-0.18671409726274524,-0.10050026188862227,-0.17277433569488543,-0.836033289591595,-0.08621383537412297,-0.01393976156785981,growth_v1
2022-08-23,0.0009440965750277,-0.04037702027142687,-0.05471287089975152,-0.18594627682745257,-0.13681938104848856,-0.2180342266709724,-0.8185055253742224,-0.04912689577896401,0.032087949843519814,growth_v1
2022-08-30,0.0182753046528003,-0.034291292443652366,-0.04164284252045847,-0.17106919703272783,-0.16641896008464774,-0.2505975042261016,-0.7171670487914827,-0.004650236948080089,0.07952830719337378,growth_v1
2022-09-07,0.0233301261212998,-0.0010798138796317414,-0.006810138421989076,-0.1517301368536711,-0.16731907246134614,-0.25570103895610596,-0.5952951461329544,0.015588935607675047,0.10397090210243487,growth_v1
2022-09-14,-0.0557169456151438,-0.007994350358338731,-0.009833770710780843,-0.19899314268556056,-0.17397581553279662,-0.263020304279284,-0.8252879773993828,-0.025017327152763946,0.06402716159372346,growth_v1
2022-09-21,-0.0413956190086568,-0.043613763783276305,-0.042124113340283764,-0.23215131737427064,-0.21000183919342263,-0.2940649205113113,-0.9879126155662535,-0.022149478180848003,0.06191360313704064,growth_v1
2022-09-28,0.0361122532569307,-0.01817752352438673,-0.012766240472404489,-0.20442257128428976,-0.22436204934570647,-0.30307705749396985,-0.809606289537274,0.019939478061416716,0.09865448620968009,growth_v1
2022-10-05,-0.0862255632724926,0.01770436288615107,0.007287306305389096,-0.27302168320218323,-0.21062987359905228,-0.29799836654067535,-1.115526309937423,-0.062391809603130954,0.024976683338492123,growth_v1
2022-10-12,0.0595685879402961,-0.054443233654231094,-0.06851552085780821,-0.22971661140732402,-0.25360573583036905,-0.34609637410017313,-0.8419154753092548,0.023889124423045027,0.11637976269284911,growth_v1
2022-10-19,0.0669878136146681,0.03348665728954692,0.029810349741479003,-0.1781170113418028,-0.22861148690323707,-0.326603278314878,-0.5580551291512483,0.05049447556143427,0.1484862669730752,growth_v1
2022-10-26,-0.016487901934611,0.036689251054740524,0.027505647935288202,-0.19166813746052414,-0.20030982008548692,-0.30808106516742984,-0.6116139909035628,0.008641682624962788,0.1164129277069057,growth_v1
