model,train_accuracy,train_precision,train_recall,train_f1,train_roc_auc,train_true_negative,train_false_positive,train_false_negative,train_true_positive,train_positive_prediction_rate,test_accuracy,test_precision,test_recall,test_f1,test_roc_auc,test_true_negative,test_false_positive,test_false_negative,test_true_positive,test_positive_prediction_rate,train_size,test_size,status
logistic_regression,0.5004219409282701,0.6303030303030303,0.43273231622746183,0.5131578947368421,0.5129609259170692,281,183,409,312,0.4177215189873418,0.5599214145383105,0.6618705035971223,0.5859872611464968,0.6216216216216216,0.553584844030704,101,94,130,184,0.5461689587426326,1185,509,ok
random_forest_small,0.6936708860759494,0.744535519125683,0.7558945908460472,0.7501720578114246,0.7634063082882969,277,187,176,545,0.6177215189873417,0.5520628683693517,0.6319018404907976,0.6560509554140127,0.64375,0.4952800914584354,75,120,108,206,0.6404715127701375,1185,509,ok
gradient_boosting_small,0.6506329113924051,0.6391659111514053,0.9778085991678225,0.7730263157894737,0.7511642713663972,66,398,16,705,0.9308016877637131,0.6090373280943026,0.6215644820295984,0.9363057324840764,0.747141041931385,0.5130654907724972,16,179,20,294,0.9292730844793713,1185,509,ok
