date,candidate,paper_cumulative_return,paper_daily_return,paper_sharpe,rolling_sharpe_60_period_proxy,paper_max_drawdown,cash,exposure,turnover,top_ticker_concentration,risk_flags,promotion_status,data_source,raw_target_current_features_available,raw_target_feature_source,fallback_reason,growth_paper_variant,exposure_cap,exposure_cap_60,dual_trend_cap,vol_target_exposure,final_exposure,spy_close,spy_ma_200,qqq_close,qqq_ma_200,spy_below_200d,qqq_below_200d,dual_trend_reason,uncapped_exposure,rebalance_due,monitoring_only,previous_rebalance_date,next_rebalance_date,sessions_since_last_rebalance,observed_candidate_tickers,growth_model_version
2026-06-17,growth_champion_final,0.0,0.0,0.0,0.0,0.0,0.4,0.6,0.6,0.3,paper_history_too_short,paper trading allowed; production promotion blocked,current_growth_candidate_allocation,False,target_implied_proxy,"Growth paper using proxy raw target, not production-parity.",growth_v1_exposure_cap_60_dual_trend_filter,0.6,0.6,0.6,0.85,0.6,739.0560302734375,683.9198599243164,721.7168579101562,626.7817889404297,False,False,SPY and QQQ above 200D MA,0.6,True,False,2026-06-17,,0,"KEEL,ARM",growth_champion_final_v1_0_frozen
2026-06-18,growth_champion_final,0.0162013340146787,0.0162013340146788,15.874507866387544,0.0,0.0,0.4,0.6,0.0,0.3,paper_history_too_short,paper trading allowed; production promotion blocked,current_growth_candidate_allocation,True,raw_target_return_exact,exact raw target current growth allocation generated from current_growth_feature_generation,growth_v1_exposure_cap_60_dual_trend_filter,0.6,0.6,0.6,0.85,0.6,746.739990234375,684.4872927856445,739.8070068359375,627.663186340332,False,False,SPY and QQQ above 200D MA,0.85,False,True,2026-06-17,,1,"INTC,KEEL,ARM",growth_champion_final_v1_0_frozen
2026-06-22,growth_champion_final,0.0121157561957818,-0.0040204413064052,7.374316264990617,0.0,-0.0040204413064053,0.4,0.6,0.0,0.3,paper_history_too_short,paper trading allowed; production promotion blocked,current_growth_candidate_allocation,True,raw_target_return_exact,exact raw target current growth allocation generated from current_growth_feature_generation,growth_v1_exposure_cap_60_dual_trend_filter,0.6,0.6,0.6,0.85,0.6,744.3900146484375,685.0258160400391,737.9500122070312,628.5131311035157,False,False,SPY and QQQ above 200D MA,0.85,False,True,2026-06-17,,2,"KEEL,ARM,MU",growth_champion_final_v1_0_frozen
2026-06-23,growth_champion_final,-0.0213987021645231,-0.0331132661013749,-4.670264294912221,0.0,-0.0370005774649561,0.4,0.6,0.0,0.3,paper_history_too_short,paper trading allowed; production promotion blocked,current_growth_candidate_allocation,True,raw_target_return_exact,exact raw target current growth allocation generated from current_growth_feature_generation,growth_v1_exposure_cap_60_dual_trend_filter,0.6,0.6,0.6,0.85,0.6,733.5800170898438,685.4836840820312,713.6500244140625,629.2158715820312,False,False,SPY and QQQ above 200D MA,0.85,False,True,2026-06-17,,3,"INTC,KEEL,ARM",growth_champion_final_v1_0_frozen
2026-06-24,growth_champion_final,-0.0486073716594673,-0.027803631116294,-8.458616385807595,0.0,-0.0637754581743247,0.4,0.6,0.0,0.3,paper_history_too_short,paper trading allowed; production promotion blocked,current_growth_candidate_allocation,True,raw_target_return_exact,exact raw target current growth allocation generated from current_growth_feature_generation,growth_v1_exposure_cap_60_dual_trend_filter,0.6,0.6,0.6,0.85,0.6,733.239990234375,685.9491491699218,710.6199951171875,629.8993270874023,False,False,SPY and QQQ above 200D MA,0.85,False,True,2026-06-17,,4,"KEEL,ARM,SMCI",growth_champion_final_v1_0_frozen
2026-06-25,growth_champion_final,-0.0717419737250796,-0.0243165664484544,-11.007055930794875,0.0,-0.0865412244563025,0.55,0.4499999999999999,0.6,0.1124999999999999,"exposure_stuck_too_low,paper_history_too_short",paper trading allowed; production promotion blocked,current_growth_candidate_allocation,True,raw_target_return_exact,exact raw target current growth allocation generated from current_growth_feature_generation,growth_v1_exposure_cap_60_dual_trend_filter,0.6,0.6,0.6,0.4499999999999999,0.4499999999999999,734.2999877929688,686.4120510864258,716.3800048828125,630.5975845336914,False,False,SPY and QQQ above 200D MA,0.4499999999999999,True,False,2026-06-25,,0,"KEEL,ARM,MU,AMAT",growth_champion_final_v1_0_frozen
2026-06-26,growth_champion_final,-0.0796049325441941,-0.0084706607393081,-11.33619132570142,0.0,-0.0942788238432768,0.55,0.4499999999999996,0.0,0.1124999999999999,"exposure_stuck_too_low,paper_history_too_short",paper trading allowed; production promotion blocked,current_growth_candidate_allocation,True,raw_target_return_exact,exact raw target current growth allocation generated from current_growth_feature_generation,growth_v1_exposure_cap_60_dual_trend_filter,0.6,0.6,0.6,0.4499999999999999,0.4499999999999996,728.989990234375,686.8409854125977,706.52001953125,631.2383724975585,False,False,SPY and QQQ above 200D MA,0.4499999999999999,False,True,2026-06-25,,1,"KEEL,ARM,MU,AMAT",growth_champion_final_v1_0_frozen
2026-06-29,growth_champion_final,-0.0475271435451142,0.0348521956856534,-4.275403844421794,0.0,-0.0942788238432768,0.55,0.4499999999999996,0.0,0.1124999999999999,"exposure_stuck_too_low,paper_history_too_short",paper trading allowed; production promotion blocked,current_growth_candidate_allocation,True,raw_target_return_exact,exact raw target current growth allocation generated from current_growth_feature_generation,growth_v1_exposure_cap_60_dual_trend_filter,0.6,0.6,0.6,0.4499999999999999,0.4499999999999996,741.0,687.3206729125976,724.0800170898438,631.9660137939453,False,False,SPY and QQQ above 200D MA,0.4499999999999999,False,True,2026-06-25,,2,"KEEL,ARM,MU,AMAT",growth_champion_final_v1_0_frozen
2026-06-30,growth_champion_final,-0.0592088872053964,-0.0122646473136901,-5.065421108769075,0.0,-0.0942788238432768,0.55,0.4499999999999996,0.0,0.1124999999999999,"exposure_stuck_too_low,paper_history_too_short",paper trading allowed; production promotion blocked,current_growth_candidate_allocation,True,raw_target_return_exact,exact raw target current growth allocation generated from current_growth_feature_generation,growth_v1_exposure_cap_60_dual_trend_filter,0.6,0.6,0.6,0.4499999999999999,0.4499999999999996,746.77001953125,687.8024072265625,736.4000244140625,632.7384176635742,False,False,SPY and QQQ above 200D MA,0.4499999999999999,False,True,2026-06-25,,3,"KEEL,ARM,AMAT,AMBA",growth_champion_final_v1_0_frozen
2026-07-01,growth_champion_final,-0.0709512119468193,-0.0124813304268388,-5.798996220377922,-5.798996220377922,-0.0942788238432768,0.55,0.4499999999999996,0.0,0.1124999999999999,"rolling_sharpe_below_zero,exposure_stuck_too_low,paper_history_too_short",paper trading allowed; production promotion blocked,current_growth_candidate_allocation,True,raw_target_return_exact,exact raw target current growth allocation generated from current_growth_feature_generation,growth_v1_exposure_cap_60_dual_trend_filter,0.6,0.6,0.6,0.4499999999999999,0.4499999999999996,745.760009765625,688.280180053711,725.1699829101562,633.4418191528321,False,False,SPY and QQQ above 200D MA,0.4499999999999999,False,True,2026-06-25,,4,"RBLX,KEEL,ARM,AMBA",growth_champion_final_v1_0_frozen
