variant,start_date,end_date,observations,total_return,CAGR,realized_volatility,Sharpe,Sortino,Calmar,max_drawdown,hit_rate,average_exposure,min_exposure,max_exposure,time_below_50pct_exposure,turnover,TP_rate,SL_rate,TP_minus_SL,return_vs_SPY,Sharpe_vs_SPY,DD_vs_SPY,uses_hindsight
soft_exit_rule_vol_target_22pct,2022-01-03,2026-05-15,220,2.4332539991003457,0.32687190118158216,0.26159958131493083,1.2505653886457246,2.242421227424972,1.8190905995862026,-0.17968973137233368,0.5772727272727273,0.6016959199378112,0.4,1.0,0.40454545454545454,0.37113636363636365,0.28052805280528054,0.13696369636963696,0.14356435643564358,1.8859345037331139,0.5247492170486712,0.05435467137184247,False
soft_exit_rule_vol_target_20pct,2022-01-03,2026-05-15,220,2.078909252790621,0.2941415247730934,0.24612308775983655,1.208091749484715,2.1244737050939704,1.6738311737917047,-0.1757295056865138,0.5772727272727273,0.5606439677083561,0.4,1.0,0.5045454545454545,0.37113636363636365,0.28052805280528054,0.13696369636963696,0.14356435643564358,1.5315897574233894,0.4822755778876615,0.05831489705766235,False
soft_exit_rule_vol_target_18pct,2022-01-03,2026-05-15,220,1.7913869154700928,0.26537592185278935,0.23286713308312162,1.1632023089718002,2.0017595421878185,1.5101386691782823,-0.1757295056865138,0.5772727272727273,0.5242110920890316,0.4,1.0,0.6454545454545455,0.37113636363636365,0.28052805280528054,0.13696369636963696,0.14356435643564358,1.244067420102861,0.43738613737474674,0.05831489705766235,False
turnover_penalty_overlay_vol_target_22pct,2022-01-03,2026-05-15,220,2.071726105708938,0.29344863379728126,0.2625194495400904,1.1460988806167804,2.0326767909161627,1.5394645903015969,-0.19061733257521152,0.5818181818181818,0.5949759230542799,0.4,1.0,0.41818181818181815,0.3892424242424243,0.27843803056027167,0.14091680814940577,0.1375212224108659,1.5244066103417062,0.420282709019727,0.04342707016896463,False
turnover_penalty_overlay_vol_target_20pct,2022-01-03,2026-05-15,220,1.8039169796347343,0.26667602366456733,0.24626615700289095,1.116990633885483,1.965368215763622,1.5063910485171843,-0.17702974531551408,0.5818181818181818,0.5552311442995184,0.4,1.0,0.5363636363636364,0.3892424242424243,0.27843803056027167,0.14091680814940577,0.1375212224108659,1.2565974842675025,0.39117446228842945,0.057014657428662074,False
winner_retention_rule_vol_target_22pct,2022-01-03,2026-05-15,220,1.9808469585957047,0.28457265870485204,0.2641806136391543,1.1134072815481075,1.9672488924580178,1.542189208037674,-0.18452512650309005,0.5772727272727273,0.5824501659957055,0.4,1.0,0.42727272727272725,0.4329545454545455,0.2742857142857143,0.14285714285714285,0.13142857142857145,1.433527463228473,0.38759110995105406,0.049519276241086096,False
soft_exit_rule_vol_target_15pct,2022-01-03,2026-05-15,220,1.4741575487232343,0.23085456861035625,0.21564973323658512,1.1052453490879866,1.851370326764629,1.3136926989493773,-0.1757295056865138,0.5772727272727273,0.4754957687764355,0.4,1.0,0.7136363636363636,0.37113636363636365,0.28052805280528054,0.13696369636963696,0.14356435643564358,0.9268380533560026,0.3794291774909331,0.05831489705766235,False
turnover_penalty_overlay_vol_target_18pct,2022-01-03,2026-05-15,220,1.5864766915044899,0.24344798781065635,0.23218891683997975,1.0876404543029885,1.8968259457422725,1.4138117975426825,-0.17219264136413936,0.5818181818181818,0.5186097190789927,0.4,1.0,0.6545454545454545,0.3892424242424243,0.27843803056027167,0.14091680814940577,0.1375212224108659,1.039157196137258,0.36182428270593503,0.061851761380036785,False
winner_retention_rule_vol_target_20pct,2022-01-03,2026-05-15,220,1.7351828398688638,0.259488314775123,0.2481114830095903,1.086651595411244,1.9010241908666836,1.494177141803686,-0.17366636626624032,0.5772727272727273,0.5440837995351048,0.4,1.0,0.5545454545454546,0.4329545454545455,0.2742857142857143,0.14285714285714285,0.13142857142857145,1.187863344501632,0.3608354238141904,0.060378036477935826,False
turnover_penalty_overlay_vol_target_15pct,2022-01-03,2026-05-15,220,1.3802535003136498,0.21998310304096869,0.21622840483864303,1.0601214999837167,1.8195120051915108,1.2775406736212718,-0.17219264136413936,0.5818181818181818,0.4734356890450579,0.4,1.0,0.75,0.3892424242424243,0.27843803056027167,0.14091680814940577,0.1375212224108659,0.832934004946418,0.33430532838666327,0.061851761380036785,False
