date,realized_portfolio_return_1d,cash_weight,selected_count,turnover,max_weight,portfolio_expected_return,portfolio_expected_volatility,portfolio_expected_sharpe,timing_model,realized_portfolio_return_5d,realized_portfolio_return_10d,realized_portfolio_return_20d
2022-06-15,-0.03325165412200619,0.5,4,1.0,0.25,0.0005327119572090607,0.025284615616519995,0.02106861995801934,trend_persistence,-0.03597721697768611,-0.02282557574537896,0.02411827945298894
2022-06-23,0.02638731245913155,0.5,4,0.0,0.25,0.00033124954612094294,0.025736563439896356,0.012870776119528292,trend_persistence,0.01438724384219494,0.046378993177544736,0.08627662808181208
2022-06-30,0.001276254168349483,0.5,4,0.0,0.25,0.00040373303353019444,0.026050208318962747,0.015498265065170507,trend_persistence,0.03105221772084364,0.04883902482304267,0.09039105974681882
2022-07-08,-0.013847094993709352,0.5,4,0.8571428571428571,0.17908331218505197,0.0007170698254371154,0.01659405714673687,0.04321244763087508,trend_persistence,-0.011494940938925561,-0.0033653378304964506,0.03309421798767659
2022-07-15,-0.00833490240113202,0.5,4,0.8571428571428571,0.1875,0.0008846334534926958,0.015625895540691,0.05661329625486387,trend_persistence,0.007257004368391179,0.029541262693127023,0.04623992539477582
2022-07-22,-0.0035912152313153545,0.4999999999999999,4,1.0,0.18749145634622413,0.001681436727238637,0.023111330518706365,0.07275378307958852,trend_persistence,0.0158846169238385,0.018634291281826375,0.022126652252213
2022-07-29,-0.0010139428312674434,0.5,4,0.8571428571428571,0.1602312112077387,0.0012591132476760486,0.015274814973158845,0.0824306710024693,trend_persistence,0.01051639295572426,0.02169180284899993,-0.012160644522152299
2022-08-05,-0.010625052682024676,0.4999999999999999,4,0.8571428571428571,0.1564705015959945,0.0014511175729578474,0.02308299867460692,0.06286521059996372,trend_persistence,0.0009545653764694052,-0.019811632028741824,-0.08252186240644714
2022-08-12,0.008290969061961686,0.5,4,0.6666666666666666,0.16143530392382588,0.002346180346559341,0.020812097983317967,0.11273156355692408,trend_persistence,-0.006220101931982118,0.009912274736446444,0.06467315088917516
2022-08-19,0.0022201194227501717,0.8,4,0.8571428571428571,0.0749994313874758,0.003675592998804969,0.026656293938559866,0.13788837290273168,trend_persistence,0.020815210151982653,0.02326117978808557,0.05171160856492259
2022-08-26,0.012025089023973382,0.8,2,0.5,0.10358192267210307,0.006191170640864305,0.03084989563886951,0.20068692333155586,trend_persistence,0.0071925173812453095,0.033260852142018606,-0.0006149080415466263
2022-09-02,0.0032116572111659603,0.8,2,0.6666666666666666,0.10400000000000001,0.0025733921197433106,0.020499840878226597,0.12553229730073542,trend_persistence,0.026027429895275678,0.023935363695610553,0.011596519782823472
2022-09-12,-0.005990154237258967,0.8,4,0.8,0.07499999996429563,0.0032422281426365347,0.019813975741060835,0.16363339619507108,trend_persistence,-0.0066136770580662065,-0.024465112268591657,-0.022513377465672627
2022-09-19,-0.0012592242152446077,0.8,4,0.8571428571428571,0.08787325773787058,0.0033942271871978866,0.026852928461480435,0.12640063418285213,trend_persistence,-0.025716587921281273,-0.01529976534676476,-0.006925596036876836
2022-09-26,0.004374699730927811,0.8,2,0.8,0.10275928833468491,0.001751193824588178,0.03039050783278545,0.057623052376208746,trend_persistence,0.018623450625683394,0.01140331530788914,0.01390448286009862
2022-10-03,0.010438017988388948,0.5,4,0.8,0.25,0.001517862180377714,0.022815500505168725,0.06652767402730661,trend_persistence,-0.0013632401597893085,0.009094034354379082,0.04917060753325647
2022-10-10,-0.0055389298446344385,0.5,4,0.8571428571428571,0.18549959748439537,0.0018529439891472133,0.02970339532028315,0.062381555009703514,trend_persistence,-0.007443467198363401,0.026578248100682433,0.05663189211513663
2022-10-17,-0.009130551134523072,0.5,4,0.6666666666666666,0.25,0.001644542845605889,0.03241679578757778,0.05073119676547684,trend_persistence,0.037869812681342395,0.05577723926413021,0.09539645771534226
2022-10-24,0.004172210375876418,0.5,4,0.8571428571428571,0.1875,0.002242285805202869,0.018325271464724104,0.12236030497661321,trend_persistence,0.0020292736793792662,0.0015305669810193705,-0.00350016325644892
2022-10-31,0.005508956852401335,0.5,4,0.8571428571428571,0.1875,0.002183506277474335,0.01946738060408593,0.11216230482574774,trend_persistence,0.0010714189653009897,0.018924800288777435,0.030538757272106243
