date,model_mode,ticker,selected,weight,expected_daily_return,realized_return_1d,realized_return_5d,realized_return_10d,realized_return_20d,cash_weight
2022-01-03,baseline,SPY,True,0.1636887198305242,0.0018059649602062,-0.0003349389063896,-0.0255384687523336,-0.0444202583162813,-0.0518305660148102,0.5000000000000003
2022-01-03,baseline,PEP,True,0.1284297878047557,0.0002482793524365,0.0014452538222615,0.0068794223077714,0.0056654584953959,-0.0036998462565376,0.5000000000000003
2022-01-03,baseline,CSCO,True,0.1342918159358927,0.0008162036996747,-0.0302406563018756,-0.0212159619351676,-0.0543065280788838,-0.1233375702081565,0.5000000000000003
2022-01-03,baseline,INTC,True,0.0735896764288271,0.0001290257712453,-0.0013155364786436,0.037586920398644,0.029129848970677,-0.080060108904913,0.5000000000000003
2022-01-10,baseline,TSLA,True,0.0899005429454708,9.286090158298366e-06,0.0059350246575986,-0.0260934638760728,-0.1320455164494165,-0.1286432212109686,0.5000000000000001
2022-01-10,baseline,PEP,True,0.1424353640992884,0.000165782004413,-0.0004593318705617,-0.0012056695027029,-0.0162485035356638,-0.0123442264401867,0.5000000000000001
2022-01-10,baseline,CSCO,True,0.1443436081498974,0.0006442289088682,0.0088967848556393,-0.0338078318166487,-0.0923649160896181,-0.1048204395701227,0.5000000000000001
2022-01-10,baseline,INTC,True,0.1233204848053433,0.0013991046868303,0.0126788765540175,-0.0081507112914626,-0.0762542864387889,-0.1159209892648157,0.5000000000000001
2022-01-18,baseline,YPF,True,0.2452616506808169,0.000164690994744,-0.0191846336312669,-0.0575539580685191,0.0479615840781675,-0.0071942947864432,0.5000000000000001
2022-01-18,baseline,VIST,True,0.254738349319183,0.0024645235110761,0.0065146519092551,-0.0602605689909993,0.0553746188894461,0.1221498397897007,0.5000000000000001
2022-01-25,baseline,AMD,True,0.1001537929461688,0.0001058190599369,-0.0037793411259388,0.0508413719564375,0.1538738315193755,-0.0123278606231168,0.8
2022-01-25,baseline,CCJ,True,0.0998462070538311,0.0001060374782699,-0.0364817358264029,0.0114942298653426,-0.0084957558395513,0.0259870290762476,0.8
2022-02-01,baseline,COST,True,0.15858784424854,0.0001999566945204,0.0267697641098854,0.0250585564016954,0.0108376688270452,0.03853188606987,0.5000000000000002
2022-02-01,baseline,PEP,True,0.155939193438401,0.0001512057041133,0.018161801957311,-0.0018567487073767,-0.0370197850736563,-0.0453753756040343,0.5000000000000002
