date,ticker,selected,weight,expected_daily_return,expected_total_return,target_price,current_price,target_confidence,signal_strength,quality_score,regime,timing_model,target_model,model_mode,gate_decision,gate_reason,realized_return_5d,realized_return_10d,realized_return_20d,cash_weight,regime_confidence,ema_timing_score,trend_persistence_score,quant_target_price,black_litterman_return,covariance_method,realized_return_1d,realized_return_30d,final_expected_daily_return,constant_penalty_proxy,signal_strength_adjusted_proxy,raw_daily_return_proxy,scaling_final_proxy,ablation_variant,ablation_score,ablation_weight,variant
2022-01-03,AAPL,False,0.0,-0.0002089590044427,-0.0041708943464856,199.1228686447568,182.00999450683597,0.5,0.3670149464662823,0.5,neutral,ema,basic,baseline,not_applicable,mode_not_regime_gated,-0.0539530375353144,-0.0670841812185184,-0.0406570744454719,0.5,,,,,,ledoit_wolf/manual_diagonal_shrinkage,,,,,,,,,,,
2022-01-03,MSFT,False,0.0,-0.0001219400408014,-0.0024359777009999,358.1836838697068,334.75,0.5,0.2847704064997939,0.5,neutral,ema,basic,baseline,not_applicable,mode_not_regime_gated,-0.0611800178829816,-0.095892475290562,-0.0776400007001493,0.5,,,,,,ledoit_wolf/manual_diagonal_shrinkage,,,,,,,,,,,
2022-01-03,NVDA,False,0.0,-8.942369711985815e-05,-0.001786955403739,32.80800522096129,30.121000289916992,0.5,0.0529425007965809,0.5,neutral,ema,basic,baseline,not_applicable,mode_not_regime_gated,-0.0903356676470527,-0.1400352037246014,-0.1820324607038757,0.5,,,,,,ledoit_wolf/manual_diagonal_shrinkage,,,,,,,,,,,
2022-01-03,AMZN,False,0.0,-1.8976995131993847e-05,-0.0003794714864244,181.5364331990529,170.4044952392578,0.5,0.0529943386971957,0.5,neutral,ema,basic,baseline,not_applicable,mode_not_regime_gated,-0.0523372508166236,-0.067410190650137,-0.1127376276557897,0.5,,,,,,ledoit_wolf/manual_diagonal_shrinkage,,,,,,,,,,,
2022-01-03,GOOGL,False,0.0,0.0001475975020652,0.0029560928634759,154.77677393511277,144.9915008544922,0.5,0.0530017820358346,0.5,neutral,ema,basic,baseline,not_applicable,mode_not_regime_gated,-0.0436025986925292,-0.0620277719925452,-0.0506754093778437,0.5,,,,,,ledoit_wolf/manual_diagonal_shrinkage,,,,,,,,,,,
2022-01-03,META,False,0.0,-0.0001531755733375,-0.0030590576374655,370.7461043324167,338.5400085449219,0.5,0.0529767057782582,0.5,neutral,ema,basic,baseline,not_applicable,mode_not_regime_gated,-0.0309269243115584,-0.0602292613392306,-0.0577184617821294,0.5,,,,,,ledoit_wolf/manual_diagonal_shrinkage,,,,,,,,,,,
2022-01-03,TSLA,False,0.0,8.936104281247498e-06,0.0001787372586901,459.7246602278908,399.9266662597656,0.5,0.180627790318122,0.5,neutral,ema,basic,baseline,not_applicable,mode_not_regime_gated,-0.1180716496409673,-0.1410842151923452,-0.2238160575856306,0.5,,,,,,ledoit_wolf/manual_diagonal_shrinkage,,,,,,,,,,,
2022-01-03,SPY,True,0.1636887198305242,0.0018059649602062,0.0367457526306664,509.4301328971704,477.7099914550781,0.5,1.0,0.5,neutral,ema,basic,baseline,not_applicable,mode_not_regime_gated,-0.0255384687523336,-0.0444202583162813,-0.0518305660148102,0.5,,,,,,ledoit_wolf/manual_diagonal_shrinkage,,,,,,,,,,,
2022-01-03,QQQ,False,0.0,4.809098766189632e-05,0.000962259301245,429.5079010833317,401.6799926757813,0.5,0.5022687414086273,0.5,neutral,ema,basic,baseline,not_applicable,mode_not_regime_gated,-0.0536994814716328,-0.0774995156603164,-0.0900219187448954,0.5,,,,,,ledoit_wolf/manual_diagonal_shrinkage,,,,,,,,,,,
2022-01-03,AVGO,False,0.0,-0.0002759794060952,-0.0055051407762837,73.90703507516476,66.33200073242188,0.5,0.4739766979312811,0.5,neutral,ema,basic,baseline,not_applicable,mode_not_regime_gated,-0.0635590598311439,-0.1289423100369117,-0.1064343197150122,0.5,,,,,,ledoit_wolf/manual_diagonal_shrinkage,,,,,,,,,,,
2022-01-03,AMD,False,0.0,6.83944088270777e-05,0.0013687773224544,165.4006105739726,150.24000549316406,0.5,0.0529454737026079,0.5,neutral,ema,basic,baseline,not_applicable,mode_not_regime_gated,-0.1214057829224053,-0.1218717528482513,-0.2227103666831908,0.5,,,,,,ledoit_wolf/manual_diagonal_shrinkage,,,,,,,,,,,
2022-01-03,NFLX,False,0.0,-0.0001269376497221,-0.0025356938231905,63.52515577838267,59.73699951171875,0.5,0.0529849503016208,0.5,neutral,ema,basic,baseline,not_applicable,mode_not_regime_gated,-0.0962887146723665,-0.1449185220453832,-0.2347623478769958,0.5,,,,,,ledoit_wolf/manual_diagonal_shrinkage,,,,,,,,,,,
2022-01-03,COST,False,0.0,-0.0002714114472112,-0.0054142555173194,612.1212819791791,566.7100219726562,0.5,0.0530023543666983,0.5,neutral,ema,basic,baseline,not_applicable,mode_not_regime_gated,-0.084540650989227,-0.1387658795492977,-0.1028745143902887,0.5,,,,,,ledoit_wolf/manual_diagonal_shrinkage,,,,,,,,,,,
2022-01-03,ADBE,False,0.0,0.0001217539206742,0.0024378970353817,596.69465618441,564.3699951171875,0.5,0.0,0.5,neutral,ema,basic,baseline,not_applicable,mode_not_regime_gated,-0.0682884957754375,-0.0904193502546547,-0.0503039050517604,0.5,,,,,,ledoit_wolf/manual_diagonal_shrinkage,,,,,,,,,,,
2022-01-03,PEP,True,0.1284297878047557,0.0002482793524365,0.0049773166153934,184.44483494031343,172.97999572753906,0.5,0.3100841070952208,0.5,neutral,ema,basic,baseline,not_applicable,mode_not_regime_gated,0.0068794223077714,0.0056654584953959,-0.0036998462565376,0.5,,,,,,ledoit_wolf/manual_diagonal_shrinkage,,,,,,,,,,,
2022-01-03,CSCO,True,0.1342918159358927,0.0008162036996747,0.0164512718303158,68.97268080994459,63.15999984741211,0.5,0.6677398262797603,0.5,neutral,ema,basic,baseline,not_applicable,mode_not_regime_gated,-0.0212159619351676,-0.0543065280788838,-0.1233375702081565,0.5,,,,,,ledoit_wolf/manual_diagonal_shrinkage,,,,,,,,,,,
2022-01-03,INTC,True,0.0735896764288271,0.0001290257712453,0.0025836809283765,58.07770881609829,53.209999084472656,0.5,0.2857629417280253,0.5,neutral,ema,basic,baseline,not_applicable,mode_not_regime_gated,0.037586920398644,0.029129848970677,-0.080060108904913,0.5,,,,,,ledoit_wolf/manual_diagonal_shrinkage,,,,,,,,,,,
