ticker,contribution,avg_weight,max_weight,avg_raw_target_rank,avg_raw_target_return,trades,avg_realized_return,loss_share
CCJ,-0.0597834179848097,0.18559572285043227,0.2168790756416912,5.083333333333333,0.10647077742306758,12,-0.023124902392929747,0.22408900778228708
NFLX,-0.058120474508190405,0.19988925094143262,0.2168790756416912,1.2222222222222223,0.1133555774307809,9,-0.03176763481073794,0.2178557182475815
AVGO,-0.04118236199961509,0.1863967339004033,0.2168790756416912,15.0,0.06833970728373533,15,-0.013934732690226893,0.15436579154724098
AMD,-0.039222661377843,0.19438959303845965,0.204154587824922,3.857142857142857,0.10745786172151717,7,-0.02932448945959777,0.14702015319657286
TSLA,-0.03449433564956422,0.16783060552372556,0.2026351276339144,1.2857142857142858,0.13543344059798507,7,-0.02332727498702904,0.1292967466628301
QCOM,-0.0148901594974213,0.2136821910330908,0.2136821910330908,2.0,0.0957654989776597,1,-0.0696836709949099,0.05581348775248952
VIST,-0.011090085866064,0.16991786582735094,0.204154587824922,2.3333333333333335,0.13618763448965807,3,-0.020491848433192298,0.04156949237292021
NVDA,-0.005125212310086299,0.1689741088005537,0.1971570001102497,2.0,0.10962245220305575,2,-0.029945908864317902,0.019211075243851468
META,-0.0028755412989249,0.1877606702339788,0.2168790756416912,2.0,0.1107040570300402,3,-0.007680709958268166,0.010778527194226315
COST,0.0158149233330878,0.201493686086583,0.201493686086583,2.0,0.0943064728764275,1,0.0784884312766607,-0.059279823692333276
