date,model_mode,cash_weight,selected_count,realized_portfolio_return_1d,realized_portfolio_return_5d,realized_portfolio_return_10d,realized_portfolio_return_20d,realized_portfolio_return_30d,turnover,portfolio_expected_return,portfolio_expected_volatility,portfolio_expected_sharpe,gate_decision,gate_reason,exposure,year,quarter,cash_bucket,volatility_regime,correlation_proxy_regime
2022-01-03,regime_gated_full_quant,0.5,4,-0.004027094632757,-0.003379957254303,-0.011692747698667,-0.0314140732542363,-0.0415422701508934,1.0,0.0009461221698921,0.0082334396706137,0.1149121397304943,fallback_baseline,insufficient_full_quant_edge,0.5,2022,2022Q1,high_cash,normal_volatility,normal_correlation_proxy
2022-01-10,regime_gated_full_quant,0.5,4,0.0033158960673118,-0.0084026406404994,-0.0369213259664434,-0.0427489428713143,-0.0719219254655735,0.4,0.0007717743574392,0.0112410599535066,0.0686567245999366,fallback_baseline,weak_market_breadth,0.5,2022,2022Q1,high_cash,normal_volatility,normal_correlation_proxy
2022-01-18,regime_gated_full_quant,0.5,2,-0.0030457232383585,-0.0294664566329014,0.0258691762903545,0.0293517639428235,0.1382805646073209,1.0,0.0018740039865432,0.0285788674779173,0.0655730668120857,fallback_baseline,weak_market_breadth,0.5,2022,2022Q1,high_cash,normal_volatility,normal_correlation_proxy
2022-01-25,regime_gated_full_quant,0.8,2,-0.0040210782976064,0.0062396114950835,0.0145627788651905,0.001360024285544,0.0350562021314473,1.0,0.0009871318300247,0.0253999766046133,0.0388634936713076,fallback_baseline,risk_off_regime,0.19999999999999996,2022,2022Q1,high_cash,normal_volatility,normal_correlation_proxy
2022-02-01,regime_gated_full_quant,0.5,4,0.0045100315875157,0.0025884603702486,0.0014440206812397,0.0489740608674135,0.0190533085053271,1.0,0.0014138715113602,0.0126401275845532,0.111855794326637,fallback_baseline,risk_off_regime,0.5,2022,2022Q1,high_cash,low_volatility,normal_correlation_proxy
2022-02-08,regime_gated_full_quant,0.5,4,0.0092564753254776,0.0027682972314763,0.0015245078675097,0.0189581308114075,0.0545466442639607,0.6666666666666666,0.0018448819958012,0.0152020516656519,0.1213574349289747,fallback_baseline,bearish_spy_or_negative_market_momentum,0.5,2022,2022Q1,high_cash,low_volatility,normal_correlation_proxy
2022-02-15,regime_gated_full_quant,0.5,4,0.0053475671271473,0.0019975293339418,0.0317880728797096,0.0117486286644328,0.0524372739002008,0.8571428571428571,0.0012443429393819,0.0140391504770977,0.0886337774790513,fallback_baseline,weak_market_breadth,0.5,2022,2022Q1,high_cash,low_volatility,normal_correlation_proxy
2022-02-23,regime_gated_full_quant,0.5,3,0.006773470651202,0.0338210417749079,0.0227919770244039,0.0471995972212408,0.0605149048528782,0.6,0.0022376365622665,0.0205404292452375,0.1089381597410054,fallback_baseline,insufficient_full_quant_edge,0.5,2022,2022Q1,high_cash,low_volatility,normal_correlation_proxy
2022-03-02,regime_gated_full_quant,0.5,4,-0.0147772865208614,-0.0152068770480986,-0.040373431237383,0.0138871333901446,0.0148726947422354,0.8333333333333334,0.0033173080817122,0.0184888986193708,0.1794216167228451,fallback_baseline,bearish_spy_or_negative_market_momentum,0.5,2022,2022Q1,high_cash,normal_volatility,normal_correlation_proxy
2022-03-09,regime_gated_full_quant,0.5,4,0.0076123484821319,-0.0151310598780239,0.0353568546843803,0.0390373695352374,0.0304462773416848,0.6666666666666666,0.0020548214807321,0.0151620624218119,0.1355238768688941,fallback_baseline,risk_off_regime,0.5,2022,2022Q1,high_cash,normal_volatility,normal_correlation_proxy
2022-03-16,regime_gated_full_quant,0.5,4,0.0145511458898731,0.0359245659137149,0.0498057162015291,0.0428374641275311,0.0125690866833913,0.6666666666666666,0.0012303395677002,0.0134803934168094,0.0912688175825863,fallback_baseline,risk_off_regime,0.5,2022,2022Q1,high_cash,normal_volatility,normal_correlation_proxy
2022-03-23,regime_gated_full_quant,0.5,4,0.0056243772914913,0.0017164088174348,-0.0149702383970569,-0.0191319796870929,-0.0529457263082713,0.8571428571428571,0.002289731255634,0.0196526640735005,0.1165099676598794,fallback_baseline,insufficient_full_quant_edge,0.5,2022,2022Q1,high_cash,normal_volatility,normal_correlation_proxy
2022-03-30,regime_gated_full_quant,0.5,4,-0.0058705069853857,-0.0095699640179539,-0.0117474695760768,-0.03958946433597,-0.0961133090340466,1.0,0.0015756140127889,0.0119821692028534,0.1314965584373263,fallback_baseline,insufficient_full_quant_edge,0.5,2022,2022Q1,high_cash,normal_volatility,normal_correlation_proxy
2022-04-06,regime_gated_full_quant,0.5,4,0.0075126515539182,0.002037853243467,-0.0035390124938195,-0.0412784829354902,-0.0745388277569306,0.8571428571428571,0.0011684099481638,0.0100349188911373,0.1164344187371283,fallback_baseline,insufficient_full_quant_edge,0.5,2022,2022Q2,high_cash,normal_volatility,normal_correlation_proxy
2022-04-13,regime_gated_full_quant,0.5,4,-0.0039920259930524,-0.0216112705068724,-0.0605606067645174,-0.1246945719445672,-0.1064657961348985,0.6666666666666666,0.0014992560420449,0.0170061308689424,0.0881597380144206,fallback_baseline,insufficient_full_quant_edge,0.5,2022,2022Q2,high_cash,normal_volatility,normal_correlation_proxy
2022-04-21,regime_gated_full_quant,0.5,4,-0.0155733199436403,-0.0156720752632927,-0.0357119387993791,-0.0829110295288117,-0.05034722425117,0.8571428571428571,0.0014187330495229,0.0110212123059228,0.1287274947748319,fallback_baseline,weak_market_breadth,0.5,2022,2022Q2,high_cash,normal_volatility,normal_correlation_proxy
2022-04-28,regime_gated_full_quant,0.8,4,-0.0061920970189646,-0.0113940135297999,-0.0262683526693818,-0.0110364799797719,-0.014813241145756,0.6666666666666666,0.0016259070871549,0.018462166141894,0.0880669730008256,fallback_baseline,risk_off_regime,0.19999999999999996,2022,2022Q2,high_cash,normal_volatility,normal_correlation_proxy
2022-05-05,regime_gated_full_quant,0.5,4,-0.0017347741613954,-0.0375662937365765,-0.0336093332017787,0.0139587965580435,-0.0687781029435855,0.4,0.0012931278143701,0.0183962088879167,0.0702931686767031,fallback_baseline,risk_off_regime,0.5,2022,2022Q2,high_cash,normal_volatility,normal_correlation_proxy
