window,baseline_sharpe,full_quant_sharpe,regime_gated_sharpe,sharpe_difference,regime_gated_sharpe_difference,baseline_return,full_quant_return,regime_gated_return,return_difference,regime_gated_return_difference,baseline_volatility,full_quant_volatility,regime_gated_volatility,baseline_sortino,full_quant_sortino,regime_gated_sortino,baseline_calmar,full_quant_calmar,regime_gated_calmar,baseline_max_drawdown,full_quant_max_drawdown,regime_gated_max_drawdown,baseline_cash,full_quant_cash,regime_gated_cash,baseline_selected_assets,full_quant_selected_assets,regime_gated_selected_assets,baseline_turnover,full_quant_turnover,regime_gated_turnover,baseline_TP_rate,full_quant_TP_rate,regime_gated_TP_rate,baseline_SL_rate,full_quant_SL_rate,regime_gated_SL_rate,baseline_TP_minus_SL,full_quant_TP_minus_SL,regime_gated_TP_minus_SL,average_overlap,regime_gated_overlap
2022-06-01_to_2022-12-31,3.011511166667879,1.8424783736639714,3.011511166667879,-1.1690327930039077,0.0,0.05193682428524582,0.026700779503376015,0.05193682428524582,-0.025236044781869804,0.0,0.1553229606079804,0.13343810593501204,0.1553229606079804,3.141342338466565,2.1537179397464876,3.141342338466565,16.209206356357704,10.223549693853997,16.209206356357704,-0.02885747889361534,-0.024048088166064407,-0.02885747889361534,0.5642857142857143,0.692857142857143,0.5642857142857143,3.7142857142857144,3.0,3.7142857142857144,0.6392857142857143,0.6318027210884355,0.6392857142857143,0.22756410256410256,0.19047619047619047,0.22756410256410256,0.14423076923076922,0.12301587301587301,0.14423076923076922,0.08333333333333334,0.06746031746031746,0.08333333333333334,0.5379251700680272,1.0
2023-01-01_to_2023-12-31,-3.713360372648399,-3.489663907557767,-3.751071507391217,0.22369646509063212,-0.037711134742818064,-0.06207496456020134,-0.05383515719127718,-0.06255405369103317,0.008239807368924157,-0.00047908913083183347,0.14216681205322299,0.13071296392622717,0.14188937713421246,-3.2753239796963864,-3.2627032312047524,-3.3021300009716055,-7.847189319776975,-7.10665881990019,-7.869707873024892,-0.06727461064991802,-0.06418548069114449,-0.06763112536794258,0.51,0.56,0.51,3.966666666666667,3.533333333333333,3.966666666666667,0.7582539682539682,0.6831746031746032,0.7582539682539682,0.20168067226890757,0.18238993710691823,0.20168067226890757,0.12605042016806722,0.11320754716981132,0.12605042016806722,0.07563025210084034,0.0691823899371069,0.07563025210084034,0.7294444444444443,1.0
2024-01-01_to_2024-12-31,-0.10255867366023128,-0.28204977036127055,-0.12516648830563748,-0.17949109670103927,-0.022607814645406205,-0.0025995388481068193,-0.00557682629315881,-0.0029489721612254716,-0.0029772874450519904,-0.0003494333131186522,0.13135220598885464,0.1350725920069321,0.13124794865996728,-0.08081366564687527,-0.22096774043112094,-0.1026260764654956,-0.45097151377778355,-1.2321476002445537,-0.5506256897913141,-0.029871749361092492,-0.030919342414898465,-0.029834868106703882,0.5400000000000001,0.55,0.5400000000000001,3.8666666666666667,3.8333333333333335,3.8666666666666667,0.7473015873015874,0.7371428571428572,0.7473015873015874,0.28735632183908044,0.27246376811594203,0.28735632183908044,0.20114942528735633,0.19710144927536233,0.20114942528735633,0.08620689655172412,0.0753623188405797,0.08620689655172412,0.6392063492063492,1.0
2025-01-01_to_latest,3.2449736259251765,2.119878886970102,3.264990930973603,-1.1250947389550743,0.020017305048426692,0.06907143941182858,0.03451054373739204,0.06950823149688601,-0.03456089567443654,0.00043679208505742473,0.17766899664890395,0.13885079697832559,0.1776310823136367,7.114167165931554,3.525493558326832,7.15652488921089,26.004632583835633,12.580973637010734,26.159464063793227,-0.02217032701429711,-0.023396191856520088,-0.02217032701429711,0.59,0.59,0.59,3.8,3.4,3.8,0.6897619047619048,0.6521428571428572,0.6897619047619048,0.2543859649122807,0.24183006535947713,0.2543859649122807,0.20175438596491227,0.1895424836601307,0.20175438596491227,0.052631578947368446,0.052287581699346414,0.052631578947368446,0.5688888888888889,1.0
