date,realized_portfolio_return_1d,cash_weight,selected_count,turnover,max_weight,portfolio_expected_return,portfolio_expected_volatility,portfolio_expected_sharpe,timing_model,target_model,model_mode,gate_decision,gate_reason,realized_portfolio_return_5d,realized_portfolio_return_10d,realized_portfolio_return_20d
2022-06-15,-0.02711183028004981,0.5,4,1.0,0.1530041743645588,0.0009447587721615457,0.02084700184720572,0.045318687986214135,ema,basic,regime_gated_full_quant,fallback_baseline,risk_off_regime,-0.03046444615787537,-0.02840103328478,-0.026592734526655004
2022-06-23,0.022508946309656594,0.5,4,0.4,0.18771085852269537,0.00042656873451820375,0.022081019644106706,0.01931834405265123,ema,basic,regime_gated_full_quant,fallback_baseline,risk_off_regime,-0.010281088643525522,0.01330074628500389,0.04253812640019273
2022-06-30,0.012891344152128982,0.4999999999999999,4,0.0,0.25,0.0005326824444730924,0.0222576444699912,0.023932561470791747,ema,basic,regime_gated_full_quant,fallback_baseline,risk_off_regime,0.026477078859053937,0.039072922762625806,0.08884545911035237
2022-07-08,-0.009434640410323386,0.5,4,0.6666666666666666,0.19346861516252986,0.0008893543460438439,0.014592477043071445,0.060946084987408784,ema,basic,regime_gated_full_quant,fallback_baseline,risk_off_regime,-0.009007606167215031,-0.009918535589650265,0.050767756679608825
2022-07-15,-0.006489028846932118,0.5,4,0.8571428571428571,0.1875,0.0005060871211479916,0.015002111779088894,0.03373439210427795,ema,basic,regime_gated_full_quant,fallback_baseline,insufficient_full_quant_edge,0.00959981161391012,0.02631481564204366,0.03926692218069315
2022-07-22,-0.0029790628657819732,0.5,4,0.8571428571428571,0.1875,0.0007854333378175087,0.019131102572047247,0.04105530953375983,ema,basic,regime_gated_full_quant,fallback_baseline,insufficient_full_quant_edge,-0.0038965048532839212,0.006729254081294503,0.010516509326022503
2022-07-29,0.000850369070447361,0.5,4,1.0,0.17559461283226033,0.0008468309538419111,0.012754983516642678,0.06639216371679099,ema,basic,regime_gated_full_quant,fallback_baseline,insufficient_full_quant_edge,0.007660929411360489,0.017901054914521215,-0.008078203818635386
2022-08-05,-0.011096909706075155,0.5,4,0.8571428571428571,0.1452644344042966,0.0007431550972341071,0.02343470932999199,0.03171172668580998,ema,basic,regime_gated_full_quant,fallback_baseline,insufficient_full_quant_edge,0.0008362859059159416,-0.01983400061380224,-0.08387131685245468
2022-08-12,0.007647660039627707,0.5,4,0.6666666666666666,0.14865361454253018,0.001259618751419956,0.020880407867648096,0.06032539016498798,ema,basic,regime_gated_full_quant,fallback_baseline,insufficient_full_quant_edge,-0.007544603445828991,0.005516375851430102,0.055126484613694404
2022-08-19,0.0020374224551224784,0.8,4,0.8571428571428571,0.07319076514812589,0.0023279278795493266,0.022349001032930298,0.10416250266037504,ema,basic,regime_gated_full_quant,fallback_baseline,insufficient_full_quant_edge,0.01894940495136139,0.022750805588745416,0.042384558259091196
2022-08-26,0.012010359997413532,0.8,2,0.5,0.10257116768445032,0.00497802600018689,0.030877976857384973,0.16121606746383432,ema,basic,regime_gated_full_quant,fallback_baseline,weak_market_breadth,0.007149958855525544,0.033034957483898675,-0.0009029312877997398
2022-09-02,0.0030524516393722564,0.8,2,0.0,0.102910733548484,0.003072530217561969,0.031249574397226934,0.09832230604185839,ema,basic,regime_gated_full_quant,fallback_baseline,risk_off_regime,0.02470346926489156,0.02225516289831351,0.017295060981493384
2022-09-12,-0.0013625373373432096,0.8,4,0.5,0.07500000000000001,0.003367498531042296,0.025270898624296743,0.13325598670261016,ema,basic,regime_gated_full_quant,fallback_baseline,bearish_spy_or_negative_market_momentum,-0.005311085252889363,-0.02878433642518461,-0.0015762130721785096
2022-09-19,-0.0020330905104648436,0.8,4,0.6666666666666666,0.07964481604717795,0.0025723882846953893,0.02206533941777692,0.11658049921602144,ema,basic,regime_gated_full_quant,fallback_baseline,risk_off_regime,-0.021573812903269304,-0.007101871318373504,0.002362206258048738
2022-09-26,0.002286978588012092,0.8,2,0.5,0.1013608973442856,0.002027905656869616,0.031397808414923456,0.0645874906321725,ema,basic,regime_gated_full_quant,fallback_baseline,risk_off_regime,0.02791509226415552,0.045328013859132925,0.07027376616324327
2022-10-03,0.009474286303298978,0.5,4,0.5,0.18114627543477177,0.0014177567264755987,0.0229037658602472,0.06190059465008419,ema,basic,regime_gated_full_quant,fallback_baseline,risk_off_regime,0.01806895782229769,0.025139067124654912,0.07797771222047693
2022-10-10,-0.003592424535771426,0.5,4,0.4,0.13072076738034633,0.0011336572955397103,0.018758319267120717,0.060434907807906155,ema,basic,regime_gated_full_quant,fallback_baseline,risk_off_regime,0.01381367437501599,0.04535373618364627,0.06669618559290635
2022-10-17,-0.002659788827580109,0.5,4,0.4,0.17102467576483477,0.0010977302189748353,0.02350401413740529,0.04670394650707178,ema,basic,regime_gated_full_quant,fallback_baseline,risk_off_regime,0.03739558234963249,0.050857509418603467,0.08024228901439147
2022-10-24,0.004191052775113186,0.5,4,0.8571428571428571,0.1875,0.0017529829045371066,0.01763779166682654,0.09938789036918647,ema,basic,regime_gated_full_quant,fallback_baseline,insufficient_full_quant_edge,0.01582406836212253,0.021944993039874263,0.018612636378001767
2022-10-31,0.018146307381620805,0.5,4,0.6666666666666666,0.18035785727470194,0.002188982946185651,0.02363417622827886,0.09261938834011402,ema,basic,regime_gated_full_quant,fallback_baseline,insufficient_full_quant_edge,0.010859487709513874,0.02136280096158192,0.04462218789305996
2022-11-07,-0.005197575131755702,0.5,3,0.6,0.17946184864138182,0.002480604795214122,0.022145903420743317,0.11201190342456852,ema,basic,regime_gated_full_quant,fallback_baseline,insufficient_full_quant_edge,0.005788381767276133,-0.019982875798643485,-0.017873555788516394
2022-11-14,0.0025091227063844482,0.5,4,0.8333333333333334,0.1765165875080189,0.0016399878101550271,0.02353615644394304,0.06967950837941822,ema,basic,regime_gated_full_quant,fallback_baseline,insufficient_full_quant_edge,-0.027156821855933662,-0.011516090772527863,-0.01818457208141485
2022-11-21,0.008387112393162902,0.5,4,0.6666666666666666,0.1875,0.00042808590142653013,0.018596017268966952,0.023020300273700015,ema,basic,regime_gated_full_quant,fallback_baseline,insufficient_full_quant_edge,-0.0010090577581625094,0.0018267196714552465,0.0075273051933548146
2022-11-29,0.008499785189703778,0.5,4,0.8571428571428571,0.1875,0.001014029514623395,0.021635404465626114,0.04686898810856364,ema,basic,regime_gated_full_quant,fallback_baseline,insufficient_full_quant_edge,-0.020807114628708785,-0.01384901877498123,-0.00818746494161227
2022-12-06,-0.0006790162122111625,0.5,4,0.6666666666666666,0.1875,-0.00030427839564674036,0.023684398446788053,-0.012847208103273777,ema,basic,regime_gated_full_quant,fallback_baseline,insufficient_full_quant_edge,0.027571971279581078,-0.012104894690927813,-0.03335382934134921
2022-12-13,-0.002046475454522017,0.5,4,0.6666666666666666,0.1875,0.00036402358487071793,0.021121375171145772,0.01723484299298921,ema,basic,regime_gated_full_quant,fallback_baseline,insufficient_full_quant_edge,-0.030599079891274444,-0.04080801420849099,-0.002429562269848139
2022-12-20,0.012040856656176423,0.5,4,0.8571428571428571,0.1875,0.0018607551948244658,0.026638362222894316,0.0698524623719262,ema,basic,regime_gated_full_quant,fallback_baseline,bearish_spy_or_negative_market_momentum,0.027626398204101853,0.029564734059946307,0.11616516980838634
2022-12-28,0.00012130560721916445,0.5,3,0.6,0.17766886718050368,0.0021220379183208293,0.022212268201024704,0.09553449918378595,ema,basic,regime_gated_full_quant,fallback_baseline,risk_off_regime,-0.006850911219724224,0.02330551260559207,0.03910648195583697
2023-01-05,0.009834757237844455,0.5,4,0.8333333333333334,0.1875,0.0007111306255852671,0.02347158105619354,0.030297516979480094,ema,basic,regime_gated_full_quant,fallback_baseline,bearish_spy_or_negative_market_momentum,0.039134008535247664,0.07074824684691662,0.1018557381035076
2023-01-12,0.019573746863122236,0.5,4,0.8571428571428571,0.18271426930751664,0.003129456572094857,0.024857864327231784,0.12589402415663434,ema,basic,regime_gated_full_quant,fallback_baseline,weak_market_breadth,0.024400829706916826,0.01876499303126529,0.027787551039939396
2023-01-20,0.00348170427683278,0.8,4,0.4,0.0749993351431186,0.0039795832350561005,0.030069468908746285,0.13234630937889835,ema,basic,regime_gated_full_quant,fallback_baseline,insufficient_full_quant_edge,0.0002280830419406515,-0.004234686422117566,0.0074331672153879445
