regime,portfolio_observations,portfolio_return_5d,portfolio_return_10d,portfolio_return_20d,portfolio_volatility,portfolio_sharpe,portfolio_sortino,portfolio_max_drawdown,average_cash,average_selected_count,average_turnover,signal_observations,regime_label_source,TP_rate,SL_rate,timeout_rate,hit_rate,direction_accuracy,average_signal_realized_return,average_signal_strength,average_target_confidence,average_quality_score,average_volatility,average_expected_return,TP_minus_SL,weakness_flags
neutral,10,0.00518911951066115,0.010837523111198918,0.00803583550285503,0.11828823248472103,0.24818855034331846,0.2642167294479768,-0.0158788033440056,0.5900000000000001,3.8,0.8109523809523809,690,regime,0.17391304347826086,0.30579710144927535,0.5202898550724637,0.463768115942029,0.563768115942029,-0.004940265985546299,0.33322508798126543,0.5,0.5,,0.0002033530265399902,-0.1318840579710145,"TP_rate_below_SL_rate, negative_average_signal_return"
risk_off,10,0.00705479674693143,0.01681314723296049,0.03912824894840869,0.17221891271671594,0.6294428340004778,0.7450360548336592,-0.014543888095545743,0.5900000000000001,3.6,0.7314285714285715,690,regime,0.21159420289855072,0.17681159420289855,0.6115942028985507,0.563768115942029,0.5028985507246376,0.011899480866405696,0.3159809433739144,0.5,0.5,,0.00011896058452796878,0.03478260869565217,ok
