variant,realized_return,annualized_volatility,Sharpe,Sortino,Calmar,max_drawdown,average_cash,average_exposure,average_position_size,max_position_size,turnover,TP_rate,SL_rate,TP_minus_SL,hit_rate
baseline,0.21245104002945792,0.1407161789248774,1.6393324086995777,2.11864183016212,4.491787415651011,-0.05496821296940235,0.5490909090909091,0.4509090909090909,,,,,,,
raw_target_cash_floor_40pct,0.287727821690541,0.255230264063607,1.2631097113794962,1.927300024379019,3.9775577400113016,-0.08446778428173984,0.4327272727272728,0.567272727272727,0.14181818181818176,0.15,0.49818181818181817,0.2733333333333333,0.14222222222222222,0.1311111111111111,0.5711111111111111
raw_target_equal_risk_contribution,0.28944602586982593,0.26775127397818854,1.2220066810499022,1.9437145652804446,3.390628628033792,-0.09969170598795707,0.43272727272727285,0.567272727272727,0.14181818181818176,0.5932000503453343,0.49818181818181817,0.2733333333333333,0.14222222222222222,0.1311111111111111,0.5711111111111111
raw_target_cash_floor_50pct,0.21466768181071072,0.21878622512808696,1.1280750779125097,1.6634399351702176,3.0733428414679933,-0.08118752207537216,0.5163636363636365,0.48363636363636353,0.12090909090909088,0.125,0.49818181818181817,0.2733333333333333,0.14222222222222222,0.1311111111111111,0.5711111111111111
raw_target_vol_target_15pct,0.25069029657902653,0.26286330296029975,1.106618387716793,1.6707443062439937,3.3467852192586878,-0.08726403369136748,0.4220308323989243,0.5779691676010758,0.14449229190026894,0.2499999999999999,0.49818181818181817,0.2733333333333333,0.14222222222222222,0.1311111111111111,0.5711111111111111
raw_target_dynamic_cash_by_volatility,0.22104288043826625,0.2327476666808599,1.0996858012022028,1.6247572323996007,3.1605105758336474,-0.08132608934279884,0.49090909090909096,0.509090909090909,0.12727272727272726,0.175,0.49818181818181817,0.2733333333333333,0.14222222222222222,0.1311111111111111,0.5711111111111111
raw_target_vol_target_12pct,0.19627496507086395,0.23771246145534675,0.982803285340501,1.4514597883342029,2.5177346943419607,-0.09050540074112867,0.4783169674846834,0.5216830325153167,0.13042075812882917,0.2499999999999999,0.49818181818181817,0.2733333333333333,0.14222222222222222,0.1311111111111111,0.5711111111111111
raw_target_max_position_10pct,0.14418324683072403,0.1836272447621078,0.9324909871639054,1.2952348109009515,2.030672448422269,-0.0821503502928973,0.5999999999999998,0.3999999999999999,0.09999999999999998,0.1,0.49818181818181817,0.2733333333333333,0.14222222222222222,0.1311111111111111,0.5711111111111111
raw_target_drawdown_guard,0.15246943031790905,0.33564907952737294,0.6528236120981505,0.8998923383523126,1.5700763368050739,-0.1124179553032324,0.27454545454545487,0.7254545454545454,0.18136363636363634,0.25,0.49818181818181817,0.2733333333333333,0.14222222222222222,0.1311111111111111,0.5711111111111111
