horizon,confidence_bucket,sample_size,avg_confidence,avg_abs_error,success_rate,confidence_vs_accuracy_spearman,confidence_vs_success_spearman
5D,"(0.221, 0.291]",2024,0.26552570035354983,0.04378410973487874,0.5291501976284585,0.067147322677657,-0.015918244699100595
5D,"(0.291, 0.336]",2024,0.3135022219357085,0.04360323597775653,0.5632411067193676,0.067147322677657,-0.015918244699100595
5D,"(0.336, 0.391]",2025,0.36276247973784626,0.03900768870073228,0.5580246913580247,0.067147322677657,-0.015918244699100595
5D,"(0.391, 0.483]",2023,0.432642935080316,0.03746459695030581,0.541769649036085,0.067147322677657,-0.015918244699100595
5D,"(0.483, 0.757]",2024,0.6165664012980595,0.03834312983546967,0.5182806324110671,0.067147322677657,-0.015918244699100595
10D,"(0.221, 0.291]",2024,0.26552570035354983,0.06045735837856573,0.5335968379446641,0.07161389423124805,-0.0067593258949637525
10D,"(0.291, 0.336]",2024,0.3135022219357085,0.06334592571693087,0.5884387351778656,0.07161389423124805,-0.0067593258949637525
10D,"(0.336, 0.391]",2025,0.36276247973784626,0.05934367101879199,0.5476543209876543,0.07161389423124805,-0.0067593258949637525
10D,"(0.391, 0.483]",2023,0.432642935080316,0.0550336240972323,0.5585763717251606,0.07161389423124805,-0.0067593258949637525
10D,"(0.483, 0.757]",2024,0.6165664012980595,0.054042849702862474,0.5365612648221344,0.07161389423124805,-0.0067593258949637525
20D,"(0.221, 0.291]",2024,0.26552570035354983,0.08719688299564216,0.558300395256917,0.04844459533951953,-0.002237623616689833
20D,"(0.291, 0.336]",2024,0.3135022219357085,0.09159350218809688,0.5815217391304348,0.04844459533951953,-0.002237623616689833
20D,"(0.336, 0.391]",2025,0.36276247973784626,0.08596485455294697,0.5624691358024692,0.04844459533951953,-0.002237623616689833
20D,"(0.391, 0.483]",2023,0.432642935080316,0.0782025148136526,0.5743944636678201,0.04844459533951953,-0.002237623616689833
20D,"(0.483, 0.757]",2024,0.6165664012980595,0.07905053897886764,0.5602766798418972,0.04844459533951953,-0.002237623616689833
