feature,classification,average_abs_ic_governance,average_spearman_ic_governance,positive_ic_month_rate_governance,monotonicity_score,incremental_ic_vs_signal,redundancy_flag,recommended_usage,spearman_ic_5d,spearman_ic_10d,spearman_ic_20d,pearson_ic_5d,pearson_ic_10d,pearson_ic_20d,average_spearman_ic,average_abs_ic,ic_volatility,positive_ic_month_rate,sample_size,decile_return_corr,top_bottom_spread,incremental_ic_vs_signal_incremental
signal_strength,remove candidate,0.01169768939439647,0.01169768939439647,0.4402515723270441,0.12626262626262624,,False,remove candidate,0.009542923899788183,0.01831500918275921,0.007235135100642014,0.003329140958889903,0.006276500599241713,-0.01248017275513546,0.01169768939439647,0.01169768939439647,0.1748403239933736,0.4402515723270441,10120,0.0303030303030303,0.0023911424269649657,
expected_daily_return,supporting feature,0.031066405791613894,0.031066405791613894,0.6477987421383647,0.4616161616161616,0.02900752444692612,True,supporting feature,0.013619998105921368,0.03460225791211048,0.04497696135680983,0.01682443246383052,0.03172084015059339,0.03824342422243456,0.031066405791613894,0.031066405791613894,0.12118607139321068,0.6477987421383647,10120,0.4787878787878787,0.01440224062993917,0.02900752444692612
expected_total_return,supporting feature,0.031066405791613894,0.031066405791613894,0.6477987421383647,0.4616161616161616,0.02900752444692612,True,supporting feature,0.013619998105921368,0.03460225791211048,0.04497696135680983,0.0168829388648129,0.03122075129964633,0.03817903089048205,0.031066405791613894,0.031066405791613894,0.12118607139321068,0.6477987421383647,10120,0.4787878787878787,0.01440224062993917,0.02900752444692612
