date,gross_portfolio_value,estimated_net_portfolio_value,estimated_execution_cost,cumulative_estimated_cost,holdings_plus_cash_value,weight_sum,gross_identity_pass,net_identity_pass,holdings_cash_identity_pass,weights_sum_to_one
2026-07-10,100000.0,99813.25643720648,186.74356279351593,186.74356279351593,99999.99999999999,1.0,True,True,True,True
2026-07-13,98845.81357152591,98661.2253775902,0.0,186.74356279351593,98845.81357152591,1.0,True,True,True,True
