variant,realized_return,volatility,Sharpe,Sortino,Calmar,max_drawdown,average_cash,average_exposure,turnover,TP_rate,SL_rate,TP_minus_SL,hit_rate
regime_gated_full_quant,0.2132036555447685,0.14066485878539475,1.6449369115316776,2.1250024277331034,4.507917192191601,-0.05496821296940235,0.5490909090909091,0.4509090909090909,0.6994047619047621,0.27744982290436837,0.1806375442739079,0.09681227863046046,0.5962219598583235
baseline,0.21245104002945792,0.1407161789248774,1.6393324086995777,2.11864183016212,4.491787415651011,-0.05496821296940235,0.5490909090909091,0.4509090909090909,0.7011147186147186,0.27744982290436837,0.18181818181818182,0.09563164108618655,0.5950413223140496
raw_target_blend_50_50_with_baseline_expected_return,0.4094785009231965,0.2617485774866751,1.6339545658786556,2.451536323001978,5.276065373784369,-0.09128577880145283,0.3236363636363637,0.6763636363636363,0.6994047619047621,0.2733333333333333,0.14222222222222222,0.1311111111111111,0.5711111111111111
raw_target_with_baseline_cash_floor,0.28982711025069063,0.2034140299117526,1.5355134902058685,2.4291997936155654,4.893635012156486,-0.06916546062377349,0.5490909090909091,0.4509090909090909,0.6994047619047621,0.2733333333333333,0.14222222222222222,0.1311111111111111,0.5711111111111111
raw_target_with_regime_gate_cash,0.28982711025069063,0.2034140299117526,1.5355134902058685,2.4291997936155654,4.893635012156486,-0.06916546062377349,0.5490909090909091,0.4509090909090909,0.6994047619047621,0.2733333333333333,0.14222222222222222,0.1311111111111111,0.5711111111111111
raw_target_with_volatility_targeting,0.16541658506378298,0.14049102462059118,1.318678875393951,2.0116635214800556,3.9266069902658973,-0.04880976746996368,0.686138604578965,0.31386139542103497,0.6994047619047621,0.2733333333333333,0.14222222222222222,0.1311111111111111,0.5711111111111111
raw_target_with_max_exposure_cap,0.21466768181070828,0.2187862251280866,1.1280750779125088,1.6634399351702127,3.0733428414679618,-0.08118752207537205,0.5163636363636364,0.4836363636363636,0.6994047619047621,0.2733333333333333,0.14222222222222222,0.1311111111111111,0.5711111111111111
