date,signal_date,economic_application_date,ticker,action,old_weight,new_weight,weight_change,old_position_value,new_position_value,estimated_trade_value,execution_price,reason,raw_target_rank,raw_target_return_exact,holding_quality_classification,holding_risk_notes,previous_weight,trade_weight_change,model_mode,growth_paper_variant,portfolio_value,trade_weight_change_abs,estimated_order_value,estimated_total_cost_bps_of_order,estimated_total_cost,paper_accounting_adjusted,reason_cost,daily_estimated_cost
2026-07-10,2026-07-10,2026-07-13,ARM,BUY,0.0,0.1450136198051905,0.1450136198051905,0.0,14501.36198051905,14501.36198051905,323.3900146484375,official_forward_initial_or_new_selection,,,,,0.0,0.1450136198051905,growth_champion_final,growth_v1_exposure_cap_60_dual_trend_filter,100000.0,0.1450136198051905,14501.36198051905,42.92552268409568,62.247854264505314,False,estimated from advanced_execution_costs median; reporting only,186.743562793516
2026-07-10,2026-07-10,2026-07-13,BABA,BUY,0.0,0.1450136198051905,0.1450136198051905,0.0,14501.36198051905,14501.36198051905,112.33000183105467,official_forward_initial_or_new_selection,,,,,0.0,0.1450136198051905,growth_champion_final,growth_v1_exposure_cap_60_dual_trend_filter,100000.0,0.1450136198051905,14501.36198051905,42.92552268409568,62.247854264505314,False,estimated from advanced_execution_costs median; reporting only,186.743562793516
2026-07-10,2026-07-10,2026-07-13,SE,BUY,0.0,0.1450136198051905,0.1450136198051905,0.0,14501.36198051905,14501.36198051905,111.13999938964844,official_forward_initial_or_new_selection,,,,,0.0,0.1450136198051905,growth_champion_final,growth_v1_exposure_cap_60_dual_trend_filter,100000.0,0.1450136198051905,14501.36198051905,42.92552268409568,62.247854264505314,False,estimated from advanced_execution_costs median; reporting only,186.743562793516
2026-07-17,2026-07-17,2026-07-20,ARM,REDUCE,0.1450136198051905,0.1009405929466939,-0.0440730268584966,14156.327609217857,9853.88892947942,4302.438679738439,267.19000244140625,official_weight_reduced,,,,,0.1450136198051905,-0.0440730268584966,growth_champion_final,growth_v1_exposure_cap_60_dual_trend_filter,97620.67610087448,0.0440730268584966,4302.438679738439,42.92552268409568,18.468442914404303,False,estimated from advanced_execution_costs median; reporting only,182.3003285738913
2026-07-17,2026-07-17,2026-07-20,BABA,REDUCE,0.1450136198051905,0.1009405929466939,-0.0440730268584966,14156.327609217857,9853.88892947942,4302.438679738439,114.97000122070312,official_weight_reduced,,,,,0.1450136198051905,-0.0440730268584966,growth_champion_final,growth_v1_exposure_cap_60_dual_trend_filter,97620.67610087448,0.0440730268584966,4302.438679738439,42.92552268409568,18.468442914404303,False,estimated from advanced_execution_costs median; reporting only,182.3003285738913
2026-07-17,2026-07-17,2026-07-20,OKLO,BUY,0.0,0.1009405929466939,0.1009405929466939,0.0,9853.88892947942,9853.88892947942,41.11000061035156,official_forward_initial_or_new_selection,,,,,0.0,0.1009405929466939,growth_champion_final,growth_v1_exposure_cap_60_dual_trend_filter,97620.67610087448,0.1009405929466939,9853.88892947942,42.92552268409568,42.29833327689281,False,estimated from advanced_execution_costs median; reporting only,182.3003285738913
2026-07-17,2026-07-17,2026-07-20,SE,SELL,0.1450136198051905,0.0,-0.1450136198051905,14156.327609217857,0.0,14156.327609217857,,removed_from_official_allocation,,,,,0.1450136198051905,-0.1450136198051905,growth_champion_final,growth_v1_exposure_cap_60_dual_trend_filter,97620.67610087448,0.1450136198051905,14156.327609217857,42.92552268409568,60.76677619129712,False,estimated from advanced_execution_costs median; reporting only,182.3003285738913
2026-07-17,2026-07-17,2026-07-20,TEAM,BUY,0.0,0.1009405929466939,0.1009405929466939,0.0,9853.88892947942,9853.88892947942,93.29000091552734,official_forward_initial_or_new_selection,,,,,0.0,0.1009405929466939,growth_champion_final,growth_v1_exposure_cap_60_dual_trend_filter,97620.67610087448,0.1009405929466939,9853.88892947942,42.92552268409568,42.29833327689281,False,estimated from advanced_execution_costs median; reporting only,182.3003285738913
2026-07-24,2026-07-24,2026-07-27,ARM,INCREASE,0.1009405929466939,0.1177272006650303,0.0167866077183364,9835.656814982107,11471.3447754489,1635.6879604667943,260.010009765625,official_weight_increased,,,,,0.1009405929466939,0.0167866077183364,growth_champion_final,growth_v1_exposure_cap_60_dual_trend_filter,97440.05387581045,0.0167866077183364,1635.6879604667943,42.92552268409568,7.021276065111958,False,estimated from advanced_execution_costs median; reporting only,112.52524620534678
2026-07-24,2026-07-24,2026-07-27,BABA,SELL,0.1009405929466939,0.0,-0.1009405929466939,9835.656814982107,0.0,9835.656814982107,,removed_from_official_allocation,,,,,0.1009405929466939,-0.1009405929466939,growth_champion_final,growth_v1_exposure_cap_60_dual_trend_filter,97440.05387581045,0.1009405929466939,9835.656814982107,42.92552268409568,42.22007097244947,False,estimated from advanced_execution_costs median; reporting only,112.52524620534678
2026-07-24,2026-07-24,2026-07-27,OKLO,INCREASE,0.1009405929466939,0.1177272006650303,0.0167866077183364,9835.656814982107,11471.3447754489,1635.6879604667943,40.25,official_weight_increased,,,,,0.1009405929466939,0.0167866077183364,growth_champion_final,growth_v1_exposure_cap_60_dual_trend_filter,97440.05387581045,0.0167866077183364,1635.6879604667943,42.92552268409568,7.021276065111958,False,estimated from advanced_execution_costs median; reporting only,112.52524620534678
2026-07-24,2026-07-24,2026-07-27,TEAM,INCREASE,0.1009405929466939,0.1177272006650303,0.0167866077183364,9835.656814982107,11471.3447754489,1635.6879604667943,86.87999725341797,official_weight_increased,,,,,0.1009405929466939,0.0167866077183364,growth_champion_final,growth_v1_exposure_cap_60_dual_trend_filter,97440.05387581045,0.0167866077183364,1635.6879604667943,42.92552268409568,7.021276065111958,False,estimated from advanced_execution_costs median; reporting only,112.52524620534678
2026-07-24,2026-07-24,2026-07-27,VIST,BUY,0.0,0.1177272006650303,0.1177272006650303,0.0,11471.3447754489,11471.3447754489,69.5,official_forward_initial_or_new_selection,,,,,0.0,0.1177272006650303,growth_champion_final,growth_v1_exposure_cap_60_dual_trend_filter,97440.05387581045,0.1177272006650303,11471.3447754489,42.92552268409568,49.24134703756143,False,estimated from advanced_execution_costs median; reporting only,112.52524620534678
