date,return,cumulative_return,selected_assets
2022-05-05,-0.0716731742690942,-0.07167317426909414,"['AMZN', 'META']"
2022-05-06,-0.0051372346548384335,-0.07644220700925508,"['AAPL', 'MSFT', 'TSLA', 'GOOGL']"
2022-05-09,-0.06169910809218592,-0.13342489910837174,"['META', 'TSLA', 'QQQ', 'XLF']"
2022-05-10,0.01658607959204105,-0.11905181551250232,"['META', 'GOOGL', 'TSLA', 'QQQ', 'XLF']"
2022-05-11,-0.04988178670430309,-0.16299508494865078,"['AAPL', 'GOOGL', 'QQQ', 'NVDA', 'TSLA']"
2022-05-12,-0.007627039046722339,-0.16937895411804593,"['META', 'AAPL']"
2022-05-13,0.03672824688199117,-0.13887169927951581,"['AAPL', 'MSFT', 'TSLA']"
2022-05-16,-0.03604747427994054,-0.16991319955146644,"['AMZN', 'XLF', 'TSLA']"
2022-05-17,0.03841641353956611,-0.13802424175170025,"['TSLA', 'SPY', 'AAPL']"
2022-05-18,-0.0537148527916851,-0.18432514271600875,"['GOOGL', 'NVDA', 'QQQ']"
2022-05-19,-0.0028579140556569934,-0.18665627135548668,"['GOOGL', 'QQQ', 'NVDA', 'MSFT', 'SPY']"
2022-05-20,-0.013699228220835857,-0.19779845271617347,"['GOOGL', 'MSFT', 'META', 'QQQ', 'NVDA']"
2022-05-23,0.0243003461838478,-0.17830467740795808,"['META', 'MSFT', 'TSLA', 'SPY']"
2022-05-24,-0.05400929593276965,-0.2226838632524043,"['GOOGL', 'META', 'QQQ', 'TSLA', 'NVDA']"
2022-05-25,0.016765966613219684,-0.2096514068557772,"['GOOGL', 'META', 'AAPL', 'XLF', 'NVDA']"
2022-05-26,0.03224024851965159,-0.18417037179565043,"['MSFT', 'GOOGL', 'META', 'QQQ', 'NVDA']"
2022-05-27,0.0406914526364925,-0.1509730791201258,"['MSFT', 'GOOGL', 'META', 'QQQ', 'NVDA']"
2022-05-31,-0.006201589713511671,-0.156238395739149,"['MSFT', 'GOOGL', 'META', 'QQQ', 'NVDA']"
2022-06-02,0.0230948502293749,-0.1367518478594476,"['MSFT', 'META', 'AAPL', 'QQQ', 'TSLA']"
2022-06-03,-0.033256927350087014,-0.1654608289402828,"['META', 'QQQ']"
2022-06-06,0.00860000414611238,-0.1582837886090761,"['SPY', 'META', 'XLF', 'GOOGL']"
2022-06-07,0.0058033564982657715,-0.15339900936400497,"['AMZN', 'AAPL', 'NVDA']"
2022-06-08,-0.004801047843155069,-0.15746358122411086,"['MSFT', 'GOOGL', 'XLF', 'META']"
2022-06-09,-0.02987682932151343,-0.18263589800503732,"['SPY', 'AAPL']"
2022-06-10,-0.03645887671604429,-0.21243607503179196,"['QQQ', 'XLF', 'GOOGL', 'META', 'AMZN']"
2022-06-13,-0.04048863162934764,-0.24432346067439292,"['XLF', 'AMZN', 'SPY']"
