model_mode,realized_return,volatility,Sharpe,Sortino,Calmar,max_drawdown,average_cash,average_selected_count,turnover,hit_rate,direction_accuracy,sample_size,TP_rate,SL_rate,TP_minus_SL
baseline,0.21245104002945792,0.1407161789248774,1.6393324086995777,2.11864183016212,4.491787415651011,-0.05496821296940235,0.5490909090909091,3.85,0.7011147186147186,0.5950413223140496,0.5681818181818182,847,0.27744982290436837,0.18181818181818182,0.09563164108618655
regime_gated_full_quant,0.2132036555447685,0.14066485878539475,1.6449369115316776,2.1250024277331034,4.507917192191601,-0.05496821296940235,0.5490909090909091,3.85,0.6994047619047621,0.5962219598583235,0.5681818181818182,847,0.27744982290436837,0.1806375442739079,0.09681227863046046
raw_target_research,0.6045537317352057,0.4068280598235057,1.5355134902058687,2.4291997936155703,5.296055350225503,-0.1357226341143647,0.0981818181818184,2.0454545454545454,0.4981818181818181,0.5761363636363637,,880,0.2733333333333333,0.1422222222222222,0.1311111111111111
