feature,feature_ic_20d,signal_strength_ic_20d,combined_with_signal_ic_20d,incremental_ic_vs_signal,sample_size
expected_daily_return,0.04497696135680983,0.007235135100642014,0.03624265954756813,0.02900752444692612,10120
expected_total_return,0.04497696135680983,0.007235135100642014,0.03624265954756813,0.02900752444692612,10120
