namespace,logical_source,source_file,exists,row_count,latest_date,columns
official_forward,state,growth_official_paper_state.csv,True,8,2026-07-13,"date,ticker,paper_position_weight,paper_position_value,entry_price,current_price,unrealized_return,realized_return,action,model_mode,growth_paper_variant,exposure_cap,exposure_cap_60,dual_trend_cap,vol_target_exposure,final_exposure,spy_close,spy_ma_200,qqq_close,qqq_ma_200,spy_below_200d,qqq_below_200d,dual_trend_reason,cash_weight,data_source,raw_target_current_features_available,raw_target_feature_source,rebalance_due,monitoring_only,previous_rebalance_date,next_rebalance_date,sessions_since_last_rebalance,observed_candidate_tickers,growth_model_version,signal_date,economic_application_date,model_version,official_forward_namespace,data_mode,real_orders"
official_forward,trades,growth_official_paper_trades.csv,True,3,2026-07-10,"date,signal_date,economic_application_date,ticker,action,old_weight,new_weight,weight_change,old_position_value,new_position_value,estimated_trade_value,execution_price,reason,raw_target_rank,raw_target_return_exact,holding_quality_classification,holding_risk_notes,previous_weight,trade_weight_change,model_mode,growth_paper_variant,portfolio_value,trade_weight_change_abs,estimated_order_value,estimated_total_cost_bps_of_order,estimated_total_cost,paper_accounting_adjusted,reason_cost,daily_estimated_cost"
official_forward,actions,growth_official_paper_actions.csv,True,8,2026-07-13,"date,signal_date,economic_application_date,ticker,action,old_weight,new_weight,weight_change,old_position_value,new_position_value,estimated_trade_value,execution_price,reason,raw_target_rank,raw_target_return_exact,holding_quality_classification,holding_risk_notes"
official_forward,performance,growth_official_paper_performance.csv,True,2,2026-07-13,"date,signal_date,economic_application_date,model_mode,growth_paper_variant,growth_model_version,model_version,portfolio_value,daily_return,gross_daily_return,estimated_net_daily_return,cumulative_return,gross_cumulative_return,estimated_net_cumulative_return,volatility,Sharpe,max_drawdown,cash_weight,exposure,turnover,estimated_execution_cost,estimated_cost_reporting_only,integrity_status,data_status,official_forward_namespace,data_mode,real_orders,gross_portfolio_value,gross_equity,estimated_net_portfolio_value,estimated_net_equity,cumulative_estimated_cost,current_drawdown"
official_forward,monitor,growth_official_paper_monitor.csv,True,2,2026-07-13,"date,model,model_version,portfolio_value,gross_daily_return,estimated_net_daily_return,gross_cumulative_return,cash,exposure,turnover,governance_status,promotion_status,data_status,integrity_status,risk_flags,real_orders"
official_forward,tracking,growth_official_live_tracking.csv,True,3,2026-07-13,"date,model,data_mode,days_tracked,portfolio_value,cumulative_return,governance_status,promotion_status,reason,model_version,daily_return,gross_daily_return,estimated_net_daily_return,data_status,integrity_status,real_orders,cash,exposure,turnover,risk_flags"
official_forward,rebalance,growth_official_paper_rebalance_report.csv,True,2,2026-07-13,"date,previous_non_cash_holdings,current_non_cash_holdings,turnover,buy_count,sell_count,increase_count,reduce_count,hold_count,reconciliation_passed,warning,model_version,official_forward_namespace"
official_forward,costs,growth_official_estimated_cost_ledger.csv,True,3,2026-07-10,"date,signal_date,economic_application_date,ticker,action,old_weight,new_weight,weight_change,old_position_value,new_position_value,estimated_trade_value,execution_price,reason,raw_target_rank,raw_target_return_exact,holding_quality_classification,holding_risk_notes,previous_weight,trade_weight_change,model_mode,growth_paper_variant,portfolio_value,trade_weight_change_abs,estimated_order_value,estimated_total_cost_bps_of_order,estimated_total_cost,paper_accounting_adjusted,reason_cost,daily_estimated_cost"
historical_debug,state,growth_candidate_paper_state.csv,True,68,2026-07-13,"date,ticker,paper_position_weight,paper_position_value,entry_price,current_price,unrealized_return,realized_return,action,model_mode,growth_paper_variant,exposure_cap,exposure_cap_60,dual_trend_cap,vol_target_exposure,final_exposure,spy_close,spy_ma_200,qqq_close,qqq_ma_200,spy_below_200d,qqq_below_200d,dual_trend_reason,cash_weight,data_source,raw_target_current_features_available,raw_target_feature_source,rebalance_due,monitoring_only,previous_rebalance_date,next_rebalance_date,sessions_since_last_rebalance,observed_candidate_tickers,growth_model_version"
historical_debug,trades,growth_candidate_paper_trades.csv,True,17,2026-07-10,"date,ticker,action,previous_weight,new_weight,trade_weight_change,execution_price,reason,model_mode,growth_paper_variant,raw_target_rank,raw_target_return_exact,quality_filter_pass,tradability_filter_pass,holding_quality_classification,exposure_cap,exposure_cap_60,dual_trend_cap,vol_target_exposure,final_exposure,spy_close,spy_ma_200,qqq_close,qqq_ma_200,spy_below_200d,qqq_below_200d,dual_trend_reason,data_source,raw_target_current_features_available,raw_target_feature_source,growth_model_version"
