series,observations,average_exposure,median_exposure,min_exposure,max_exposure,pct_days_exactly_40
growth_champion_final_backtest_v3,2627,0.5380668725260932,0.6,0.2499999999999999,0.6,0.05367339170156071
growth_paper_current_history,10,0.4,0.4,0.4,0.4,1.0
