month,monthly_return,average_exposure,average_cash,average_turnover,observations
2026-06,-0.05920888720539641,0.5333333333333331,0.4666666666666667,0.13333333333333333,9
2026-07,-0.023942287630005055,0.42451915416734687,0.5754808458326531,0.11350780968556255,14
2026-08,0.004289601970889123,0.4709088026601212,0.5290911973398789,0.0,1
