date,ticker,selected,weight,expected_daily_return,expected_total_return,target_price,current_price,target_confidence,signal_strength,quality_score,regime,timing_model,target_model,model_mode,gate_decision,gate_reason,realized_return_5d,realized_return_10d,realized_return_20d,cash_weight,regime_confidence,ema_timing_score,trend_persistence_score,quant_target_price,black_litterman_return,covariance_method
2022-01-03,AAPL,False,0.0,-0.00020895900444279053,-0.004170894346485654,199.1228686447568,182.00999450683594,0.5,0.3670149464662823,0.5,neutral,ema,basic,baseline,not_applicable,mode_not_regime_gated,-0.05395303753531444,-0.06708418121851845,-0.04065707444547195,0.5,,,,,,ledoit_wolf/manual_diagonal_shrinkage
2022-01-03,MSFT,False,0.0,-0.00012194004080143924,-0.002435977700999903,358.1836838697068,334.75,0.5,0.2847704064997939,0.5,neutral,ema,basic,baseline,not_applicable,mode_not_regime_gated,-0.06118001788298166,-0.095892475290562,-0.07764000070014931,0.5,,,,,,ledoit_wolf/manual_diagonal_shrinkage
2022-01-03,NVDA,False,0.0,-8.942369711985815e-05,-0.0017869554037390767,32.80800522096129,30.121000289916992,0.5,0.05294250079658098,0.5,neutral,ema,basic,baseline,not_applicable,mode_not_regime_gated,-0.0903356676470527,-0.14003520372460143,-0.1820324607038757,0.5,,,,,,ledoit_wolf/manual_diagonal_shrinkage
2022-01-03,AMZN,False,0.0,-1.8976995131993847e-05,-0.00037947148642447637,181.53643319905294,170.4044952392578,0.5,0.052994338697195706,0.5,neutral,ema,basic,baseline,not_applicable,mode_not_regime_gated,-0.05233725081662366,-0.06741019065013709,-0.11273762765578976,0.5,,,,,,ledoit_wolf/manual_diagonal_shrinkage
2022-01-03,GOOGL,False,0.0,0.00014759750206529569,0.0029560928634759787,154.77677393511277,144.9915008544922,0.5,0.05300178203583468,0.5,neutral,ema,basic,baseline,not_applicable,mode_not_regime_gated,-0.04360259869252925,-0.06202777199254528,-0.05067540937784376,0.5,,,,,,ledoit_wolf/manual_diagonal_shrinkage
2022-01-03,META,False,0.0,-0.00015317557333757877,-0.003059057637465501,370.7461043324167,338.5400085449219,0.5,0.05297670577825827,0.5,neutral,ema,basic,baseline,not_applicable,mode_not_regime_gated,-0.030926924311558412,-0.06022926133923068,-0.05771846178212947,0.5,,,,,,ledoit_wolf/manual_diagonal_shrinkage
2022-01-03,TSLA,False,0.0,8.936104281247498e-06,0.00017873725869010926,459.7246602278908,399.9266662597656,0.5,0.18062779031812204,0.5,neutral,ema,basic,baseline,not_applicable,mode_not_regime_gated,-0.11807164964096739,-0.14108421519234526,-0.2238160575856306,0.5,,,,,,ledoit_wolf/manual_diagonal_shrinkage
2022-01-03,SPY,True,0.16368871983052427,0.0018059649602062766,0.036745752630666484,509.4301328971704,477.7099914550781,0.5,1.0,0.5,neutral,ema,basic,baseline,not_applicable,mode_not_regime_gated,-0.025538468752333676,-0.04442025831628138,-0.051830566014810286,0.5,,,,,,ledoit_wolf/manual_diagonal_shrinkage
2022-01-03,QQQ,False,0.0,4.8090987661896314e-05,0.0009622593012450498,429.5079010833317,401.67999267578125,0.5,0.5022687414086273,0.5,neutral,ema,basic,baseline,not_applicable,mode_not_regime_gated,-0.05369948147163284,-0.07749951566031643,-0.0900219187448954,0.5,,,,,,ledoit_wolf/manual_diagonal_shrinkage
2022-01-03,AVGO,False,0.0,-0.0002759794060952329,-0.0055051407762837234,73.90703507516476,66.33200073242188,0.5,0.47397669793128117,0.5,neutral,ema,basic,baseline,not_applicable,mode_not_regime_gated,-0.06355905983114396,-0.1289423100369117,-0.10643431971501227,0.5,,,,,,ledoit_wolf/manual_diagonal_shrinkage
2022-01-03,AMD,False,0.0,6.83944088270777e-05,0.0013687773224544397,165.4006105739726,150.24000549316406,0.5,0.05294547370260791,0.5,neutral,ema,basic,baseline,not_applicable,mode_not_regime_gated,-0.12140578292240534,-0.12187175284825136,-0.22271036668319089,0.5,,,,,,ledoit_wolf/manual_diagonal_shrinkage
2022-01-03,NFLX,False,0.0,-0.00012693764972216632,-0.0025356938231905213,63.52515577838267,59.73699951171875,0.5,0.05298495030162084,0.5,neutral,ema,basic,baseline,not_applicable,mode_not_regime_gated,-0.09628871467236655,-0.14491852204538325,-0.2347623478769958,0.5,,,,,,ledoit_wolf/manual_diagonal_shrinkage
2022-01-03,COST,False,0.0,-0.0002714114472112661,-0.005414255517319444,612.1212819791791,566.7100219726562,0.5,0.05300235436669831,0.5,neutral,ema,basic,baseline,not_applicable,mode_not_regime_gated,-0.08454065098922703,-0.13876587954929775,-0.10287451439028872,0.5,,,,,,ledoit_wolf/manual_diagonal_shrinkage
2022-01-03,ADBE,False,0.0,0.00012175392067421212,0.0024378970353817753,596.69465618441,564.3699951171875,0.5,0.0,0.5,neutral,ema,basic,baseline,not_applicable,mode_not_regime_gated,-0.0682884957754375,-0.09041935025465475,-0.05030390505176041,0.5,,,,,,ledoit_wolf/manual_diagonal_shrinkage
2022-01-03,PEP,True,0.12842978780475578,0.00024827935243650436,0.004977316615393468,184.44483494031343,172.97999572753906,0.5,0.31008410709522083,0.5,neutral,ema,basic,baseline,not_applicable,mode_not_regime_gated,0.006879422307771499,0.005665458495395903,-0.003699846256537631,0.5,,,,,,ledoit_wolf/manual_diagonal_shrinkage
2022-01-03,CSCO,True,0.13429181593589276,0.0008162036996747189,0.016451271830315806,68.97268080994459,63.15999984741211,0.5,0.6677398262797603,0.5,neutral,ema,basic,baseline,not_applicable,mode_not_regime_gated,-0.021215961935167615,-0.05430652807888381,-0.1233375702081565,0.5,,,,,,ledoit_wolf/manual_diagonal_shrinkage
2022-01-03,INTC,True,0.07358967642882717,0.0001290257712453542,0.002583680928376575,58.077708816098294,53.209999084472656,0.5,0.2857629417280253,0.5,neutral,ema,basic,baseline,not_applicable,mode_not_regime_gated,0.037586920398644086,0.029129848970677052,-0.080060108904913,0.5,,,,,,ledoit_wolf/manual_diagonal_shrinkage
2022-01-03,AMAT,False,0.0,-0.0001109315897695266,-0.002216295245529243,176.16309654158687,159.92999267578125,0.5,0.11512168619270957,0.5,neutral,ema,basic,baseline,not_applicable,mode_not_regime_gated,-0.06465326587522846,-0.04733316083354033,-0.13330827888331576,0.5,,,,,,ledoit_wolf/manual_diagonal_shrinkage
2022-01-03,QCOM,False,0.0,-0.00024345206766487716,-0.004857796692751104,203.71303663364574,186.2100067138672,0.5,0.09565980920386628,0.5,neutral,ema,basic,baseline,not_applicable,mode_not_regime_gated,-0.03506800817702582,-0.03947159571724701,-0.048762158335599715,0.5,,,,,,ledoit_wolf/manual_diagonal_shrinkage
2022-01-03,TXN,False,0.0,8.543557755894968e-05,0.0017100991175627023,201.71582676475785,190.60000610351562,0.5,0.05300251822823995,0.5,neutral,ema,basic,baseline,not_applicable,mode_not_regime_gated,-0.04008394094960899,-0.04365166347214133,-0.04884581594570625,0.5,,,,,,ledoit_wolf/manual_diagonal_shrinkage
2022-01-03,CCJ,False,0.0,-2.773154080697095e-05,-0.0005544847231605532,25.120542472901572,22.709999084472656,0.5,0.0529398086895676,0.5,neutral,ema,basic,baseline,not_applicable,mode_not_regime_gated,0.023778112606642754,-0.04975778099168693,-0.1087626337705706,0.5,,,,,,ledoit_wolf/manual_diagonal_shrinkage
2022-01-03,YPF,False,0.0,-0.00012360642062042118,-0.002469227640225613,4.455614799945783,4.039999961853027,0.5,0.24978310368097756,0.5,neutral,ema,basic,baseline,not_applicable,mode_not_regime_gated,-0.03217818743807899,0.03217824645257927,0.08168315020347028,0.5,,,,,,ledoit_wolf/manual_diagonal_shrinkage
2022-01-03,VIST,False,0.0,-2.587432488483803e-06,-5.174737777624561e-05,5.875947411191759,5.360000133514404,0.5,0.1749113230162574,0.5,neutral,ema,basic,baseline,not_applicable,mode_not_regime_gated,0.05410446914725764,0.14552233461601927,0.2089551973247301,0.5,,,,,,ledoit_wolf/manual_diagonal_shrinkage
2022-01-10,AAPL,False,0.0,-0.0002016919303028898,-0.004026118820861568,181.42154170511907,172.19000244140625,0.5,0.11289903196231761,0.5,neutral,ema,basic,baseline,not_applicable,mode_not_regime_gated,-0.013880012519668306,-0.07207156911640278,0.015331897045223641,0.5,,,,,,ledoit_wolf/manual_diagonal_shrinkage
2022-01-10,MSFT,False,0.0,-7.874307818689084e-05,-0.0015736840304012567,327.3353191231044,314.2699890136719,0.5,0.1128666666332399,0.5,neutral,ema,basic,baseline,not_applicable,mode_not_regime_gated,-0.03697456175709479,-0.0820313732794109,-0.030896973285781004,0.5,,,,,,ledoit_wolf/manual_diagonal_shrinkage
2022-01-10,NVDA,False,0.0,-5.8251061651224404e-05,-0.0011643767529230242,29.38663208186498,27.399999618530273,0.5,0.1127756465940895,0.5,neutral,ema,basic,baseline,not_applicable,mode_not_regime_gated,-0.05463502778986118,-0.18525548482819,-0.08364962951840627,0.5,,,,,,ledoit_wolf/manual_diagonal_shrinkage
2022-01-10,AMZN,False,0.0,-1.2975500201129249e-05,-0.00025947801742898235,169.35856474268556,161.48599243164062,0.5,0.1128957954060747,0.5,neutral,ema,basic,baseline,not_applicable,mode_not_regime_gated,-0.015905383900023717,-0.1331384826402282,-0.00044892133208784823,0.5,,,,,,ledoit_wolf/manual_diagonal_shrinkage
2022-01-10,GOOGL,False,0.0,0.00010974303859964478,0.002197150550986793,145.2539114831514,138.66949462890625,0.5,0.11288425897606928,0.5,neutral,ema,basic,baseline,not_applicable,mode_not_regime_gated,-0.01926518544992628,-0.0846220511707727,0.0052607637190955625,0.5,,,,,,ledoit_wolf/manual_diagonal_shrinkage
2022-01-10,META,False,0.0,-0.00012001761755452093,-0.0023976175174541536,350.7672924157736,328.07000732421875,0.5,0.11285135583816552,0.5,neutral,ema,basic,baseline,not_applicable,mode_not_regime_gated,-0.030237489579261756,-0.08510382785507764,-0.32886278001577274,0.5,,,,,,ledoit_wolf/manual_diagonal_shrinkage
2022-01-10,TSLA,True,0.08990054294547085,9.286090158298366e-06,0.00018573818805989184,393.8420261043184,352.7066650390625,0.5,0.2427226833503045,0.5,neutral,ema,basic,baseline,not_applicable,mode_not_regime_gated,-0.02609346387607281,-0.13204551644941653,-0.1286432212109686,0.5,,,,,,ledoit_wolf/manual_diagonal_shrinkage
2022-01-10,SPY,False,0.0,4.2296407729396445e-05,0.000846268148223972,488.9674201032011,465.510009765625,0.5,0.11305883076748098,0.5,neutral,ema,basic,baseline,not_applicable,mode_not_regime_gated,-0.01937663926022004,-0.06667957271326974,-0.03129902046908606,0.5,,,,,,ledoit_wolf/manual_diagonal_shrinkage
2022-01-10,QQQ,False,0.0,-0.0001755544838554673,-0.003505240158863665,397.9336793750882,380.1099853515625,0.5,0.11290686014594212,0.5,neutral,ema,basic,baseline,not_applicable,mode_not_regime_gated,-0.02515060884220588,-0.09207861237222859,-0.05522083355679652,0.5,,,,,,ledoit_wolf/manual_diagonal_shrinkage
2022-01-10,AVGO,False,0.0,6.099545948913431e-05,0.0012206163333072784,66.13026898940088,62.11600112915039,0.5,0.11284775073351647,0.5,neutral,ema,basic,baseline,not_applicable,mode_not_regime_gated,-0.0698210078192203,-0.14009272178055399,-0.03371114901079553,0.5,,,,,,ledoit_wolf/manual_diagonal_shrinkage
2022-01-10,AMD,False,0.0,-0.00013083361797450735,-0.0026134225983796,142.58164368690404,132.0,0.5,0.11278187331923194,0.5,neutral,ema,basic,baseline,not_applicable,mode_not_regime_gated,-0.0005303585168087155,-0.15810608141350024,-0.028560638427734375,0.5,,,,,,ledoit_wolf/manual_diagonal_shrinkage
2022-01-10,NFLX,False,0.0,-0.00010333597060863627,-0.0020646917882227722,56.25558587770482,53.98500061035156,0.5,0.11286369353374263,0.5,neutral,ema,basic,baseline,not_applicable,mode_not_regime_gated,-0.05381122064375499,-0.3212559437483906,-0.2525145839651709,0.5,,,,,,ledoit_wolf/manual_diagonal_shrinkage
2022-01-10,COST,False,0.0,0.00018479994062354358,0.003702494706214976,542.9312480978224,518.7999877929688,0.5,0.11284612761405029,0.5,neutral,ema,basic,baseline,not_applicable,mode_not_regime_gated,-0.05923280877372161,-0.07995370363289778,0.004529754580548495,0.5,,,,,,ledoit_wolf/manual_diagonal_shrinkage
2022-01-10,ADBE,False,0.0,9.782887168118136e-05,0.001958396894158998,555.1366823304118,525.8300170898438,0.5,0.0,0.5,neutral,ema,basic,baseline,not_applicable,mode_not_regime_gated,-0.023752904604989356,-0.04394959419973932,-0.027613523494930292,0.5,,,,,,ledoit_wolf/manual_diagonal_shrinkage
2022-01-10,PEP,True,0.14243536409928842,0.00016578200441303985,0.0033208671839688453,184.84702358382674,174.1699981689453,0.5,0.7637068511702247,0.5,neutral,ema,basic,baseline,not_applicable,mode_not_regime_gated,-0.0012056695027029551,-0.016248503535663872,-0.012344226440186734,0.5,,,,,,ledoit_wolf/manual_diagonal_shrinkage
2022-01-10,CSCO,True,0.1443436081498974,0.0006442289088682,0.012963739689555887,66.33004771639449,61.81999969482422,0.5,1.0,0.5,neutral,ema,basic,baseline,not_applicable,mode_not_regime_gated,-0.033807831816648704,-0.09236491608961817,-0.10482043957012277,0.5,,,,,,ledoit_wolf/manual_diagonal_shrinkage
2022-01-10,INTC,True,0.12332048480534333,0.0013991046868303888,0.028357158393073956,60.40247196011749,55.209999084472656,0.5,0.9694649999909104,0.5,neutral,ema,basic,baseline,not_applicable,mode_not_regime_gated,-0.008150711291462609,-0.07625428643878895,-0.11592098926481575,0.5,,,,,,ledoit_wolf/manual_diagonal_shrinkage
2022-01-10,AMAT,False,0.0,-8.658218851367967e-05,-0.0017302201796107752,160.52779453857846,149.58999633789062,0.5,0.22220854811247495,0.5,neutral,ema,basic,baseline,not_applicable,mode_not_regime_gated,0.018517309581344676,-0.11096992613885004,-0.07246471424068679,0.5,,,,,,ledoit_wolf/manual_diagonal_shrinkage
2022-01-10,QCOM,False,0.0,-0.00023882859414099347,-0.004765749968294597,193.06153106487957,179.67999267578125,0.5,0.11281385734330257,0.5,neutral,ema,basic,baseline,not_applicable,mode_not_regime_gated,-0.0045636247710078015,-0.07919632851508407,-0.006066320026278271,0.5,,,,,,ledoit_wolf/manual_diagonal_shrinkage
2022-01-10,TXN,False,0.0,6.0845132079384855e-05,0.0012176063031650308,191.35704799544922,182.9600067138672,0.5,0.11286521948489975,0.5,neutral,ema,basic,baseline,not_applicable,mode_not_regime_gated,-0.0037167026104988343,-0.04919107821238322,-0.05646043644505261,0.5,,,,,,ledoit_wolf/manual_diagonal_shrinkage
2022-01-10,CCJ,False,0.0,-3.345595551126877e-05,-0.0006689064857274829,25.73213017673784,23.25,0.5,0.11277790963778184,0.5,neutral,ema,basic,baseline,not_applicable,mode_not_regime_gated,-0.07182796027070737,-0.13935482886529738,-0.14666666010374663,0.5,,,,,,ledoit_wolf/manual_diagonal_shrinkage
