date,signal_date,economic_application_date,gross_return_on_signal_date,trade_actions_on_signal_date,market_return_zero_required,no_market_return_on_signal_date,weekend_return_created,weekend_gap_between_signal_and_application,returns_begin_on_application_date,lag_rule_pass
2026-07-10,2026-07-10,2026-07-13,0.0,3,True,True,False,True,check_subsequent_rows,True
2026-07-13,2026-07-13,2026-07-14,-0.0115418642847409,0,False,True,False,False,check_subsequent_rows,True
