source_file,data_key,namespace,loaded,row_count,date_range,official_only
growth_official_paper_actions.csv,official_actions,official_forward_paper,True,8,2026-07-10 to 2026-07-13,True
growth_official_paper_trades.csv,official_trades,official_forward_paper,True,3,2026-07-10 to 2026-07-10,True
growth_official_paper_rebalance_report.csv,official_rebalance_report,official_forward_paper,True,2,2026-07-10 to 2026-07-13,True
growth_official_estimated_cost_ledger.csv,official_cost_ledger,official_forward_paper,True,3,2026-07-10 to 2026-07-10,True
growth_official_paper_performance.csv,official_performance,official_forward_paper,True,2,2026-07-10 to 2026-07-13,True
growth_official_trade_lifecycle.csv,official_trade_lifecycle,official_forward_paper,True,8,2026-07-10 to 2026-07-13,True
growth_official_position_pnl.csv,official_position_pnl,official_forward_paper,True,6,2026-07-10 to 2026-07-13,True
growth_operational_capacity_report.csv,operational_capacity,official_forward_paper,True,28,,True
official_forward_accounting_audit.csv,official_accounting_audit,official_forward_paper,True,1,2026-07-13 to 2026-07-13,True
official_cost_duplication_audit.csv,official_cost_duplication_audit,official_forward_paper,True,1,2026-07-10 to 2026-07-10,True
