variant,hmm_regime_label,observations,total_return,net_CAGR,volatility,Sharpe,Sortino,Calmar,max_drawdown,turnover,average_exposure,cost_drag,alpha_vs_SPY,alpha_vs_QQQ,information_ratio_vs_SPY,information_ratio_vs_QQQ
canonical,neutral,354,4.537907434088893,0.28696576514409755,0.2023443297549307,1.3495397311627826,2.1698483951722696,1.1587878516443177,-0.2476430562651254,0.11389479909660644,0.5193289047291642,0.0,,,,
canonical,risk_off,25,-0.058469313916857946,-0.11816197824858987,0.14019258072926302,-0.8242616208352694,-0.8247660712919012,-0.7196378745999742,-0.1641964415981756,0.15999999999999998,0.288,0.0,,,,
canonical,risk_on,317,1.6953756792890924,0.17728183109663576,0.15230838325229057,1.1487515876502532,1.968288936438604,0.8330008938286729,-0.21282309828241086,0.09631184127813901,0.5962145110410094,0.0,,,,
hmm_diagnostic_only,neutral,354,4.537907434088893,0.28696576514409755,0.2023443297549307,1.3495397311627826,2.1698483951722696,1.1587878516443177,-0.2476430562651254,0.11389479909660644,0.5193289047291642,0.0,,,,
hmm_diagnostic_only,risk_off,25,-0.058469313916857946,-0.11816197824858987,0.14019258072926302,-0.8242616208352694,-0.8247660712919012,-0.7196378745999742,-0.1641964415981756,0.15999999999999998,0.288,0.0,,,,
hmm_diagnostic_only,risk_on,317,1.6953756792890924,0.17728183109663576,0.15230838325229057,1.1487515876502532,1.968288936438604,0.8330008938286729,-0.21282309828241086,0.09631184127813901,0.5962145110410094,0.0,,,,
hmm_exposure_overlay,neutral,354,2.7512129412643525,0.21515378012727404,0.155171604538165,1.3349358808016019,2.1852612309438753,1.0042045737535925,-0.21425293784816757,0.1260416917519737,0.4087570621468927,0.0,,,,
hmm_exposure_overlay,risk_off,25,-0.024070201117338708,-0.04958110309408226,0.10760697226382823,-0.4178215233397762,-0.44941146706541074,-0.4057799868196383,-0.12218715733785102,0.16399999999999998,0.25,0.0,,,,
hmm_exposure_overlay,risk_on,317,1.6953756792890924,0.17728183109663576,0.15230838325229057,1.1487515876502532,1.968288936438604,0.8330008938286729,-0.21282309828241086,0.10640647850211375,0.5962145110410094,0.0,,,,
hmm_ranking_adjustment_proxy,neutral,354,4.273002866314465,0.27770104922461636,0.20132207102362842,1.3193033270478163,2.1266322728993967,1.079799113076858,-0.25717843797196205,0.12695613705335185,0.5134377596596562,0.0,,,,
hmm_ranking_adjustment_proxy,risk_off,25,-0.06521708720519481,-0.13130127667274294,0.14743199352067551,-0.8781122996259407,-0.8761654937835925,-0.7535956023508124,-0.17423307177371217,0.17865000000000003,0.28940000000000005,0.0,,,,
hmm_ranking_adjustment_proxy,risk_on,317,1.3804697759342077,0.15345091156823032,0.14097948243017294,1.0840110587625345,1.7997821959851605,0.7652218005835292,-0.20053128576736112,0.10111133356106351,0.5502208201892744,0.0,,,,
