date,ticker,action,old_weight,new_weight,weight_change,old_position_value,new_position_value,estimated_trade_value,execution_price,reason,raw_target_rank,raw_target_return_exact,quality_filter_pass,tradability_filter_pass,holding_quality_classification,growth_model_version
2026-06-17,ARM,BUY,0.0,0.3,0.3,0.0,30000.0,30000.0,430.3450012207031,new_growth_selection,1.0,,True,True,speculative_but_tradable,growth_champion_final_v1_0_frozen
2026-06-17,KEEL,BUY,0.0,0.3,0.3,0.0,30000.0,30000.0,6.090099811553955,new_growth_selection,2.0,,True,True,speculative_but_tradable,growth_champion_final_v1_0_frozen
2026-06-17,CASH,CASH_CHANGE,1.0,0.4,-0.6,100000.0,40000.0,60000.0,1.0,cash_rebalance,,,,,,growth_champion_final_v1_0_frozen
2026-06-18,ARM,HOLD,0.3,0.3,0.0,30000.0,30486.04002044036,0.0,439.4599914550781,still_selected_same_weight,,,,,,growth_champion_final_v1_0_frozen
2026-06-18,KEEL,HOLD,0.3,0.3,0.0,30000.0,30486.04002044036,0.0,6.289999961853027,still_selected_same_weight,,,,,,growth_champion_final_v1_0_frozen
2026-06-18,CASH,HOLD,0.4,0.4,0.0,40648.05336058715,40648.05336058715,0.0,1.0,cash_unchanged,,,,,,growth_champion_final_v1_0_frozen
2026-06-22,ARM,HOLD,0.3,0.3,0.0,30486.04002044036,30363.472685873458,0.0,407.7200012207031,still_selected_same_weight,,,,,,growth_champion_final_v1_0_frozen
2026-06-22,KEEL,HOLD,0.3,0.3,0.0,30486.04002044036,30363.472685873458,0.0,6.659999847412109,still_selected_same_weight,,,,,,growth_champion_final_v1_0_frozen
2026-06-22,CASH,HOLD,0.4,0.4,0.0,40484.63024783129,40484.63024783129,0.0,1.0,cash_unchanged,,,,,,growth_champion_final_v1_0_frozen
2026-06-23,ARM,HOLD,0.3,0.3,0.0,30363.472685873458,29358.038935064305,0.0,366.3900146484375,still_selected_same_weight,,,,,,growth_champion_final_v1_0_frozen
2026-06-23,KEEL,HOLD,0.3,0.3,0.0,30363.472685873458,29358.038935064305,0.0,6.599999904632568,still_selected_same_weight,,,,,,growth_champion_final_v1_0_frozen
2026-06-23,CASH,HOLD,0.4,0.4,0.0,39144.05191341908,39144.05191341908,0.0,1.0,cash_unchanged,,,,,,growth_champion_final_v1_0_frozen
2026-06-24,ARM,HOLD,0.3,0.3,0.0,29358.038935064305,28541.77885021597,0.0,359.0799865722656,still_selected_same_weight,,,,,,growth_champion_final_v1_0_frozen
2026-06-24,KEEL,HOLD,0.3,0.3,0.0,29358.038935064305,28541.77885021597,0.0,6.119999885559082,still_selected_same_weight,,,,,,growth_champion_final_v1_0_frozen
2026-06-24,CASH,HOLD,0.4,0.4,0.0,38055.7051336213,38055.7051336213,0.0,1.0,cash_unchanged,,,,,,growth_champion_final_v1_0_frozen
2026-06-25,AMAT,BUY,0.0,0.1124999999999999,0.1124999999999999,0.0,10442.902795592843,10442.902795592843,651.6599731445312,new_growth_selection,2.0,0.1464163007272041,True,True,institutional_quality,growth_champion_final_v1_0_frozen
2026-06-25,ARM,REDUCE,0.3,0.1124999999999999,-0.1875,28541.77885021597,10442.902795592843,17404.83799265476,347.8699951171875,target_weight_reduced,12.0,0.070963808833482,True,True,speculative_but_tradable,growth_champion_final_v1_0_frozen
2026-06-25,KEEL,REDUCE,0.3,0.1124999999999999,-0.1875,28541.77885021597,10442.902795592843,17404.83799265476,5.815000057220459,target_weight_reduced,3.0,0.108881631675447,True,True,speculative_but_tradable,growth_champion_final_v1_0_frozen
2026-06-25,MU,BUY,0.0,0.1124999999999999,0.1124999999999999,0.0,10442.902795592843,10442.902795592843,1215.800048828125,new_growth_selection,1.0,0.2019320832124702,True,True,speculative_but_tradable,growth_champion_final_v1_0_frozen
2026-06-25,CASH,CASH_CHANGE,0.4,0.55,0.15,37130.321050996805,51054.19144512061,13923.870394123804,1.0,cash_rebalance,,,,,,growth_champion_final_v1_0_frozen
2026-06-26,AMAT,HOLD,0.1124999999999999,0.1124999999999999,0.0,10442.902795592849,10354.444508877805,0.0,647.3300170898438,still_selected_same_weight,,,,,,growth_champion_final_v1_0_frozen
2026-06-26,ARM,HOLD,0.1124999999999999,0.1124999999999999,0.0,10442.902795592849,10354.444508877805,0.0,334.2950134277344,still_selected_same_weight,,,,,,growth_champion_final_v1_0_frozen
2026-06-26,KEEL,HOLD,0.1124999999999999,0.1124999999999999,0.0,10442.902795592849,10354.444508877805,0.0,5.952600002288818,still_selected_same_weight,,,,,,growth_champion_final_v1_0_frozen
2026-06-26,MU,HOLD,0.1124999999999999,0.1124999999999999,0.0,10442.902795592849,10354.444508877805,0.0,1151.010009765625,still_selected_same_weight,,,,,,growth_champion_final_v1_0_frozen
2026-06-26,CASH,HOLD,0.55,0.55,0.0,50621.7287100693,50621.7287100693,0.0,1.0,cash_unchanged,,,,,,growth_champion_final_v1_0_frozen
2026-06-29,AMAT,HOLD,0.1124999999999999,0.1124999999999999,0.0,10354.444508877805,10715.31963511745,0.0,617.1099853515625,still_selected_same_weight,,,,,,growth_champion_final_v1_0_frozen
2026-06-29,ARM,HOLD,0.1124999999999999,0.1124999999999999,0.0,10354.444508877805,10715.31963511745,0.0,439.4599914550781,still_selected_same_weight,,,,,,growth_champion_final_v1_0_frozen
2026-06-29,KEEL,HOLD,0.1124999999999999,0.1124999999999999,0.0,10354.444508877805,10715.31963511745,0.0,6.289999961853027,still_selected_same_weight,,,,,,growth_champion_final_v1_0_frozen
2026-06-29,MU,HOLD,0.1124999999999999,0.1124999999999999,0.0,10354.444508877805,10715.31963511745,0.0,1133.989990234375,still_selected_same_weight,,,,,,growth_champion_final_v1_0_frozen
2026-06-29,CASH,HOLD,0.55,0.55,0.0,52386.00710501869,52386.00710501869,0.0,1.0,cash_unchanged,,,,,,growth_champion_final_v1_0_frozen
2026-06-30,AMAT,HOLD,0.1124999999999999,0.1124999999999999,0.0,10715.31963511745,10583.900018939274,0.0,723.0,still_selected_same_weight,,,,,,growth_champion_final_v1_0_frozen
