date,selected_tickers,volatility_source,volatility_source_date,estimated_portfolio_vol,target_vol,uncapped_exposure,min_exposure,exposure_cap_60,dual_trend_cap,final_exposure,is_fresh,sample_size,missing_tickers,used_stale_fallback,used_current_snapshot_prices
2026-06-17,"ARM,KEEL",fresh_selected_holdings_ohlcv,2026-06-17,0.9066394391481424,0.22,0.2426543458187821,0.4,0.6,0.6,0.6,True,60,,False,
2026-06-18,"ARM,INTC,KEEL",fresh_selected_holdings_ohlcv,2026-06-18,0.7791847623427642,0.22,0.2823463838519236,0.4,0.6,0.6,0.4499999999999999,True,60,,False,
2026-06-22,"KEEL,MU,ARM",fresh_selected_holdings_ohlcv,2026-06-22,0.8199328234399169,0.22,0.268314663970909,0.4,0.6,0.6,0.4499999999999999,True,60,,False,"KEEL,MU,ARM"
2026-06-23,"KEEL,INTC,ARM",fresh_selected_holdings_ohlcv,2026-06-23,0.780642452267065,0.22,0.2818191597972896,0.4,0.6,0.6,0.4499999999999999,True,60,,False,"KEEL,INTC,ARM"
2026-06-24,"KEEL,SMCI,ARM",fresh_selected_holdings_ohlcv,2026-06-24,0.8697091495663807,0.22,0.2529581298640902,0.4,0.6,0.6,0.4499999999999999,True,60,,False,"KEEL,SMCI,ARM"
2026-06-25,"MU,AMAT,KEEL,ARM",fresh_selected_holdings_ohlcv,2026-06-25,0.7383152828275449,0.22,0.2979756820926967,0.4,0.6,0.6,0.4499999999999999,True,60,,False,"MU,AMAT,KEEL,ARM"
2026-06-26,"MU,AMAT,KEEL,ARM",fresh_selected_holdings_ohlcv,2026-06-26,0.7449838444786042,0.22,0.2953084172636959,0.4,0.6,0.6,0.4,True,60,,False,"MU,AMAT,KEEL,ARM"
2026-06-29,"MU,AMAT,KEEL,ARM",fresh_selected_holdings_ohlcv,2026-06-29,0.730242622911814,0.22,0.3012697329591069,0.4,0.6,0.6,0.4,True,60,,False,"MU,AMAT,KEEL,ARM"
2026-06-30,"AMBA,AMAT,KEEL,ARM",fresh_selected_holdings_ohlcv,2026-06-30,0.6418232881399175,0.22,0.3427734768515286,0.4,0.6,0.6,0.4,True,60,,False,"AMAT,KEEL,ARM"
2026-07-01,"AMBA,RBLX,KEEL,ARM",fresh_selected_holdings_ohlcv,2026-07-01,0.6044726522190617,0.22,0.3639536035126891,0.4,0.6,0.6,0.4,True,60,,False,"AMBA,RBLX,KEEL,ARM"
2026-07-02,"AMBA,SE,KEEL,ARM",fresh_selected_holdings_ohlcv,2026-07-02,0.6578955932449059,0.22,0.3343995647012999,0.4,0.6,0.6,0.4,True,60,,False,"AMBA,SE,KEEL,ARM"
2026-07-06,"AMBA,RBLX,KEEL,ARM",fresh_selected_holdings_ohlcv,2026-07-06,0.643217529536295,0.22,0.3420304794221035,0.4,0.6,0.6,0.4,True,60,,False,"AMBA,RBLX,KEEL,ARM"
2026-07-08,"NET,BABA,KEEL,ARM",fresh_selected_holdings_ohlcv,2026-07-08,0.6370545662092745,0.22,0.3453393346021937,0.4,0.6,0.6,0.4,True,60,,False,"NET,BABA,KEEL,ARM"
2026-07-09,"BABA,NET,KEEL,ARM",fresh_selected_holdings_ohlcv,2026-07-09,0.6186498976428932,0.22,0.3556130872052481,0.4,0.6,0.6,0.4,True,60,,False,"BABA,NET,KEEL,ARM"
2026-07-10,"BABA,SE,ARM",fresh_selected_holdings_ohlcv,2026-07-10,0.5056996262271668,0.22,0.4350408594155716,0.4,0.6,0.6,0.4350408594155716,True,60,,False,
2026-07-13,"TEAM,BABA,ARM,SE",fresh_selected_holdings_ohlcv,2026-07-13,0.4600281826589888,0.22,0.4782315699190158,0.4,0.6,0.6,0.4782315699190158,True,60,,False,
2026-07-14,"NET,ADBE,ARM,BABA",fresh_selected_holdings_ohlcv,2026-07-14,0.4891194473736763,0.22,0.4497878814291449,0.4,0.6,0.6,0.4497878814291449,True,60,,False,"NET,ADBE"
2026-07-15,"BABA,YPF,ARM,SE",fresh_selected_holdings_ohlcv,2026-07-15,0.3917224736213396,0.22,0.5616221044612928,0.4,0.6,0.6,0.5616221044612928,True,60,,False,YPF
2026-07-17,"OKLO,TEAM,ARM,BABA",fresh_selected_holdings_ohlcv,2026-07-17,0.5448749447018323,0.22,0.4037623717867756,0.4,0.6,0.6,0.4037623717867756,True,60,,False,
2026-07-20,"TEAM,BABA,OKLO,ARM",fresh_selected_holdings_ohlcv,2026-07-20,0.5222669428536117,0.22,0.421240522706536,0.4,0.6,0.6,0.421240522706536,True,60,,False,
2026-07-23,"MU,VIST,OKLO,TEAM",fresh_selected_holdings_ohlcv,2026-07-23,0.4247092716180351,0.22,0.5180014063781926,0.4,0.6,0.6,0.5180014063781926,True,60,,False,VIST
2026-07-24,"VIST,OKLO,TEAM,ARM",fresh_selected_holdings_ohlcv,2026-07-24,0.4671817531488897,0.22,0.4709088026601212,0.4,0.6,0.6,0.4709088026601212,True,60,,False,
2026-07-27,"TEAM,SAP,OKLO,VIST",fresh_selected_holdings_ohlcv,2026-07-27,0.3426460559750425,0.22,0.6420619650033977,0.4,0.6,0.6,0.6,True,60,,False,SAP
2026-08-13,"TEAM,TWLO,OKLO,VIST",fresh_selected_holdings_ohlcv,2026-08-13,0.5054468713012599,0.22,0.43525840694911355,0.4,0.6,0.6,0.43525840694911355,True,60,,False,
