regime,ticker,observations,avg_realized_return_20d,hit_rate,avg_expected_total_return,avg_signal_strength,rank_in_regime,consistent_failure
neutral,NVDA,66,0.10018482680615289,0.7575757575757576,0.052764110348365596,0.7803270485706539,1.0,False
neutral,INTC,54,0.06470677668031935,0.5185185185185185,0.0669876901371308,0.6839574747940387,2.0,False
neutral,META,42,0.046739298117764394,0.7619047619047619,0.031400812853582726,0.696155939880891,3.0,False
neutral,CCJ,74,0.045052886762204175,0.5945945945945946,0.056887923186444166,0.8049724778518434,4.0,False
neutral,AMD,58,0.041120784877754446,0.5172413793103449,0.058481802776389535,0.7534596429581943,5.0,False
neutral,NFLX,70,0.03985639847654159,0.6857142857142857,0.02660871352643053,0.6285239913779175,6.0,False
neutral,GOOGL,66,0.03512060244450017,0.696969696969697,0.04347876663030955,0.8593895408529999,7.0,False
neutral,QQQ,42,0.03406648626197918,0.9047619047619048,0.01745064204104799,0.6851077364439963,8.0,False
neutral,AMAT,62,0.032879166329858524,0.6129032258064516,0.03585584067722621,0.7162763651703588,9.0,False
neutral,AVGO,66,0.03052195428457513,0.6666666666666666,0.037333241240877765,0.6532415952948253,10.0,False
neutral,VIST,90,0.028824625431111292,0.6444444444444445,0.04148829565589659,0.706672566193832,11.0,False
neutral,AMZN,32,0.020367803499422587,0.625,0.01904351878971702,0.6177269076501752,12.0,False
neutral,YPF,72,0.011199831435240023,0.5555555555555556,0.08851405835819354,0.797993035589685,13.0,False
neutral,MSFT,44,0.005548485850413672,0.5,0.022631988602566436,0.798341252961915,14.0,False
neutral,CSCO,86,0.004984758858826292,0.5581395348837209,0.013257611973889211,0.6231936548298347,15.0,False
neutral,SPY,30,0.004978567386430226,0.6,0.01789745246600515,0.7884427618929096,16.0,False
neutral,TXN,52,0.004659199427252679,0.46153846153846156,0.0278907721571062,0.7031081606131532,17.0,False
neutral,COST,82,0.0005587183198014809,0.6829268292682927,0.020301650545816632,0.7228318165154571,18.0,False
neutral,AAPL,38,-0.0023099602547477357,0.5263157894736842,0.02801232075623794,0.8688527979815251,19.0,False
neutral,QCOM,40,-0.007347690469119953,0.45,0.027259558846204634,0.6959763073321048,20.0,False
neutral,TSLA,56,-0.01814379290760375,0.35714285714285715,0.045306645275717115,0.6772620776538754,21.0,True
neutral,ADBE,56,-0.018205797799956926,0.39285714285714285,0.02406234009222378,0.635105986702223,22.0,True
neutral,PEP,62,-0.020227519298303426,0.2903225806451613,0.017607433382430905,0.7004249812735439,23.0,True
risk_off,AMAT,2,0.2318417473993577,1.0,0.0021292842133036,0.2842387583308406,1.0,False
risk_off,TSLA,2,0.1908755283412382,1.0,0.0006439441817025,0.4892643949065198,2.0,False
risk_off,NFLX,44,0.13000248717170435,0.9090909090909091,0.006970900458142559,0.46740787177904136,3.0,False
risk_off,GOOGL,6,0.1295499507492863,1.0,0.0028065072315039997,0.29017947935650185,4.0,False
risk_off,QQQ,2,0.0776197580524855,1.0,0.0007906853813204,0.1911544834526466,5.0,False
risk_off,VIST,56,0.07439876741766431,0.6785714285714286,0.01823091227688204,0.6497416942885552,6.0,False
risk_off,META,4,0.05585256466362756,0.5,0.0261330272921178,0.8563444943360579,7.0,False
risk_off,AVGO,4,0.05201725588961085,1.0,0.011601092452130299,0.9494629146210412,8.0,False
risk_off,YPF,26,0.030215313504510715,0.5384615384615384,0.06336277841873539,0.9415421313545015,9.0,False
risk_off,COST,58,0.0296677665181333,0.6896551724137931,0.005564978407560514,0.6256397532431589,10.0,False
risk_off,NVDA,6,0.02712038992093163,0.6666666666666666,0.0020347622583046666,0.5047309212305539,11.0,False
risk_off,CCJ,32,0.026227817144125695,0.625,0.013846591376600263,0.6918335057219878,12.0,False
risk_off,ADBE,14,0.0037655548915827286,0.5714285714285714,0.0025594592289540858,0.3635530501304737,13.0,False
risk_off,CSCO,8,0.002557810887510524,0.5,0.00307416595333605,0.428489470909339,14.0,False
risk_off,AMD,14,-0.01628261189690413,0.42857142857142855,0.002397131876916986,0.6604473470438602,15.0,True
risk_off,PEP,26,-0.017645358841843223,0.5384615384615384,0.004559256161180762,0.5172332159804001,16.0,False
risk_off,AMZN,8,-0.0663620051651707,0.5,0.00178774276681325,0.24163435738701422,17.0,False
risk_off,INTC,2,-0.1611814970127058,0.0,0.0157292219521696,1.0,18.0,False
risk_on,YPF,2,0.5835140952956448,1.0,0.3083805120389545,1.0,1.0,False
risk_on,CCJ,1,0.0796302439859071,1.0,0.0030242842141146,0.415411479775743,2.0,False
risk_on,ADBE,2,0.0748212535663312,1.0,0.24753896154024055,1.0,3.0,False
risk_on,AMAT,1,0.055619082398334,1.0,0.0052056481714057,0.2887604884323918,4.0,False
risk_on,NVDA,6,0.04665228835933636,0.6666666666666666,0.18389711589551175,0.8968325991367757,5.0,False
risk_on,AVGO,2,0.0406861507382656,1.0,0.12885854213587175,0.8768431098998223,6.0,False
risk_on,CSCO,1,0.034701504912348,1.0,0.0075230637058181,0.6017917129941264,7.0,False
risk_on,TSLA,4,0.025321048255137008,0.5,0.21290672958341111,0.9195413573926167,8.0,False
risk_on,META,2,-0.0347040709004167,0.0,0.25239949565865605,0.9765225058591639,9.0,False
