date,ticker,selected,weight,expected_daily_return,expected_total_return,target_price,current_price,target_confidence,signal_strength,quality_score,regime,timing_model,target_model,model_mode,gate_decision,gate_reason,cash_weight,regime_confidence,ema_timing_score,trend_persistence_score,quant_target_price,black_litterman_return,covariance_method,realized_return_1d,realized_return_5d,realized_return_10d,realized_return_20d,realized_return_30d,final_expected_daily_return,constant_penalty_proxy,signal_strength_adjusted_proxy,raw_daily_return_proxy,scaling_final_proxy,ablation_variant,ablation_score,ablation_weight,variant
2022-01-03,SPY,True,0.1636887198305242,0.0018059649602062,0.0367457526306664,509.4301328971704,477.7099914550781,0.5,1.0,0.5,neutral,ema,basic,baseline,not_applicable,mode_not_regime_gated,0.5,,,,,,ledoit_wolf/manual_diagonal_shrinkage,-0.0003349389063896,-0.0255384687523336,-0.0444202583162813,-0.0518305660148102,-0.0661698225219871,0.0018059649602062,0.002072615793488,0.002072615793488,0.003219615793488,0.0018059649602062,baseline_current,0.0018059649602062,0.24999999999999983,baseline_current
2022-01-03,SPY,True,0.1636887198305242,0.0018059649602062,0.0367457526306664,509.4301328971704,477.7099914550781,0.5,1.0,0.5,neutral,ema,basic,regime_gated_full_quant,fallback_baseline,insufficient_full_quant_edge,0.5,,,,,,ledoit_wolf/manual_diagonal_shrinkage,-0.0003349389063896,-0.0255384687523336,-0.0444202583162813,-0.0518305660148102,-0.0661698225219871,0.0018059649602062,0.002072615793488,0.002072615793488,0.003219615793488,0.0018059649602062,baseline_current,0.0018059649602062,0.24999999999999983,baseline_current
2022-01-03,CSCO,True,0.1342918159358927,0.0008162036996747,0.0164512718303158,68.97268080994459,63.15999984741211,0.5,0.6677398262797603,0.5,neutral,ema,basic,baseline,not_applicable,mode_not_regime_gated,0.5,,,,,,ledoit_wolf/manual_diagonal_shrinkage,-0.0302406563018756,-0.0212159619351676,-0.0543065280788838,-0.1233375702081565,-0.14075363222175,0.0008162036996747,0.0032646683286212,0.00136704212813,0.0044116683286212,0.0008162036996747,baseline_current,0.0008162036996747,0.24999999999999983,baseline_current
2022-01-03,CSCO,True,0.1342918159358927,0.0008162036996747,0.0164512718303158,68.97268080994459,63.15999984741211,0.5,0.6677398262797603,0.5,neutral,ema,basic,regime_gated_full_quant,fallback_baseline,insufficient_full_quant_edge,0.5,,,,,,ledoit_wolf/manual_diagonal_shrinkage,-0.0302406563018756,-0.0212159619351676,-0.0543065280788838,-0.1233375702081565,-0.14075363222175,0.0008162036996747,0.0032646683286212,0.00136704212813,0.0044116683286212,0.0008162036996747,baseline_current,0.0008162036996747,0.24999999999999983,baseline_current
2022-01-10,INTC,True,0.1233204848053433,0.0013991046868303,0.0283571583930739,60.40247196011749,55.209999084472656,0.5,0.9694649999909104,0.5,neutral,ema,basic,regime_gated_full_quant,fallback_baseline,weak_market_breadth,0.5,,,,,,ledoit_wolf/manual_diagonal_shrinkage,0.0126788765540175,-0.0081507112914626,-0.0762542864387889,-0.1159209892648157,-0.1912696564699574,0.0013991046868303,0.0033574120461579,0.0031363128267378,0.0045044120461579,0.0013991046868303,baseline_current,0.0013991046868303,0.24999999999999994,baseline_current
2022-01-10,INTC,True,0.1233204848053433,0.0013991046868303,0.0283571583930739,60.40247196011749,55.209999084472656,0.5,0.9694649999909104,0.5,neutral,ema,basic,baseline,not_applicable,mode_not_regime_gated,0.5,,,,,,ledoit_wolf/manual_diagonal_shrinkage,0.0126788765540175,-0.0081507112914626,-0.0762542864387889,-0.1159209892648157,-0.1912696564699574,0.0013991046868303,0.0033574120461579,0.0031363128267378,0.0045044120461579,0.0013991046868303,baseline_current,0.0013991046868303,0.24999999999999994,baseline_current
2022-01-10,CSCO,True,0.1443436081498974,0.0006442289088682,0.0129637396895558,66.33004771639449,61.81999969482422,0.5,1.0,0.5,neutral,ema,basic,baseline,not_applicable,mode_not_regime_gated,0.5,,,,,,ledoit_wolf/manual_diagonal_shrinkage,0.0088967848556393,-0.0338078318166487,-0.0923649160896181,-0.1048204395701227,-0.1193788596659134,0.0006442289088682,0.0023800088666929,0.0023800088666929,0.0035270088666929,0.0006442289088682,baseline_current,0.0006442289088682,0.24999999999999994,baseline_current
2022-01-10,CSCO,True,0.1443436081498974,0.0006442289088682,0.0129637396895558,66.33004771639449,61.81999969482422,0.5,1.0,0.5,neutral,ema,basic,regime_gated_full_quant,fallback_baseline,weak_market_breadth,0.5,,,,,,ledoit_wolf/manual_diagonal_shrinkage,0.0088967848556393,-0.0338078318166487,-0.0923649160896181,-0.1048204395701227,-0.1193788596659134,0.0006442289088682,0.0023800088666929,0.0023800088666929,0.0035270088666929,0.0006442289088682,baseline_current,0.0006442289088682,0.24999999999999994,baseline_current
2022-01-18,VIST,True,0.254738349319183,0.0024645235110761,0.0504617517474774,6.904081754715925,6.139999866485596,0.5,1.0,0.5,neutral,ema,basic,regime_gated_full_quant,fallback_baseline,weak_market_breadth,0.5,,,,,,ledoit_wolf/manual_diagonal_shrinkage,0.0065146519092551,-0.0602605689909993,0.0553746188894461,0.1221498397897007,0.4250814642131764,0.0024645235110761,0.0047346330260955,0.0047346330260955,0.0058816330260955,0.0024645235110761,baseline_current,0.0024645235110761,0.24999999999999994,baseline_current
2022-01-18,VIST,True,0.254738349319183,0.0024645235110761,0.0504617517474774,6.904081754715925,6.139999866485596,0.5,1.0,0.5,neutral,ema,basic,baseline,not_applicable,mode_not_regime_gated,0.5,,,,,,ledoit_wolf/manual_diagonal_shrinkage,0.0065146519092551,-0.0602605689909993,0.0553746188894461,0.1221498397897007,0.4250814642131764,0.0024645235110761,0.0047346330260955,0.0047346330260955,0.0058816330260955,0.0024645235110761,baseline_current,0.0024645235110761,0.24999999999999994,baseline_current
