source_file,data_key,loaded,row_count,date_range,checksum,namespace
growth_system_integrity_report.txt,growth_system_integrity_report,True,1,,dc32126142dd4a20,governance_control_center
growth_pipeline_integrity_report.csv,growth_pipeline_integrity_report,True,13,,61f05c23a3f2166a,governance_control_center
growth_pipeline_stage_validation.csv,growth_pipeline_stage_validation,True,15,,3c8fe555a3ae8eba,governance_control_center
official_paper_integrity_status.csv,official_integrity,True,1,2026-07-13 to 2026-07-13,5fa57c762babf9a9,governance_control_center
official_paper_daily_run_status.csv,official_daily_status,True,2,2026-07-10 to 2026-07-13,19a4e6f33baa677c,governance_control_center
official_market_data_governance.csv,official_market_data_governance,True,1,,694aee72a8929a0a,governance_control_center
market_data_governance.csv,market_data_governance,True,1,,fb35fb74e547478d,governance_control_center
official_forward_accounting_audit.csv,official_accounting_audit,True,1,2026-07-13 to 2026-07-13,c0cbb5b87dadf0d8,governance_control_center
official_accounting_reconciliation.csv,official_accounting_reconciliation,False,0,,5a13d69c47891fb6,governance_control_center
growth_rebalance_parity_governance.csv,growth_rebalance_parity_governance,True,1,,2e242ae907605301,governance_control_center
growth_canonical_governance.csv,growth_canonical_governance,True,1,,0d431fe4c490818e,governance_control_center
anti_overfitting_governance.csv,anti_overfitting_governance,True,1,,cbe10ed5cab5b02e,governance_control_center
out_of_sample_governance.csv,out_of_sample_governance,True,1,,d8f9f9b596682219,governance_control_center
parameter_governance.csv,parameter_governance,True,1,,163a61a7e0573d05,governance_control_center
alpha_decay_governance.csv,alpha_decay_governance,True,1,,4bfc5b1a91d68b43,governance_control_center
model_lifecycle_status.csv,model_lifecycle_status,False,0,,2135dfbd94a9f8b5,governance_control_center
frozen_champion_registry.csv,frozen_champion_registry,True,2,,635a3892b8af193b,governance_control_center
governed_experiment_registry.csv,governed_experiment_registry,True,3,,c09980752e09ea4e,governance_control_center
growth_paper_governance_history.csv,growth_paper_governance_history,True,7,2026-07-10 to 2026-07-13,befb0ff0244c91f7,governance_control_center
governance_incident_registry.csv,governance_incident_registry,True,5,2026-06-29 to 2026-07-13,f7d8d39fb8780174,governance_control_center
phase102_official_accounting_report.txt,phase102_report,True,1,,5ab59af1137125c4,governance_control_center
phase109_risk_terminal_report.txt,phase109_report,True,1,,17e60a464b2a8904,governance_control_center
phase110_execution_terminal_report.txt,phase110_report,True,1,,ef8c8e2597ebe29b,governance_control_center
phase111_research_terminal_report.txt,phase111_report,True,1,,ebe89071313ee585,governance_control_center
