source_key,source_file,exists,row_count,column_count,latest_date
official_performance,growth_official_paper_performance.csv,True,10,33,2026-08-13
official_state,growth_official_paper_state.csv,True,46,40,2026-08-13
official_actions,growth_official_paper_actions.csv,True,48,17,2026-08-13
official_rebalance_report,growth_official_paper_rebalance_report.csv,True,10,13,2026-08-13
official_trades,growth_official_paper_trades.csv,True,13,29,2026-07-24
official_trade_lifecycle,growth_official_trade_lifecycle.csv,True,8,17,2026-07-13
official_monitor,growth_official_paper_monitor.csv,True,10,16,2026-08-13
official_tracking,growth_official_live_tracking.csv,True,11,20,2026-08-13
official_cost_ledger,growth_official_estimated_cost_ledger.csv,True,13,29,2026-07-24
official_cost_duplication_audit,official_cost_duplication_audit.csv,True,2,9,2026-07-13
official_accounting_audit,official_forward_accounting_audit.csv,True,1,11,2026-07-14
official_accounting_reconciliation,official_accounting_reconciliation.csv,True,2,18,2026-07-13
official_position_pnl,growth_official_position_pnl.csv,True,6,18,2026-07-13
official_realized_pnl,growth_official_realized_pnl.csv,True,0,0,
official_benchmark_daily,growth_official_benchmark_daily.csv,True,10,9,2026-08-13
official_benchmark_equity,growth_official_benchmark_equity.csv,True,10,5,2026-08-13
official_integrity,official_paper_integrity_status.csv,True,1,11,2026-08-13
official_daily_status,official_paper_daily_run_status.csv,True,10,16,2026-08-13
official_version_history,official_paper_version_history.csv,True,10,13,2026-08-13
official_market_data_governance,official_market_data_governance.csv,True,1,11,
official_market_data_integrity,official_market_data_integrity.csv,True,6,15,
official_holding_metadata,official_holding_metadata.csv,True,3,8,
secondary_provider_status,secondary_provider_status.csv,True,5,7,
multi_source_price_audit,multi_source_price_audit.csv,True,5,26,2026-08-13
market_data_governance,market_data_governance.csv,True,1,18,
debug_performance,growth_candidate_paper_performance.csv,True,24,30,2026-08-13
debug_state,growth_candidate_paper_state.csv,True,106,34,2026-08-13
debug_actions,growth_candidate_action_signals.csv,True,112,17,2026-08-13
debug_rebalance_report,growth_candidate_rebalance_report.csv,True,24,18,2026-08-13
debug_monitor,growth_candidate_paper_monitor.csv,True,24,38,2026-08-13
debug_benchmark_daily,benchmark_daily_returns.csv,True,24,4,2026-08-13
debug_benchmark_equity,benchmark_equity_curves.csv,True,24,4,2026-08-13
reconstructed_daily,reconstructed_growth_long_horizon_daily_returns.csv,True,2627,14,2026-06-10
historical_2008_backtest_daily,growth_champion_reconstructed_stress_daily.csv,True,878,22,2026-06-09
