fold_id,variant,train_end_after_purge,test_start,test_end,observations,total_return,net_CAGR,volatility,Sharpe,Sortino,Calmar,max_drawdown,turnover,average_exposure,cost_drag,alpha_vs_SPY,alpha_vs_QQQ,information_ratio_vs_SPY,information_ratio_vs_QQQ
1,canonical,2011-12-01,2012-07-31,2013-01-30,25,0.20593740867708887,0.4782109189633359,0.16633869982158894,2.4388211133618345,7.565659243507204,10.526502567684245,-0.04542923120841824,0.07799999999999999,0.568,0.0,,,,
1,hmm_diagnostic_only,2011-12-01,2012-07-31,2013-01-30,25,0.20593740867708887,0.4782109189633359,0.16633869982158894,2.4388211133618345,7.565659243507204,10.526502567684245,-0.04542923120841824,0.07799999999999999,0.568,0.0,,,,
1,hmm_exposure_overlay,2011-12-01,2012-07-31,2013-01-30,25,0.19747754593985123,0.4566499522921772,0.1627801103954846,2.3976188023116123,7.65562070885644,10.12548596836535,-0.045099065241793856,0.10199999999999998,0.5499999999999999,0.0,,,,
1,hmm_ranking_adjustment_proxy,2011-12-01,2012-07-31,2013-01-30,25,0.18214400411561504,0.4179909897398011,0.1447204068173231,2.491664330820312,7.596939604924796,10.752924568606058,-0.038872307442772924,0.09799999999999999,0.5016,0.0,,,,
2,canonical,2012-05-31,2013-01-31,2013-07-30,25,-0.0045910454325320815,-0.009558257910388002,0.17541657840547434,0.03160984473359909,0.07813898780633047,-0.12721561541511006,-0.07513431334037879,0.10999999999999999,0.6,0.0,,,,
2,hmm_diagnostic_only,2012-05-31,2013-01-31,2013-07-30,25,-0.0045910454325320815,-0.009558257910388002,0.17541657840547434,0.03160984473359909,0.07813898780633047,-0.12721561541511006,-0.07513431334037879,0.10999999999999999,0.6,0.0,,,,
2,hmm_exposure_overlay,2012-05-31,2013-01-31,2013-07-30,25,-0.03174572155703048,-0.06511556751756564,0.14995247124332575,-0.3742681951244588,-0.7975611821873707,-0.8651463125236092,-0.0752653817914628,0.128,0.5399999999999999,0.0,,,,
2,hmm_ranking_adjustment_proxy,2012-05-31,2013-01-31,2013-07-30,25,-0.02091308988736995,-0.04315272190560049,0.15979772366793688,-0.19684578362669194,-0.4474850854669684,-0.5737405509930679,-0.07521295441102938,0.12079999999999998,0.564,0.0,,,,
3,canonical,2012-11-30,2013-07-30,2014-01-29,25,0.16565916302944195,0.3770331665487432,0.14775905843668563,2.245181931162607,4.178454807927681,9.952436845304451,-0.037883502544065584,0.08999999999999998,0.6,0.0,,,,
3,hmm_diagnostic_only,2012-11-30,2013-07-30,2014-01-29,25,0.16565916302944195,0.3770331665487432,0.14775905843668563,2.245181931162607,4.178454807927681,9.952436845304451,-0.037883502544065584,0.08999999999999998,0.6,0.0,,,,
3,hmm_exposure_overlay,2012-11-30,2013-07-30,2014-01-29,25,0.1678069012932033,0.3823339628132414,0.14742809315072278,2.2761158142087465,4.205468217440073,10.092360450792944,-0.037883502544065584,0.09299999999999999,0.5939999999999999,0.0,,,,
3,hmm_ranking_adjustment_proxy,2012-11-30,2013-07-30,2014-01-29,25,0.16694780598769854,0.3802123713287231,0.1475551172481218,2.2638078710124208,4.195741490930146,10.036357406141768,-0.037883502544065584,0.09179999999999998,0.5963999999999999,0.0,,,,
4,canonical,2013-05-31,2014-01-31,2014-07-30,25,-0.007763021699868311,-0.016134179845701535,0.16512814395923178,-0.01547679629813508,-0.023522456454607474,-0.12435323520092723,-0.12974475348093906,0.11399999999999996,0.6,0.0,,,,
4,hmm_diagnostic_only,2013-05-31,2014-01-31,2014-07-30,25,-0.007763021699868311,-0.016134179845701535,0.16512814395923178,-0.01547679629813508,-0.023522456454607474,-0.12435323520092723,-0.12974475348093906,0.11399999999999996,0.6,0.0,,,,
4,hmm_exposure_overlay,2013-05-31,2014-01-31,2014-07-30,25,-0.03163680852853035,-0.06489607128847341,0.15212913948505777,-0.3639123686306687,-0.49779288593597915,-0.514497360100474,-0.12613489654407584,0.12299999999999997,0.5519999999999999,0.0,,,,
4,hmm_ranking_adjustment_proxy,2013-05-31,2014-01-31,2014-07-30,25,-0.022126177369102717,-0.04562543140016273,0.1570551712103174,-0.21800789421737193,-0.3109602151356927,-0.3576253839882034,-0.1275788393188212,0.11939999999999998,0.5711999999999999,0.0,,,,
5,canonical,2013-11-30,2014-07-30,2015-01-29,25,0.08947142473046554,0.19584469690450002,0.094378590744338,1.9451827384251283,4.902292971771241,7.312415916383526,-0.026782488734770737,0.14400000000000002,0.592,0.0,,,,
5,hmm_diagnostic_only,2013-11-30,2014-07-30,2015-01-29,25,0.08947142473046554,0.19584469690450002,0.094378590744338,1.9451827384251283,4.902292971771241,7.312415916383526,-0.026782488734770737,0.14400000000000002,0.592,0.0,,,,
5,hmm_exposure_overlay,2013-11-30,2014-07-30,2015-01-29,25,0.06631260613138279,0.14340220500873158,0.08236753741022874,1.670104268686598,3.556193029037863,5.354327091438582,-0.026782488734770737,0.15499999999999997,0.5439999999999999,0.0,,,,
5,hmm_ranking_adjustment_proxy,2013-11-30,2014-07-30,2015-01-29,25,0.07479074120203943,0.1624585821532003,0.086930848434322,1.7774627501741864,4.051478501964156,6.065850853594729,-0.026782488734770737,0.1562,0.5608,0.0,,,,
6,canonical,2014-05-31,2015-01-31,2015-07-30,25,0.10133545788710485,0.22318525816434187,0.09986802939352911,2.0706140247127225,8.848604565084607,7.783080583647793,-0.028675696694346553,0.10199999999999998,0.6,0.0,,,,
6,hmm_diagnostic_only,2014-05-31,2015-01-31,2015-07-30,25,0.10133545788710485,0.22318525816434187,0.09986802939352911,2.0706140247127225,8.848604565084607,7.783080583647793,-0.028675696694346553,0.10199999999999998,0.6,0.0,,,,
6,hmm_exposure_overlay,2014-05-31,2015-01-31,2015-07-30,25,0.06804171787514268,0.14727542683641004,0.0845263307334436,1.6696148601928407,6.3303731778476875,5.135897077103797,-0.028675696694346664,0.11399999999999996,0.5399999999999999,0.0,,,,
6,hmm_ranking_adjustment_proxy,2014-05-31,2015-01-31,2015-07-30,25,0.10601077298865147,0.23404793332938656,0.09477771514701398,2.270227291869487,9.916439362856698,9.591434882953797,-0.024401764301746343,0.10919999999999996,0.546,0.0,,,,
7,canonical,2014-11-30,2015-07-30,2016-01-29,26,-0.058912335027195284,-0.11472326633453067,0.16404010052399473,-0.6578295729089888,-0.6804246740034748,-1.119071704123312,-0.1025164570883379,0.10769230769230767,0.4326923076923077,0.0,,,,
7,hmm_diagnostic_only,2014-11-30,2015-07-30,2016-01-29,26,-0.058912335027195284,-0.11472326633453067,0.16404010052399473,-0.6578295729089888,-0.6804246740034748,-1.119071704123312,-0.1025164570883379,0.10769230769230767,0.4326923076923077,0.0,,,,
7,hmm_exposure_overlay,2014-11-30,2015-07-30,2016-01-29,26,-0.04774312779992751,-0.09351147281731531,0.13801576731317422,-0.6401758135178864,-0.6745971214958837,-1.11987867835033,-0.0835014315613769,0.13461538461538458,0.3807692307692308,0.0,,,,
7,hmm_ranking_adjustment_proxy,2014-11-30,2015-07-30,2016-01-29,26,-0.05198479004354373,-0.10159662393337487,0.16208923267537112,-0.5772843309318962,-0.615555430776028,-0.9722193292199204,-0.10449969557269856,0.14855769230769228,0.4401923076923077,0.0,,,,
8,canonical,2015-05-31,2016-01-31,2016-07-30,25,0.20440818378617953,0.47430128839763674,0.12399202895857259,3.203283798696512,8.049428334061288,17.97891454937166,-0.026380974618638087,0.07799999999999999,0.4699999999999999,0.0,,,,
8,hmm_diagnostic_only,2015-05-31,2016-01-31,2016-07-30,25,0.20440818378617953,0.47430128839763674,0.12399202895857259,3.203283798696512,8.049428334061288,17.97891454937166,-0.026380974618638087,0.07799999999999999,0.4699999999999999,0.0,,,,
8,hmm_exposure_overlay,2015-05-31,2016-01-31,2016-07-30,25,0.16976108279677216,0.38716626278160793,0.10691095213876443,3.123595371061291,6.767882687066438,14.675965099033123,-0.026380974618637865,0.107,0.446,0.0,,,,
8,hmm_ranking_adjustment_proxy,2015-05-31,2016-01-31,2016-07-30,25,0.19588326144888613,0.45260520478502775,0.11920986163378132,3.201640207687999,8.762462906489954,20.176803090889358,-0.022431958261484808,0.1061,0.4314,0.0,,,,
9,canonical,2015-11-30,2016-07-30,2017-01-29,25,0.25787916563382285,0.6142123536122872,0.17837809272083396,2.7852059228535824,4.98332086495905,14.11944667287965,-0.043501163171787316,0.08999999999999998,0.6,0.0,,,,
9,hmm_diagnostic_only,2015-11-30,2016-07-30,2017-01-29,25,0.25787916563382285,0.6142123536122872,0.17837809272083396,2.7852059228535824,4.98332086495905,14.11944667287965,-0.043501163171787316,0.08999999999999998,0.6,0.0,,,,
9,hmm_exposure_overlay,2015-11-30,2016-07-30,2017-01-29,25,0.2540023487621408,0.6038461178269827,0.176423245996448,2.7772317182434443,4.846964054257177,13.881148773939158,-0.043501163171787316,0.096,0.576,0.0,,,,
9,hmm_ranking_adjustment_proxy,2015-11-30,2016-07-30,2017-01-29,25,0.2188910186819928,0.5115446396615313,0.1531152940023596,2.7848795675222817,5.056388773559611,13.825905883634007,-0.036998996229755665,0.09359999999999999,0.5244,0.0,,,,
10,canonical,2016-05-31,2017-01-31,2017-07-30,25,0.06001099184725023,0.12934427564195672,0.11379259339652419,1.1266296431431047,2.4452481677545337,3.38727851547259,-0.03818530866332104,0.08399999999999999,0.6,0.0,,,,
10,hmm_diagnostic_only,2016-05-31,2017-01-31,2017-07-30,25,0.06001099184725023,0.12934427564195672,0.11379259339652419,1.1266296431431047,2.4452481677545337,3.38727851547259,-0.03818530866332104,0.08399999999999999,0.6,0.0,,,,
10,hmm_exposure_overlay,2016-05-31,2017-01-31,2017-07-30,25,0.06001099184725023,0.12934427564195672,0.11379259339652419,1.1266296431431047,2.4452481677545337,3.38727851547259,-0.03818530866332104,0.08399999999999999,0.6,0.0,,,,
10,hmm_ranking_adjustment_proxy,2016-05-31,2017-01-31,2017-07-30,25,0.0512028579799948,0.10984643664469562,0.09672370438704556,1.1266296431431044,2.4452481677545332,3.3790670511407495,-0.032507918600671815,0.08399999999999999,0.51,0.0,,,,
11,canonical,2016-11-30,2017-07-30,2018-01-29,25,0.12402760324434103,0.27637651001966224,0.11180254274322932,2.2439104199677056,2.9483599317137714,6.187211344097299,-0.04466899458401885,0.10199999999999998,0.6,0.0,,,,
11,hmm_diagnostic_only,2016-11-30,2017-07-30,2018-01-29,25,0.12402760324434103,0.27637651001966224,0.11180254274322932,2.2439104199677056,2.9483599317137714,6.187211344097299,-0.04466899458401885,0.10199999999999998,0.6,0.0,,,,
11,hmm_exposure_overlay,2016-11-30,2017-07-30,2018-01-29,25,0.12402760324434103,0.27637651001966224,0.11180254274322932,2.2439104199677056,2.9483599317137714,6.187211344097299,-0.04466899458401885,0.10199999999999998,0.6,0.0,,,,
11,hmm_ranking_adjustment_proxy,2016-11-30,2017-07-30,2018-01-29,25,0.10494873606362587,0.23157599447551203,0.09503216133174493,2.243910419967706,2.9483599317137723,6.095085113437074,-0.0379938901862068,0.10199999999999998,0.51,0.0,,,,
12,canonical,2017-05-31,2018-01-31,2018-07-30,25,0.18145888707443647,0.4162763092945121,0.14209467923137473,2.528410869747456,4.938176941057211,5.805702552619273,-0.07170128085647565,0.066,0.6,0.0,,,,
12,hmm_diagnostic_only,2017-05-31,2018-01-31,2018-07-30,25,0.18145888707443647,0.4162763092945121,0.14209467923137473,2.528410869747456,4.938176941057211,5.805702552619273,-0.07170128085647565,0.066,0.6,0.0,,,,
12,hmm_exposure_overlay,2017-05-31,2018-01-31,2018-07-30,25,0.1582174317633851,0.3587483953926909,0.12381619954984187,2.545012149424091,4.851405622080876,6.629524959429404,-0.05411374081674292,0.069,0.51,0.0,,,,
12,hmm_ranking_adjustment_proxy,2017-05-31,2018-01-31,2018-07-30,25,0.16683700976193716,0.37993887644358226,0.13307613078777386,2.4939008176987536,4.842569222931985,5.298913379303578,-0.07170128085647565,0.0678,0.564,0.0,,,,
13,canonical,2017-11-30,2018-07-30,2019-01-29,26,0.041504692858659764,0.08503503552433567,0.16985605046443752,0.5658165599360192,0.8357316348307279,0.6787871792188327,-0.12527495823093826,0.1096153846153846,0.42500000000000004,0.0,,,,
13,hmm_diagnostic_only,2017-11-30,2018-07-30,2019-01-29,26,0.041504692858659764,0.08503503552433567,0.16985605046443752,0.5658165599360192,0.8357316348307279,0.6787871792188327,-0.12527495823093826,0.1096153846153846,0.42500000000000004,0.0,,,,
13,hmm_exposure_overlay,2017-11-30,2018-07-30,2019-01-29,26,0.05218459681269416,0.10747927957109327,0.16023194118414277,0.7174406531247152,1.199939803469524,0.9526084946974156,-0.11282628715717335,0.1192307692307692,0.4076923076923077,0.0,,,,
13,hmm_ranking_adjustment_proxy,2017-11-30,2018-07-30,2019-01-29,26,0.02240325272484167,0.045467487729319744,0.15430013901032963,0.36577379023098017,0.5156469006740833,0.369838609222339,-0.12293872677307649,0.11932692307692307,0.4028846153846154,0.0,,,,
14,canonical,2018-05-31,2019-01-31,2019-07-30,25,0.055041524771121564,0.11832203246971185,0.14861453490890866,0.8266442259802004,1.640186811515291,1.606593152782727,-0.07364778834315966,0.11399999999999999,0.5779999999999998,0.0,,,,
14,hmm_diagnostic_only,2018-05-31,2019-01-31,2019-07-30,25,0.055041524771121564,0.11832203246971185,0.14861453490890866,0.8266442259802004,1.640186811515291,1.606593152782727,-0.07364778834315966,0.11399999999999999,0.5779999999999998,0.0,,,,
14,hmm_exposure_overlay,2018-05-31,2019-01-31,2019-07-30,25,0.050218707166068244,0.10767888664130121,0.12721947303564782,0.8677407713017514,1.7951022442073359,1.64323259681634,-0.06552869438564102,0.13,0.536,0.0,,,,
14,hmm_ranking_adjustment_proxy,2018-05-31,2019-01-31,2019-07-30,25,0.05060601573121404,0.10853165377426621,0.1404845120386574,0.803419276097717,1.5510594222459089,1.6025784393450986,-0.06772314609362784,0.1256,0.523,0.0,,,,
15,canonical,2018-11-30,2019-07-30,2020-01-29,25,0.04163518517305631,0.08886759714332593,0.10565130607509855,0.8602626635525183,0.7464008863198963,1.1910501987613227,-0.07461280577069473,0.142,0.6,0.0,,,,
15,hmm_diagnostic_only,2018-11-30,2019-07-30,2020-01-29,25,0.04163518517305631,0.08886759714332593,0.10565130607509855,0.8602626635525183,0.7464008863198963,1.1910501987613227,-0.07461280577069473,0.142,0.6,0.0,,,,
15,hmm_exposure_overlay,2018-11-30,2019-07-30,2020-01-29,25,0.034327404469165046,0.07298439393326528,0.09550846955818654,0.7866413722666448,0.6763196334979387,1.0842705749999433,-0.06731197508820075,0.15099999999999997,0.534,0.0,,,,
15,hmm_ranking_adjustment_proxy,2018-11-30,2019-07-30,2020-01-29,25,0.03726275035947757,0.07934965644343395,0.09933513448163389,0.8197874613805082,0.7083845235174702,1.1298875537158386,-0.07022792328535554,0.14739999999999998,0.5604,0.0,,,,
16,canonical,2019-05-31,2020-01-31,2020-07-30,25,0.012886732053130512,0.027084926705124523,0.1950908798526393,0.2361182452207695,0.3100169231889854,0.16592287203759692,-0.16323805375661093,0.12432635785501342,0.482,0.0,,,,
16,hmm_diagnostic_only,2019-05-31,2020-01-31,2020-07-30,25,0.012886732053130512,0.027084926705124523,0.1950908798526393,0.2361182452207695,0.3100169231889854,0.16592287203759692,-0.16323805375661093,0.12432635785501342,0.482,0.0,,,,
16,hmm_exposure_overlay,2019-05-31,2020-01-31,2020-07-30,25,0.02020378097276665,0.042631546597741155,0.14792630849508082,0.3571111233143877,0.48671419381675135,0.3462027712316916,-0.12314039672781985,0.1323263578550134,0.37199999999999994,0.0,,,,
16,hmm_ranking_adjustment_proxy,2019-05-31,2020-01-31,2020-07-30,25,0.0020493582282872236,0.004282068434851016,0.18403535976180208,0.11678135541611534,0.14677583521478735,0.02606918180367087,-0.16425787610442177,0.1413263578550134,0.43779999999999997,0.0,,,,
17,canonical,2019-11-30,2020-07-30,2021-01-29,26,0.4266088762229723,1.0401853639859948,0.2517434783314071,2.973820756963634,6.076093695123644,13.770132171327852,-0.07553924327261485,0.12884615384615383,0.5999999999999999,0.0,,,,
17,hmm_diagnostic_only,2019-11-30,2020-07-30,2021-01-29,26,0.4266088762229723,1.0401853639859948,0.2517434783314071,2.973820756963634,6.076093695123644,13.770132171327852,-0.07553924327261485,0.12884615384615383,0.5999999999999999,0.0,,,,
17,hmm_exposure_overlay,2019-11-30,2020-07-30,2021-01-29,26,0.35043743810503436,0.8274481030452774,0.19958044009402695,3.135613742010615,6.7722146801982825,14.594032377079879,-0.05669770229815274,0.1346153846153846,0.47884615384615375,0.0,,,,
17,hmm_ranking_adjustment_proxy,2019-11-30,2020-07-30,2021-01-29,26,0.40061254656726275,0.9662600426745731,0.24672144031447144,2.877916364347581,5.762839251840056,12.791497515899396,-0.07553924327261485,0.1323076923076923,0.5826923076923076,0.0,,,,
18,canonical,2020-05-31,2021-01-31,2021-07-30,25,-0.02938299750506912,-0.06034786233008638,0.18542853520376198,-0.24142124960035802,-0.31845169587850314,-0.3879145349051708,-0.1555699951919537,0.10799999999999997,0.6,0.0,,,,
18,hmm_diagnostic_only,2020-05-31,2021-01-31,2021-07-30,25,-0.02938299750506912,-0.06034786233008638,0.18542853520376198,-0.24142124960035802,-0.31845169587850314,-0.3879145349051708,-0.1555699951919537,0.10799999999999997,0.6,0.0,,,,
18,hmm_exposure_overlay,2020-05-31,2021-01-31,2021-07-30,25,-0.01947916695598917,-0.04022557190836973,0.1429324446733996,-0.2149374009487287,-0.2922928419862632,-0.3401110475313823,-0.11827187678947149,0.11099999999999997,0.49199999999999994,0.0,,,,
18,hmm_ranking_adjustment_proxy,2020-05-31,2021-01-31,2021-07-30,25,-0.02938299750506912,-0.06034786233008638,0.18542853520376198,-0.24142124960035802,-0.31845169587850314,-0.3879145349051708,-0.1555699951919537,0.10799999999999997,0.6,0.0,,,,
19,canonical,2020-11-30,2021-07-30,2022-01-29,25,-0.11088456612691,-0.2175287915893439,0.21417267003464993,-1.0350695983287692,-1.4210737649422758,-1.3237996846482478,-0.16432153150659223,0.15599999999999997,0.586,0.0,,,,
19,hmm_diagnostic_only,2020-11-30,2021-07-30,2022-01-29,25,-0.11088456612691,-0.2175287915893439,0.21417267003464993,-1.0350695983287692,-1.4210737649422758,-1.3237996846482478,-0.16432153150659223,0.15599999999999997,0.586,0.0,,,,
19,hmm_exposure_overlay,2020-11-30,2021-07-30,2022-01-29,25,-0.08909588923816292,-0.17697380762213955,0.16529693964003575,-1.0932061361734293,-1.5538278857484122,-1.3947653366653445,-0.1268842886827507,0.169,0.5019999999999999,0.0,,,,
19,hmm_ranking_adjustment_proxy,2020-11-30,2021-07-30,2022-01-29,25,-0.11054058108032405,-0.21689682622539985,0.21420415365150375,-1.031133132800831,-1.4158773947601506,-1.3199537774311603,-0.16432153150659223,0.1625,0.587,0.0,,,,
20,canonical,2021-05-31,2022-01-31,2022-07-30,25,0.008434201300641098,0.01768410689653499,0.11066198649861032,0.21349054245983246,0.32150061627624393,0.25652352373433257,-0.06893756424011022,0.102,0.294,0.0,,,,
20,hmm_diagnostic_only,2021-05-31,2022-01-31,2022-07-30,25,0.008434201300641098,0.01768410689653499,0.11066198649861032,0.21349054245983246,0.32150061627624393,0.25652352373433257,-0.06893756424011022,0.102,0.294,0.0,,,,
20,hmm_exposure_overlay,2021-05-31,2022-01-31,2022-07-30,25,-0.0028558565536129787,-0.005951328347260643,0.10124119471008423,-0.008268191557681947,-0.011391279246664485,-0.08632925187974609,-0.0689375642401101,0.11199999999999999,0.28800000000000003,0.0,,,,
20,hmm_ranking_adjustment_proxy,2021-05-31,2022-01-31,2022-07-30,25,-0.0027581485177659015,-0.0057480199609408755,0.11626072070777879,0.00839029583366103,0.012062481370701266,-0.06980231761515537,-0.08234712194846772,0.11759999999999998,0.311,0.0,,,,
21,canonical,2021-11-30,2022-07-30,2023-01-29,25,0.0401548892568091,0.08564040707173226,0.10671944181868079,0.823849784391761,1.2195957095248122,1.3434094282072744,-0.06374855295307547,0.11999999999999998,0.27399999999999997,0.0,,,,
21,hmm_diagnostic_only,2021-11-30,2022-07-30,2023-01-29,25,0.0401548892568091,0.08564040707173226,0.10671944181868079,0.823849784391761,1.2195957095248122,1.3434094282072744,-0.06374855295307547,0.11999999999999998,0.27399999999999997,0.0,,,,
21,hmm_exposure_overlay,2021-11-30,2022-07-30,2023-01-29,25,0.0401548892568091,0.08564040707173226,0.10671944181868079,0.823849784391761,1.2195957095248122,1.3434094282072744,-0.06374855295307547,0.13499999999999998,0.27399999999999997,0.0,,,,
