model,distribution,omega,alpha,beta,gamma,nu,forecast_variance,converged,optimizer_message,stationary,positive_constraints,persistence,log_likelihood,AIC,BIC,date,ticker,model_name,train_observations
GARCH,student_t,2.3450990998443055e-06,0.01303256158843763,0.982970005585461,,3.8952665034883625,0.0009591572956009806,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,True,True,0.9960025671738986,1477.1304436107737,-2946.2608872215474,-2927.748721716829,2025-05-15,RBLX,mle_garch_student_t,756
EGARCH,normal,-0.19751887801633905,0.07190880335914299,0.9687372999612767,-0.028143495160549106,,0.0011808725774893351,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,True,True,0.9687372999612767,1380.5511526054675,-2753.102305210935,-2734.5901397062166,2025-05-15,RBLX,mle_egarch_normal,756
EGARCH,student_t,-0.2560675924747816,0.10606403133639696,0.9622995228670436,0.047750612372804806,7.447850837207437,0.0012961040409175135,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,True,True,0.9622995228670436,1470.6202617152085,-2931.240523430417,-2908.1003165495194,2025-05-15,RBLX,mle_egarch_student_t,756
GARCH,normal,5.717754008637804e-06,0.00573323591446194,0.9884766994544871,,,0.0009417000923660271,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,True,True,0.9942099353689491,1405.240598958214,-2804.481197916428,-2790.5970737878893,2025-06-16,RBLX,mle_garch_normal,756
GARCH,student_t,1.1056150687971851e-06,0.008861311385932007,0.987889635284991,,4.013199113133566,0.0007433715763931416,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,True,True,0.996750946670923,1509.3441749752824,-3010.6883499505648,-2992.1761844458465,2025-06-16,RBLX,mle_garch_student_t,756
EGARCH,normal,-0.05595846775520436,0.034413803466035904,0.9911941671475611,-0.0401714966282511,,0.0006864568257835847,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,True,True,0.9911941671475611,1418.749940395883,-2829.499880791766,-2810.9877152870476,2025-06-16,RBLX,mle_egarch_normal,756
EGARCH,student_t,-0.025385285929312898,0.05819802950847945,0.9957457689332062,-0.009361868278466374,3.8546391801385678,0.0007317427474727122,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,True,True,0.9957457689332062,1517.1005981468452,-3024.2011962936904,-3001.060989412793,2025-06-16,RBLX,mle_egarch_student_t,756
GARCH,normal,4.4294269312837525e-06,0.005330017951374051,0.9904843916851621,,,0.0009567293889912034,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,True,True,0.9958144096365361,1435.7557644134822,-2865.5115288269644,-2851.627404698426,2025-07-17,RBLX,mle_garch_normal,756
GARCH,student_t,3.671235474756947e-06,0.010978149661329225,0.986149192009496,,3.260847999234022,0.000932093430827974,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,True,True,0.9971273416708253,1540.0058400991752,-3072.0116801983504,-3053.499514693632,2025-07-17,RBLX,mle_garch_student_t,756
EGARCH,normal,-0.062052818555029865,0.03316642314634084,0.9902792548392598,-0.03780372650086851,,0.0006644598237788466,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,True,True,0.9902792548392598,1450.0999311990324,-2892.199862398065,-2873.6876968933466,2025-07-17,RBLX,mle_egarch_normal,756
EGARCH,student_t,-0.170446085775849,0.12607701438532895,0.9727440479974396,0.010369969239015129,3.6784016117709393,0.0011016376913216205,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,True,True,0.9727440479974396,1547.062627624096,-3084.125255248192,-3060.9850483672944,2025-07-17,RBLX,mle_egarch_student_t,756
GARCH,normal,5.616679297062038e-06,0.006512463502300285,0.9876243347839787,,,0.0009930142024094082,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,True,True,0.994136798286279,1430.317815925764,-2854.635631851528,-2840.7515077229896,2025-08-15,RBLX,mle_garch_normal,756
GARCH,student_t,3.1777976905440206e-05,0.02475997741175305,0.9497355644851875,,3.6488514176029154,0.0012749521073215965,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,True,True,0.9744955418969405,1535.2552142676504,-3062.510428535301,-3043.9982630305826,2025-08-15,RBLX,mle_garch_student_t,756
EGARCH,normal,-0.06160806523474418,0.03499743959220029,0.9902041322423129,-0.01938464673569821,,0.0010926519475901646,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,True,True,0.9902041322423129,1443.369661959227,-2878.739323918454,-2860.2271584137357,2025-08-15,RBLX,mle_egarch_normal,756
EGARCH,student_t,-0.032981369058340385,0.0533980369011196,0.9944772459237791,0.004114838283025877,3.7108191658653915,0.0011910785270261778,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,True,True,0.9944772459237791,1545.1194028073346,-3080.238805614669,-3057.0985987337717,2025-08-15,RBLX,mle_egarch_student_t,756
GARCH,normal,5.066542605996854e-06,0.006001858955346602,0.9881607227921049,,,0.0009183583767342507,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,True,True,0.9941625817474514,1432.926718490834,-2859.853436981668,-2845.9693128531294,2025-09-16,RBLX,mle_garch_normal,756
GARCH,student_t,4.498761601659174e-06,0.007787063177612268,0.9863493817601916,,3.958743951806099,0.0008820247001637834,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,True,True,0.9941364449378038,1539.7263129732846,-3071.4526259465692,-3052.940460441851,2025-09-16,RBLX,mle_garch_student_t,756
EGARCH,normal,-0.05715888148936984,0.03368492138773161,0.9909849189921273,-0.016366274021399937,,0.0010357444901440982,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,True,True,0.9909849189921273,1444.8588947836547,-2881.7177895673094,-2863.205624062591,2025-09-16,RBLX,mle_egarch_normal,756
EGARCH,student_t,-0.06982007619776483,0.09063949035817699,0.989013407528801,0.016466972550231333,4.183433490190347,0.0010339261816722112,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,True,True,0.989013407528801,1546.3226836888664,-3082.645367377733,-3059.5051604968353,2025-09-16,RBLX,mle_egarch_student_t,756
GARCH,normal,4.608293796799305e-06,0.00536832482904322,0.9888732487758634,,,0.0008575133028925051,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,True,True,0.9942415736049066,1444.220179704071,-2882.440359408142,-2868.5562352796032,2025-10-15,RBLX,mle_garch_normal,756
GARCH,student_t,4.536359634311691e-06,0.00737053317987835,0.9868412874808762,,3.8484683649460116,0.0008558895950701145,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,True,True,0.9942118206607545,1556.3214931839789,-3104.6429863679577,-3086.1308208632395,2025-10-15,RBLX,mle_garch_student_t,756
EGARCH,normal,-0.047098139810593576,0.02785569914305376,0.9926563528922944,-0.004159113446276957,,0.0010161640033335227,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,True,True,0.9926563528922944,1453.5561521469276,-2899.1123042938552,-2880.600138789137,2025-10-15,RBLX,mle_egarch_normal,756
EGARCH,student_t,-0.10849324966086656,0.08649321173891912,0.9825743410302982,0.022723539829590304,3.4418351710908746,0.0009899945365374131,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,True,True,0.9825743410302982,1562.8579815912394,-3115.715963182479,-3092.5757563015814,2025-10-15,RBLX,mle_egarch_student_t,756
GARCH,normal,4.248380346744991e-06,0.0019438505007073668,0.9937048222613669,,,0.0010025523852647453,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,True,True,0.9956486727620742,1453.430310315791,-2900.860620631582,-2886.9764965030436,2025-11-13,RBLX,mle_garch_normal,756
GARCH,student_t,0.00010645438273712705,0.039186809126907036,0.8730843648653964,,3.4667163402670447,0.001313567464398178,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,True,True,0.9122711739923035,1561.6782200325579,-3115.3564400651157,-3096.8442745603975,2025-11-13,RBLX,mle_garch_student_t,756
EGARCH,normal,-0.06075491637347413,0.016942766915576692,0.9908339257356975,0.0015430318865694494,,0.001098461963231434,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,True,True,0.9908339257356975,1458.314253686801,-2908.628507373602,-2890.116341868884,2025-11-13,RBLX,mle_egarch_normal,756
EGARCH,student_t,-0.048306824176302665,0.049991706938748826,0.992401474496157,0.006015461757791706,3.738691265769789,0.0010653885239356798,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,True,True,0.992401474496157,1569.8140636058251,-3129.6281272116503,-3106.487920330753,2025-11-13,RBLX,mle_egarch_student_t,756
GARCH,normal,2.992479528596636e-06,1e-06,0.996856090796997,,,0.0009728125934272084,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,True,True,0.996857090796997,1479.2525839750756,-2952.505167950151,-2938.6210438216126,2025-12-15,RBLX,mle_garch_normal,756
GARCH,student_t,0.0009857358662690256,0.027096916326674624,0.07273505957973525,,3.7214850506116246,0.0011668564877633126,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,True,True,0.09983197590640988,1578.110210401051,-3148.220420802102,-3129.708255297384,2025-12-15,RBLX,mle_garch_student_t,756
EGARCH,normal,-0.041306389559423715,0.020383442587337767,0.9936421438196972,0.0029323779661091765,,0.0010597533020965503,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,True,True,0.9936421438196972,1482.5436872740888,-2957.0873745481776,-2938.5752090434594,2025-12-15,RBLX,mle_egarch_normal,756
EGARCH,student_t,-0.3382175097511642,0.09340101327692361,0.949294040686704,0.023085585388398746,3.6473515271825394,0.00100827443958439,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,True,True,0.949294040686704,1587.5124119547868,-3165.0248239095736,-3141.884617028676,2025-12-15,RBLX,mle_egarch_student_t,756
GARCH,normal,3.263823593490291e-05,1e-06,0.9695571755520364,,,0.0010721535239979641,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,True,True,0.9695581755520364,1488.344634104989,-2970.689268209978,-2956.8051440814393,2026-01-15,RBLX,mle_garch_normal,756
GARCH,student_t,0.0009303122707427817,0.037878379109923144,0.08222962496389535,,3.707908768453256,0.001068405798669365,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,True,True,0.1201080040738185,1591.257875000185,-3174.51575000037,-3156.003584495652,2026-01-15,RBLX,mle_garch_student_t,756
EGARCH,normal,-0.3700229438953487,0.033714154100117855,0.9450471757160658,0.0063039604359870684,,0.0011463136586883312,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,True,True,0.9450471757160658,1490.9921809844707,-2973.9843619689414,-2955.472196464223,2026-01-15,RBLX,mle_egarch_normal,756
EGARCH,student_t,-0.6823907352363834,0.11849949392351718,0.898396142714231,0.02939982968024658,3.5252268743754334,0.0014169038413384069,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,True,True,0.898396142714231,1598.3461715043388,-3186.6923430086777,-3163.55213612778,2026-01-15,RBLX,mle_egarch_student_t,756
GARCH,normal,0.0003900426752150366,0.01194715516971789,0.6513055239034993,,,0.0012272190855393648,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,True,True,0.6632526790732172,1477.941090945985,-2949.88218189197,-2935.9980577634315,2026-02-17,RBLX,mle_garch_normal,756
GARCH,student_t,0.00022530748425375656,0.04088711209616761,0.762049836137689,,3.4135987057938197,0.0015534860154129465,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,True,True,0.8029369482338565,1588.062740459775,-3168.12548091955,-3149.6133154148315,2026-02-17,RBLX,mle_garch_student_t,756
EGARCH,normal,-0.1582532834414397,-0.0019367593840708263,0.9768359735680024,-0.028933566928343687,,0.0013990370970476877,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,True,True,0.9768359735680024,1483.051306950156,-2958.102613900312,-2939.5904483955937,2026-02-17,RBLX,mle_egarch_normal,756
EGARCH,student_t,-0.7604124567084893,0.13341373674388043,0.8859808876555924,0.011047607914770054,3.424278369021596,0.0018145599477826743,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,True,True,0.8859808876555924,1591.8346438953959,-3173.6692877907917,-3150.529080909894,2026-02-17,RBLX,mle_egarch_student_t,756
GARCH,normal,5.342689702027938e-05,1e-06,0.9507691748793444,,,0.0010852687983078715,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,True,True,0.9507701748793445,1507.2600744466758,-3008.5201488933517,-2994.636024764813,2026-03-18,RBLX,mle_garch_normal,756
GARCH,student_t,0.00019822443339316483,0.035983250160177185,0.7812753259244624,,3.5884319229482,0.0011495961186165546,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,True,True,0.8172585760846396,1593.6656895239828,-3179.3313790479656,-3160.8192135432473,2026-03-18,RBLX,mle_garch_student_t,756
EGARCH,normal,-0.17439505579706996,-0.011331819360295084,0.9746553944725357,-0.02843155528071405,,0.0012479446953736473,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,True,True,0.9746553944725357,1511.342661600352,-3014.685323200704,-2996.1731576959855,2026-03-18,RBLX,mle_egarch_normal,756
EGARCH,student_t,-0.6313627650764853,0.1083708343115923,0.9061562315871097,-0.0033276717474918734,3.5930231746134744,0.001332256182316972,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,True,True,0.9061562315871097,1597.1270475493743,-3184.2540950987486,-3161.113888217851,2026-03-18,RBLX,mle_egarch_student_t,756
GARCH,normal,7.066259142475443e-05,1e-06,0.9348304943619048,,,0.001084307049077875,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,True,True,0.9348314943619048,1505.3433939432448,-3004.6867878864896,-2990.802663757951,2026-04-17,RBLX,mle_garch_normal,756
GARCH,student_t,0.00021543717173383634,0.03742949209200131,0.7741294028615158,,3.429795370366865,0.0010592052144016513,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,True,True,0.8115588949535171,1592.9572830516206,-3177.914566103241,-3159.402400598523,2026-04-17,RBLX,mle_garch_student_t,756
