model,distribution,omega,alpha,beta,gamma,nu,forecast_variance,converged,optimizer_message,stationary,positive_constraints,persistence,log_likelihood,AIC,BIC,date,ticker,model_name,train_observations
GARCH,normal,0.00020035327995833617,0.06662025401095771,0.854475671292563,,,0.0017100854262507939,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,True,True,0.9210959253035207,1228.7956263327342,-2451.5912526654683,-2437.7071285369298,2024-07-15,RBLX,mle_garch_normal,756
GARCH,student_t,1.511653560065453e-06,0.018167849671937516,0.9805401909380206,,3.763557808976907,0.0009942108862604766,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,True,True,0.9987080406099581,1346.8982062602581,-2685.7964125205162,-2667.284247015798,2024-07-15,RBLX,mle_garch_student_t,756
EGARCH,normal,-0.35937023383680616,0.18057379014821173,0.9380913723510895,-0.044282932133725667,,0.0012444271159265349,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,True,True,0.9380913723510895,1244.7872075612486,-2481.574415122497,-2463.062249617779,2024-07-15,RBLX,mle_egarch_normal,756
EGARCH,student_t,-0.02691494403722529,0.09983990302991547,0.994721568660867,-0.0020505313368415303,4.120075811824042,0.0007807006586895755,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,True,True,0.994721568660867,1351.277231349418,-2692.554462698836,-2669.4142558179383,2024-07-15,RBLX,mle_egarch_student_t,756
GARCH,normal,0.00018465595643780923,0.06931179086640109,0.8586263907798733,,,0.001725495555408261,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,True,True,0.9279381816462744,1232.812924499806,-2459.625848999612,-2445.7417248710735,2024-08-13,RBLX,mle_garch_normal,756
GARCH,student_t,7.017606688619613e-05,0.07922072628072065,0.8714206949982934,,7.959780817299278,0.0010696369758832298,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,True,True,0.9506414212790141,1336.4105025886458,-2664.8210051772917,-2646.3088396725734,2024-08-13,RBLX,mle_garch_student_t,756
EGARCH,normal,-0.3136851421550532,0.1737082968987787,0.9456922951849519,-0.04394250915234081,,0.0015315538467590064,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,True,True,0.9456922951849519,1249.754729084848,-2491.509458169696,-2472.9972926649775,2024-08-13,RBLX,mle_egarch_normal,756
EGARCH,student_t,-0.02901887005153703,0.10256539309214951,0.9942877991595772,-0.0037276487051821072,4.053549095297748,0.000849186789528243,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,True,True,0.9942877991595772,1357.4072821218012,-2704.8145642436025,-2681.674357362705,2024-08-13,RBLX,mle_egarch_student_t,756
GARCH,normal,0.00021250170692833334,0.10016938394152775,0.8236476097839812,,,0.0013600346626158706,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,True,True,0.923816993725509,1235.472545005231,-2464.945090010462,-2451.0609658819235,2024-09-12,RBLX,mle_garch_normal,756
GARCH,student_t,6.330685001438519e-05,0.07944672639541649,0.8739151482905885,,7.970442101860286,0.0007123943894212675,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,True,True,0.953361874686005,1342.0444404277664,-2676.088880855533,-2657.5767153508145,2024-09-12,RBLX,mle_garch_student_t,756
EGARCH,normal,-0.267959011582396,0.1678187496851296,0.9533725605490505,-0.05252535325451534,,0.000814002787343506,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,True,True,0.9533725605490505,1255.1057265247694,-2502.2114530495387,-2483.6992875448204,2024-09-12,RBLX,mle_egarch_normal,756
EGARCH,student_t,-0.08891802222996033,0.12550849423681687,0.9861990315903805,-0.018302459470121143,8.156872335757988,0.0004686321378579637,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,True,True,0.9861990315903805,1354.540121960771,-2699.080243921542,-2675.9400370406447,2024-09-12,RBLX,mle_egarch_student_t,756
GARCH,normal,0.00013998310212446727,0.07907454939206242,0.869969621282021,,,0.0013354974432384502,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,True,True,0.9490441706740834,1239.7344053987836,-2473.468810797567,-2459.5846866690285,2024-10-11,RBLX,mle_garch_normal,756
GARCH,student_t,5.3186424842503966e-05,0.0799049039630057,0.8789540988635328,,7.994837661704486,0.0007213581019183036,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,True,True,0.9588590028265385,1348.6335410449328,-2689.2670820898657,-2670.7549165851474,2024-10-11,RBLX,mle_garch_student_t,756
EGARCH,normal,-0.012327272715976553,0.026571176257664558,0.998,-0.018964534716753606,,0.0006805457929265953,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,True,True,0.998,1274.8015711335847,-2541.6031422671695,-2523.090976762451,2024-10-11,RBLX,mle_egarch_normal,756
EGARCH,student_t,-0.01622461589104635,0.07469523687064637,0.9976656054801805,-0.002536185264334452,8.54167057382289,0.00046172972649715646,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,True,True,0.9976656054801805,1363.777845003905,-2717.55569000781,-2694.4154831269125,2024-10-11,RBLX,mle_egarch_student_t,756
GARCH,normal,3.479493561634258e-06,0.005959019509453387,0.9904457373209512,,,0.001048634284199287,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,True,True,0.9964047568304046,1258.8550887952338,-2511.7101775904675,-2497.826053461929,2024-11-11,RBLX,mle_garch_normal,756
GARCH,student_t,1e-12,0.003335840920805645,0.9933051170630925,,5.537275933343492,0.0005927859563099046,False,ABNORMAL: ,True,True,0.9966409579838982,1369.490178937137,-2730.980357874274,-2712.4681923695557,2024-11-11,RBLX,mle_garch_student_t,756
EGARCH,normal,-0.05032462251748181,0.024346997122140005,0.992022206659838,-0.05851823552035226,,0.0006693809055443829,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,True,True,0.992022206659838,1263.880581182817,-2519.761162365634,-2501.2489968609157,2024-11-11,RBLX,mle_egarch_normal,756
EGARCH,student_t,-0.010828105858554494,0.058001229192830545,0.998,-0.020226939575350336,4.068715454476784,0.0006140732998191817,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,True,True,0.998,1380.9032221376565,-2751.806444275313,-2728.6662373944155,2024-11-11,RBLX,mle_egarch_student_t,756
GARCH,normal,1.5035118992560079e-05,0.008938331850084776,0.9810219271719285,,,0.0013045073963138644,False,ABNORMAL: ,True,True,0.9899602590220132,1299.8199884598646,-2593.639976919729,-2579.7558527911906,2024-12-11,RBLX,mle_garch_normal,756
GARCH,student_t,4.911112868732119e-05,0.08005772533968933,0.8806357906898334,,8.002838965277586,0.0012013847876389137,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,True,True,0.9606935160295228,1374.7528999029719,-2741.5057998059438,-2722.9936343012255,2024-12-11,RBLX,mle_garch_student_t,756
EGARCH,normal,-0.04818642801435485,0.021423832398179816,0.992279586694695,-0.06958267723213535,,0.0006155205833796733,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,True,True,0.992279586694695,1320.9277331138585,-2633.855466227717,-2615.3433007229987,2024-12-11,RBLX,mle_egarch_normal,756
EGARCH,student_t,-0.01601618415207943,-0.007668387699311598,0.997960374628799,-0.05816947396164984,8.631352725614029,0.0002872633149368174,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,True,True,0.997960374628799,1396.4346353595056,-2782.869270719011,-2759.7290638381137,2024-12-11,RBLX,mle_egarch_student_t,756
GARCH,normal,1.1954871778139743e-05,0.0075563450702127105,0.9835427540887668,,,0.001131076781993469,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,True,True,0.9910990991589795,1312.7923320464251,-2619.5846640928503,-2605.7005399643117,2025-01-14,RBLX,mle_garch_normal,756
GARCH,student_t,1e-12,0.008941964887443334,0.9867307114953164,,8.321038191510949,0.0006060672223012404,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,True,True,0.9956726763827598,1403.452809126527,-2798.905618253054,-2780.3934527483357,2025-01-14,RBLX,mle_garch_student_t,756
EGARCH,normal,-0.12024187456275165,0.091724478191489,0.9795672906016936,-0.02010338657874796,,0.0009134487992429148,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,True,True,0.9795672906016936,1327.9843331738132,-2647.9686663476264,-2629.456500842908,2025-01-14,RBLX,mle_egarch_normal,756
EGARCH,student_t,-0.01386040312791647,0.0435895996621661,0.9977084967055591,-0.03712799204029007,4.183447695366459,0.00047340067046615033,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,True,True,0.9977084967055591,1423.2587996283987,-2836.5175992567974,-2813.3773923759,2025-01-14,RBLX,mle_egarch_student_t,756
GARCH,normal,1.171788773539022e-05,0.0065863518442478165,0.9844594161547832,,,0.001140710714993422,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,True,True,0.991045767999031,1324.5280930718636,-2643.0561861437272,-2629.1720620151887,2025-02-13,RBLX,mle_garch_normal,756
GARCH,student_t,5.2712005842841056e-05,0.0793170271408115,0.8724872564935583,,7.962281112379805,0.0012233193324641491,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,True,True,0.9518042836343698,1408.5884504824487,-2809.1769009648974,-2790.664735460179,2025-02-13,RBLX,mle_garch_student_t,756
EGARCH,normal,-0.03783373836190283,0.028641758135882683,0.993893716228803,-0.023092395512307053,,0.000827624424548466,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,True,True,0.993893716228803,1340.0726696014967,-2672.1453392029935,-2653.633173698275,2025-02-13,RBLX,mle_egarch_normal,756
EGARCH,student_t,-0.014785021192307774,0.06787803695185962,0.9972273193248078,-0.018938462918048498,4.012705435132031,0.0007229432796748858,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,True,True,0.9972273193248078,1439.6533397987555,-2869.306679597511,-2846.1664727166135,2025-02-13,RBLX,mle_egarch_student_t,756
GARCH,normal,8.259202532408477e-06,0.007981547696306409,0.9850610662270347,,,0.0010475282910495456,False,ABNORMAL: ,True,True,0.9930426139233411,1350.2547627632666,-2694.5095255265333,-2680.6254013979947,2025-03-17,RBLX,mle_garch_normal,756
GARCH,student_t,5.8439824018339376e-05,0.07880207030725672,0.8668266852232154,,7.939007690084013,0.0010940431189290626,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,True,True,0.9456287555304721,1427.4726832833899,-2846.9453665667797,-2828.4332010620615,2025-03-17,RBLX,mle_garch_student_t,756
EGARCH,normal,-0.05870494472037054,0.037290179657811104,0.9905020839255428,-0.03880606187926601,,0.0012147596010828267,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,True,True,0.9905020839255428,1366.1964911992222,-2724.3929823984445,-2705.880816893726,2025-03-17,RBLX,mle_egarch_normal,756
EGARCH,student_t,-0.029852162361434013,0.08651911930331775,0.9947501881433437,-0.015531404377084437,4.130416065717477,0.0010812277937603742,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,True,True,0.9947501881433437,1454.6548686499439,-2899.3097372998877,-2876.1695304189902,2025-03-17,RBLX,mle_egarch_student_t,756
GARCH,normal,6.816142055000731e-06,0.00853829526364284,0.9860313289757888,,,0.0011850049904484805,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,True,True,0.9945696242394316,1357.5206711640164,-2709.041342328033,-2695.1572181994943,2025-04-15,RBLX,mle_garch_normal,756
GARCH,student_t,6.983743370874358e-05,0.07791206895853013,0.8570328775051853,,7.887473566357635,0.0017096254186157807,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,True,True,0.9349449464637154,1438.5675975412173,-2869.1351950824346,-2850.6230295777164,2025-04-15,RBLX,mle_garch_student_t,756
EGARCH,normal,-0.07284797594998531,0.039143292055824355,0.9882565846003237,-0.05042683507828193,,0.0014878442552084684,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,True,True,0.9882565846003237,1374.573051644943,-2741.146103289886,-2722.6339377851677,2025-04-15,RBLX,mle_egarch_normal,756
EGARCH,student_t,-0.041671182409971745,0.08905465832769065,0.9926628989775453,-0.02550658096866063,3.867127770861784,0.0015126332348265172,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,True,True,0.9926628989775453,1466.8214381435632,-2923.6428762871265,-2900.502669406229,2025-04-15,RBLX,mle_egarch_student_t,756
GARCH,normal,5.209204810881968e-06,0.006739631850392264,0.9885501147449453,,,0.0010686167518192146,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,True,True,0.9952897465953375,1373.4178857138409,-2740.8357714276817,-2726.951647299143,2025-05-15,RBLX,mle_garch_normal,756
