date,ticker,selected,weight,expected_daily_return,expected_total_return,target_price,current_price,target_confidence,signal_strength,quality_score,regime,timing_model,target_model,model_mode,gate_decision,gate_reason,cash_weight,regime_confidence,ema_timing_score,trend_persistence_score,quant_target_price,black_litterman_return,covariance_method,realized_return_1d,realized_return_5d,realized_return_10d,realized_return_20d,realized_return_30d,forecast_return,wf_calibrated_expected_return_5d,wf_calibration_warning_5d,wf_calibrated_expected_return_10d,wf_calibration_warning_10d,wf_calibrated_expected_return_20d,wf_calibration_warning_20d
2022-01-03,AAPL,False,0.0,-0.0002089590044427,-0.0041708943464856,199.1228686447568,182.00999450683597,0.5,0.3670149464662823,0.5,neutral,ema,basic,regime_gated_full_quant,fallback_baseline,insufficient_full_quant_edge,0.5,,,,,,ledoit_wolf/manual_diagonal_shrinkage,-0.0126915973205361,-0.0539530375353144,-0.0670841812185184,-0.0406570744454719,-0.0506565655676498,-0.0041708943464856,-0.0041708943464856,insufficient_prior_data,-0.0041708943464856,insufficient_prior_data,-0.0041708943464856,insufficient_prior_data
2022-01-03,VIST,False,0.0,-2.587432488483803e-06,-5.174737777624561e-05,5.875947411191759,5.360000133514404,0.5,0.1749113230162574,0.5,neutral,ema,basic,regime_gated_full_quant,fallback_baseline,insufficient_full_quant_edge,0.5,,,,,,ledoit_wolf/manual_diagonal_shrinkage,0.07649250694016,0.0541044691472576,0.1455223346160192,0.2089551973247301,0.2854477042648902,-5.174737777624561e-05,-5.174737777624561e-05,insufficient_prior_data,-5.174737777624561e-05,insufficient_prior_data,-5.174737777624561e-05,insufficient_prior_data
2022-01-03,YPF,False,0.0,-0.0001236064206204,-0.0024692276402256,4.455614799945783,4.039999961853027,0.5,0.2497831036809775,0.5,neutral,ema,basic,regime_gated_full_quant,fallback_baseline,insufficient_full_quant_edge,0.5,,,,,,ledoit_wolf/manual_diagonal_shrinkage,0.0297029422505346,-0.0321781874380789,0.0321782464525792,0.0816831502034702,0.0247524518754453,-0.0024692276402256,-0.0024692276402256,insufficient_prior_data,-0.0024692276402256,insufficient_prior_data,-0.0024692276402256,insufficient_prior_data
2022-01-03,CCJ,False,0.0,-2.773154080697095e-05,-0.0005544847231605,25.12054247290157,22.709999084472656,0.5,0.0529398086895676,0.5,neutral,ema,basic,regime_gated_full_quant,fallback_baseline,insufficient_full_quant_edge,0.5,,,,,,ledoit_wolf/manual_diagonal_shrinkage,0.0409511379422133,0.0237781126066427,-0.0497577809916869,-0.1087626337705706,-0.0325847556561161,-0.0005544847231605,-0.0005544847231605,insufficient_prior_data,-0.0005544847231605,insufficient_prior_data,-0.0005544847231605,insufficient_prior_data
2022-01-03,TXN,False,0.0,8.543557755894968e-05,0.0017100991175627,201.71582676475785,190.6000061035156,0.5,0.0530025182282399,0.5,neutral,ema,basic,regime_gated_full_quant,fallback_baseline,insufficient_full_quant_edge,0.5,,,,,,ledoit_wolf/manual_diagonal_shrinkage,0.0010493018984143,-0.0400839409496089,-0.0436516634721413,-0.0488458159457062,-0.1281742243035516,0.0017100991175627,0.0017100991175627,insufficient_prior_data,0.0017100991175627,insufficient_prior_data,0.0017100991175627,insufficient_prior_data
2022-01-03,QCOM,False,0.0,-0.0002434520676648,-0.0048577966927511,203.71303663364571,186.2100067138672,0.5,0.0956598092038662,0.5,neutral,ema,basic,regime_gated_full_quant,fallback_baseline,insufficient_full_quant_edge,0.5,,,,,,ledoit_wolf/manual_diagonal_shrinkage,0.0054776272858376,-0.0350680081770258,-0.039471595717247,-0.0487621583355997,-0.070941443733289,-0.0048577966927511,-0.0048577966927511,insufficient_prior_data,-0.0048577966927511,insufficient_prior_data,-0.0048577966927511,insufficient_prior_data
2022-01-03,AMAT,False,0.0,-0.0001109315897695,-0.0022162952455292,176.16309654158687,159.92999267578125,0.5,0.1151216861927095,0.5,neutral,ema,basic,regime_gated_full_quant,fallback_baseline,insufficient_full_quant_edge,0.5,,,,,,ledoit_wolf/manual_diagonal_shrinkage,-0.0098167456845474,-0.0646532658752284,-0.0473331608335403,-0.1333082788833157,-0.1256174404923419,-0.0022162952455292,-0.0022162952455292,insufficient_prior_data,-0.0022162952455292,insufficient_prior_data,-0.0022162952455292,insufficient_prior_data
2022-01-03,CSCO,True,0.1342918159358927,0.0008162036996747,0.0164512718303158,68.97268080994459,63.15999984741211,0.5,0.6677398262797603,0.5,neutral,ema,basic,regime_gated_full_quant,fallback_baseline,insufficient_full_quant_edge,0.5,,,,,,ledoit_wolf/manual_diagonal_shrinkage,-0.0302406563018756,-0.0212159619351676,-0.0543065280788838,-0.1233375702081565,-0.14075363222175,0.0164512718303158,0.0164512718303158,insufficient_prior_data,0.0164512718303158,insufficient_prior_data,0.0164512718303158,insufficient_prior_data
2022-01-03,PEP,True,0.1284297878047557,0.0002482793524365,0.0049773166153934,184.44483494031343,172.97999572753906,0.5,0.3100841070952208,0.5,neutral,ema,basic,regime_gated_full_quant,fallback_baseline,insufficient_full_quant_edge,0.5,,,,,,ledoit_wolf/manual_diagonal_shrinkage,0.0014452538222615,0.0068794223077714,0.0056654584953959,-0.0036998462565376,-0.0405826638169714,0.0049773166153934,0.0049773166153934,insufficient_prior_data,0.0049773166153934,insufficient_prior_data,0.0049773166153934,insufficient_prior_data
2022-01-03,ADBE,False,0.0,0.0001217539206742,0.0024378970353817,596.69465618441,564.3699951171875,0.5,0.0,0.5,neutral,ema,basic,regime_gated_full_quant,fallback_baseline,insufficient_full_quant_edge,0.5,,,,,,ledoit_wolf/manual_diagonal_shrinkage,-0.0183744621558668,-0.0682884957754375,-0.0904193502546547,-0.0503039050517604,-0.1503800624616211,0.0024378970353817,0.0024378970353817,insufficient_prior_data,0.0024378970353817,insufficient_prior_data,0.0024378970353817,insufficient_prior_data
