metric,EMA mode,Trend Persistence mode,Difference
realized_return,-0.0016704506162973365,-0.015930164117403556,-0.01425971350110622
realized_volatility,0.1540756400015776,0.1905218236441887,0.036446183642611096
realized_sharpe,-0.06354563660470758,-0.9706798018192655,-0.9071341652145579
Sortino,-0.06523304738403343,-0.9082574688165403,-0.8430244214325069
Calmar,-0.30144853905367197,-5.01053871286893,-4.709090173815258
max_drawdown,-0.032479290362176116,-0.036909341812328966,-0.00443005145015285
average_cash,0.5900000000000001,0.5900000000000001,0.0
average_selected_count,3.7,3.7,0.0
average_turnover,0.7711904761904762,0.7307142857142858,-0.04047619047619044
TP_rate,0.26126126126126126,0.22522522522522523,-0.03603603603603603
SL_rate,0.22072072072072071,0.2072072072072072,-0.013513513513513514
timeout_rate,0.5180180180180181,0.5675675675675675,0.04954954954954949
TP_minus_SL,0.04054054054054054,0.01801801801801803,-0.022522522522522515
hit_rate_5d,0.6,0.65,0.050000000000000044
hit_rate_10d,0.75,0.75,0.0
hit_rate_20d,0.65,0.7,0.04999999999999993
direction_accuracy_5d,0.6,0.65,0.050000000000000044
direction_accuracy_10d,0.75,0.75,0.0
direction_accuracy_20d,0.65,0.7,0.04999999999999993
