date,previous_non_cash_holdings,current_non_cash_holdings,turnover,buy_count,sell_count,increase_count,reduce_count,hold_count,reconciliation_passed,warning,model_version,official_forward_namespace
2026-07-10,,"ARM,BABA,SE",0.4350408594155715,3,0,0,0,0,True,,growth_champion_final_v1_0_frozen,True
2026-07-13,,"ARM,BABA,SE",0.0,0,0,0,0,4,True,,growth_champion_final_v1_0_frozen,True
2026-07-14,,"ARM,BABA,SE",0.0,0,0,0,0,4,True,,growth_champion_final_v1_0_frozen,True
2026-07-15,,"ARM,BABA,SE",0.0,0,0,0,0,4,True,,growth_champion_final_v1_0_frozen,True
2026-07-17,,"OKLO,TEAM,ARM,BABA",0.4350408594155715,2,1,0,2,0,True,,growth_champion_final_v1_0_frozen,True
2026-07-20,,"ARM,BABA,OKLO,TEAM",0.0,0,0,0,0,5,True,,growth_champion_final_v1_0_frozen,True
2026-07-23,,"ARM,BABA,OKLO,TEAM",0.0,0,0,0,0,5,True,,growth_champion_final_v1_0_frozen,True
2026-07-24,,"OKLO,TEAM,VIST,ARM",0.2690276167667333,1,1,3,0,0,True,,growth_champion_final_v1_0_frozen,True
2026-07-27,,"ARM,OKLO,TEAM,VIST",0.0,0,0,0,0,5,True,,growth_champion_final_v1_0_frozen,True
2026-08-13,,"ARM,OKLO,TEAM,VIST",0.0,0,0,0,0,5,True,,growth_champion_final_v1_0_frozen,True
