ticker,asset_daily_return,daily_pnl_value,risk_contribution,beta,correlation_with_portfolio,sector,industry,country,median_60d_dollar_volume,market_cap,raw_target_rank,raw_target_return_exact
ARM,-0.07545076628475422,-1094.1388736027634,0.6042504423168339,4.166853038553046,0.8716340523332964,Technology,Semiconductors,United Kingdom,2785458903.04718,319344869376.0,24.0,0.069404408479663
BABA,0.0001780169388450048,2.5814880688553377,0.1883945017322018,1.2991503969440146,0.6347628615539185,Consumer Cyclical,Internet Retail,China,1392123045.4345703,269310246912.0,2.0,0.1369184836025223
SE,-0.004318838673520564,-62.62904294018644,0.2073550559509643,1.4299005585097615,0.5925077612441859,Consumer Cyclical,Internet Retail,Singapore,325545870.5444336,67777540096.0,4.0,0.1125156689502007
