model,year,annual_return
baseline,2022,0.0433655423621675
baseline,2023,0.03641079280429804
baseline,2024,0.12105376334664619
baseline,2025,0.0037555738728174415
baseline,2026,-0.00358241661744807
regime_gated_full_quant,2022,0.04390449585851064
regime_gated_full_quant,2023,0.03636212990233467
regime_gated_full_quant,2024,0.12122314626571296
regime_gated_full_quant,2025,0.0037555738728174415
regime_gated_full_quant,2026,-0.00358241661744807
raw_target_research,2022,0.09732362212591328
raw_target_research,2023,0.12223133561649657
raw_target_research,2024,0.1800995274228374
raw_target_research,2025,0.19729656933820516
raw_target_research,2026,-0.07781772436686596
SPY_buy_hold,2022,-0.19945155111593804
SPY_buy_hold,2023,0.24286799325793096
SPY_buy_hold,2024,0.25183567108174576
SPY_buy_hold,2025,0.1560309310710286
SPY_buy_hold,2026,0.07460930311221148
QQQ_buy_hold,2022,-0.33708423711751434
QQQ_buy_hold,2023,0.5379299642895745
QQQ_buy_hold,2024,0.27603050297295306
QQQ_buy_hold,2025,0.1881315026368251
QQQ_buy_hold,2026,0.1418332311935493
