date,ticker,selected,weight,expected_daily_return,expected_total_return,target_price,current_price,target_confidence,signal_strength,quality_score,regime,timing_model,target_model,model_mode,gate_decision,gate_reason,cash_weight,regime_confidence,ema_timing_score,trend_persistence_score,quant_target_price,black_litterman_return,covariance_method,realized_return_1d,realized_return_5d,realized_return_10d,realized_return_20d,realized_return_30d,final_expected_daily_return,constant_penalty_proxy,signal_strength_adjusted_proxy,raw_daily_return_proxy,scaling_final_proxy,ablation_variant,ablation_score,ablation_weight,variant,scale_factor,cash_weight_variant,variant_variant,risk_control_reason,controlled_weight
2022-01-03,TSLA,False,0.0,8.936104281247498e-06,0.0001787372586901,459.7246602278908,399.9266662597656,0.5,0.180627790318122,0.5,neutral,ema,basic,baseline,not_applicable,mode_not_regime_gated,0.5,,,,,,ledoit_wolf/manual_diagonal_shrinkage,-0.041832696836128,-0.1180716496409673,-0.1410842151923452,-0.2238160575856306,-0.231167411444832,8.936104281247498e-06,0.0058446557743603,0.0001913344487992,0.0069916557743603,8.936104281247498e-06,raw_target_return_only,0.0069916557743603,0.2499999999999998,raw_target_with_baseline_cash_floor,0.5000000000000003,0.5,raw_target_with_baseline_cash_floor,baseline_cash_floor,0.12499999999999999
2022-01-03,TSLA,False,0.0,8.936104281247498e-06,0.0001787372586901,459.7246602278908,399.9266662597656,0.5,0.180627790318122,0.5,neutral,ema,basic,regime_gated_full_quant,fallback_baseline,insufficient_full_quant_edge,0.5,,,,,,ledoit_wolf/manual_diagonal_shrinkage,-0.041832696836128,-0.1180716496409673,-0.1410842151923452,-0.2238160575856306,-0.231167411444832,8.936104281247498e-06,0.0058446557743603,0.0001913344487992,0.0069916557743603,8.936104281247498e-06,raw_target_return_only,0.0069916557743603,0.2499999999999998,raw_target_with_baseline_cash_floor,0.5000000000000003,0.5,raw_target_with_baseline_cash_floor,baseline_cash_floor,0.12499999999999999
2022-01-03,AVGO,False,0.0,-0.0002759794060952,-0.0055051407762837,73.90703507516476,66.33200073242188,0.5,0.4739766979312811,0.5,neutral,ema,basic,regime_gated_full_quant,fallback_baseline,insufficient_full_quant_edge,0.5,,,,,,ledoit_wolf/manual_diagonal_shrinkage,0.01145754881262,-0.0635590598311439,-0.1289423100369117,-0.1064343197150122,-0.0912832454670133,-0.0002759794060952,0.0042744217195183,0.0008812137469742,0.0054214217195183,-0.0002759794060952,raw_target_return_only,0.0054214217195183,0.2499999999999998,raw_target_with_baseline_cash_floor,0.5000000000000003,0.5,raw_target_with_baseline_cash_floor,baseline_cash_floor,0.12499999999999999
2022-01-03,AVGO,False,0.0,-0.0002759794060952,-0.0055051407762837,73.90703507516476,66.33200073242188,0.5,0.4739766979312811,0.5,neutral,ema,basic,baseline,not_applicable,mode_not_regime_gated,0.5,,,,,,ledoit_wolf/manual_diagonal_shrinkage,0.01145754881262,-0.0635590598311439,-0.1289423100369117,-0.1064343197150122,-0.0912832454670133,-0.0002759794060952,0.0042744217195183,0.0008812137469742,0.0054214217195183,-0.0002759794060952,raw_target_return_only,0.0054214217195183,0.2499999999999998,raw_target_with_baseline_cash_floor,0.5000000000000003,0.5,raw_target_with_baseline_cash_floor,baseline_cash_floor,0.12499999999999999
2022-01-10,TSLA,True,0.0899005429454708,9.286090158298366e-06,0.0001857381880598,393.8420261043184,352.7066650390625,0.5,0.2427226833503045,0.5,neutral,ema,basic,baseline,not_applicable,mode_not_regime_gated,0.5,,,,,,ledoit_wolf/manual_diagonal_shrinkage,0.0059350246575986,-0.0260934638760728,-0.1320455164494165,-0.1286432212109686,-0.2779269066333768,9.286090158298366e-06,0.0043838965263336,0.0002463410112099,0.0055308965263336,9.286090158298366e-06,raw_target_return_only,0.0055308965263336,0.2499999999999999,raw_target_with_baseline_cash_floor,0.5000000000000001,0.5,raw_target_with_baseline_cash_floor,baseline_cash_floor,0.12499999999999997
2022-01-10,TSLA,True,0.0899005429454708,9.286090158298366e-06,0.0001857381880598,393.8420261043184,352.7066650390625,0.5,0.2427226833503045,0.5,neutral,ema,basic,regime_gated_full_quant,fallback_baseline,weak_market_breadth,0.5,,,,,,ledoit_wolf/manual_diagonal_shrinkage,0.0059350246575986,-0.0260934638760728,-0.1320455164494165,-0.1286432212109686,-0.2779269066333768,9.286090158298366e-06,0.0043838965263336,0.0002463410112099,0.0055308965263336,9.286090158298366e-06,raw_target_return_only,0.0055308965263336,0.2499999999999999,raw_target_with_baseline_cash_floor,0.5000000000000001,0.5,raw_target_with_baseline_cash_floor,baseline_cash_floor,0.12499999999999997
2022-01-10,CCJ,False,0.0,-3.345595551126877e-05,-0.0006689064857274,25.73213017673784,23.25,0.5,0.1127779096377818,0.5,neutral,ema,basic,baseline,not_applicable,mode_not_regime_gated,0.5,,,,,,ledoit_wolf/manual_diagonal_shrinkage,0.0111828055433047,-0.0718279602707073,-0.1393548288652973,-0.1466666601037466,-0.1169892177786878,-3.345595551126877e-05,0.0039376471883785,5.6513019458578485e-05,0.0050846471883785,-3.345595551126877e-05,raw_target_return_only,0.0050846471883785,0.2499999999999999,raw_target_with_baseline_cash_floor,0.5000000000000001,0.5,raw_target_with_baseline_cash_floor,baseline_cash_floor,0.12499999999999997
2022-01-10,CCJ,False,0.0,-3.345595551126877e-05,-0.0006689064857274,25.73213017673784,23.25,0.5,0.1127779096377818,0.5,neutral,ema,basic,regime_gated_full_quant,fallback_baseline,weak_market_breadth,0.5,,,,,,ledoit_wolf/manual_diagonal_shrinkage,0.0111828055433047,-0.0718279602707073,-0.1393548288652973,-0.1466666601037466,-0.1169892177786878,-3.345595551126877e-05,0.0039376471883785,5.6513019458578485e-05,0.0050846471883785,-3.345595551126877e-05,raw_target_return_only,0.0050846471883785,0.2499999999999999,raw_target_with_baseline_cash_floor,0.5000000000000001,0.5,raw_target_with_baseline_cash_floor,baseline_cash_floor,0.12499999999999997
2022-01-18,TSLA,False,0.0,4.667304521487138e-05,0.0009338749111245,389.57191212282527,343.5033264160156,0.5,0.0762465424080835,0.5,neutral,ema,basic,baseline,not_applicable,mode_not_regime_gated,0.5,,,,,,ledoit_wolf/manual_diagonal_shrinkage,-0.0338278969185718,-0.1087907808844006,-0.0963212504143375,-0.1048801266036343,-0.1461606371120185,4.667304521487138e-05,0.0051654238756593,3.842988138279467e-05,0.0063124238756593,4.667304521487138e-05,raw_target_return_only,0.0063124238756593,0.2499999999999999,raw_target_with_baseline_cash_floor,0.5000000000000001,0.5,raw_target_with_baseline_cash_floor,baseline_cash_floor,0.12499999999999997
2022-01-18,TSLA,False,0.0,4.667304521487138e-05,0.0009338749111245,389.57191212282527,343.5033264160156,0.5,0.0762465424080835,0.5,neutral,ema,basic,regime_gated_full_quant,fallback_baseline,weak_market_breadth,0.5,,,,,,ledoit_wolf/manual_diagonal_shrinkage,-0.0338278969185718,-0.1087907808844006,-0.0963212504143375,-0.1048801266036343,-0.1461606371120185,4.667304521487138e-05,0.0051654238756593,3.842988138279467e-05,0.0063124238756593,4.667304521487138e-05,raw_target_return_only,0.0063124238756593,0.2499999999999999,raw_target_with_baseline_cash_floor,0.5000000000000001,0.5,raw_target_with_baseline_cash_floor,baseline_cash_floor,0.12499999999999997
